====================
Dataset: ml1m
====================

nDCG@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.7999114126789506	0.999750218743349	0.9996689289852679	0
1	0.7999113726954256	0.9997354387873345	0.9996689289852679	0
2	0.7999082940916398	0.9997413507697399	0.9996689289852679	0
5	0.7999016795703396	0.999736916782936	0.9996689289852679	0
10	0.7998951915705552	0.9997265708137257	0.9996689289852679	0
20	0.4213132977559001	0.999716224844515	0.9996689289852679	0
50	0.16829237478679426	0.999733960791733	0.9996689289852679	0
100	0.08409887786380084	0.9997236148225227	0.9996733629720723	0
200	0.042027791384979564	0.999688142928087	0.9996733629720724	0
500	0.016811442606267844	0.9996970109016957	0.9996925769148913	0
1000	0.008405347047774386	0.9996940549104929	0.9996925769148914	0
2000	0.004202701515585839	0.9997206588313194	0.999719180835718	0
3706	0.0022681397921388916	0.9997295268049283	0.9997265708137253	0

P@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.7999114126789506	0.9998211625322202	0.9996689289852679	0
1	0.7999113726954256	0.999804904580604	0.9996689289852679	0
2	0.7999082940916398	0.9997916026201906	0.9996689289852679	0
5	0.7999016795703396	0.9997856906377848	0.9996689289852679	0
10	0.7998951915705552	0.9997723886773715	0.9996689289852679	0
20	0.4213132977559001	0.9997472627521463	0.9996689289852679	0
50	0.16829237478679426	0.9997516967389507	0.9996689289852679	0
100	0.08409887786380084	0.9997590867169581	0.9996733629720723	0
200	0.042027791384979564	0.9997236148225225	0.9996733629720724	0
500	0.016811442606267844	0.9997310048005297	0.9996925769148913	0
1000	0.008405347047774386	0.9997221368269209	0.9996925769148914	0
2000	0.004202701515585839	0.9997413507697404	0.999719180835718	0
3706	0.0022681397921388916	0.9997457847565447	0.9997265708137253	0

Recall@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.7999114126789506	0.9998211625322202	0.9996689289852679	0
1	0.7999113726954256	0.999804904580604	0.9996689289852679	0
2	0.7999082940916398	0.9997916026201906	0.9996689289852679	0
5	0.7999016795703396	0.9997856906377848	0.9996689289852679	0
10	0.7998951915705552	0.9997723886773715	0.9996689289852679	0
20	0.4213132977559001	0.9997472627521463	0.9996689289852679	0
50	0.16829237478679426	0.9997516967389507	0.9996689289852679	0
100	0.08409887786380084	0.9997590867169581	0.9996733629720723	0
200	0.042027791384979564	0.9997236148225225	0.9996733629720724	0
500	0.016811442606267844	0.9997310048005297	0.9996925769148913	0
1000	0.008405347047774386	0.9997221368269209	0.9996925769148914	0
2000	0.004202701515585839	0.9997413507697404	0.999719180835718	0
3706	0.0022681397921388916	0.9997457847565447	0.9997265708137253	0

