====================
Dataset: ml1m
====================

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8390039538870949	0.8694096922994913	0.8399818734522377	0.8144250572858697	0.855463315821748	0.8470581232753849	0.7940727689977919	0.6906552770152957
1	0.8362928279594867	0.8651805147628675	0.8373160382865553	0.8022015691173209	0.8439489152697698	0.830374631713876	0.7878363559692022	0.6598065005984403
2	0.8336725504479086	0.861126312072561	0.8344812983032689	0.7909286210393417	0.8323953358535932	0.814259290305419	0.7819795870386448	0.6293659481941583
5	0.8262999498780044	0.8502526359411167	0.8271399672000873	0.7604115373980982	0.8020399632396951	0.7715526081679925	0.7656306974054334	0.5514958699853442
10	0.8163961027956415	0.8324947095631549	0.8157200559855425	0.7199410616974643	0.7570388775399031	0.7115878013995831	0.7416347461652185	0.45134085473114405
20	0.8023014300016765	0.8019733244588293	0.7978319424466387	0.6820311503317265	0.6867290601724411	0.621543477627857	0.7026275654837377	0.341907174725003
50	0.7740226302211001	0.7332190939111008	0.7605018287824069	0.6376247088257545	0.5628726709953114	0.47709601371803956	0.6305859528512376	0.21103064032617752
100	0.7400831338064993	0.6567368702628362	0.717224216265062	0.5996770799256558	0.4582872155021593	0.3632914099493422	0.5620386516282414	0.13633373233696378
200	0.6936274418332429	0.5581361091607799	0.6605109435976526	0.5480029796566978	0.3540791595399442	0.2523237608828498	0.48539684435297065	0.08187397154142859
500	0.6082441576862319	0.4063658000609707	0.5632118504176093	0.44677253518590215	0.22531328747132692	0.13690990414559298	0.37866976912208145	0.03789671397243072
1000	0.5277145954527634	0.29983518350906024	0.4775261557121503	0.350607488102998	0.14656446950328186	0.08403168029171385	0.29998274995181096	0.02040239705311425
2000	0.4396196873981883	0.20777540193938515	0.39053220434863956	0.24999676101125332	0.08431654278017527	0.04110437854697032	0.22789674492582618	0.010697998166360403
3706	0.35974328441157255	0.14401734885087908	0.31710296194099785	0.17066405764368847	0.04407149255934039	0.01512751047083254	0.17111648309745014	0.005718446771198221

P@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.6586953642384106	0.6833973509933775	0.658953642384106	0.6414668874172186	0.6706291390728476	0.6650132450331124	0.6240198675496689	0.5476622516556292
1	0.656996688741722	0.681135761589404	0.6572980132450331	0.6344271523178808	0.6645629139072848	0.656294701986755	0.6205033112582781	0.5317748344370862
2	0.6554437086092715	0.6788675496688741	0.6553907284768212	0.6272152317880795	0.658003311258278	0.6472748344370862	0.6166688741721854	0.5136986754966888
5	0.6499139072847682	0.6721456953642384	0.6500430463576159	0.6047582781456955	0.6389470198675496	0.6207682119205299	0.605794701986755	0.4618211920529801
