====================
Dataset: ml1m
====================

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8240987249455725	0.8492172137145386	0.8234370883564981	0.8081883300774729	0.8364853471853417	0.8303272214339243	0.7864659823114583	0.7126718676189923
1	0.8197820958453199	0.842744409032189	0.8187623089475148	0.7911344317770017	0.8196005373443928	0.8062052883050402	0.7771958076805141	0.6664265155831643
2	0.8163232875274211	0.8373399932759653	0.8150136713011831	0.7769859297327545	0.8041385743261987	0.7857106191740657	0.7685130882610666	0.6274951197238667
5	0.807283028149093	0.821277803947915	0.8043135036417736	0.7443260717308251	0.7635453553696794	0.7310839425368569	0.7448667260834162	0.5344174009537704
10	0.7929308714610791	0.7965832041530392	0.7879820833363591	0.6981574157122649	0.707379290965334	0.6568636293298239	0.7124840679422191	0.4154322298895473
20	0.7732884532077253	0.7542059422231514	0.7617862232662909	0.647959580291676	0.6190232862104975	0.5490316970517819	0.6596974984635902	0.28396932237653777
50	0.731886198464998	0.6650823187995686	0.7072082053029798	0.5907806433312903	0.47468896609869277	0.3900436840769202	0.564301118253541	0.1571386613309031
100	0.6866097235947131	0.5702024350560555	0.6491793645042494	0.5381586694559017	0.3652672396937236	0.27769853542284684	0.4793781534202113	0.09319530195003935
200	0.6249037481749816	0.45826177123712125	0.5763846906999502	0.47130899752944905	0.267728626411521	0.1846119684787346	0.3935598790863495	0.05154948599880684
500	0.5218468924362506	0.3095189103174921	0.465460920974765	0.35528192499730643	0.1590718188012925	0.08973114392223092	0.2875325404647747	0.023623485217842462
1000	0.43364304520225455	0.21390847516258732	0.3760870480416994	0.2612623649582172	0.09798170318602083	0.05356354492497312	0.21698792002597544	0.012199987733646335
2000	0.34325921933737497	0.1404102134272342	0.29303914884225746	0.17341494402407207	0.05470149907027266	0.024436386220024947	0.15753915926348555	0.006191780526406068
3706	0.27007766669362293	0.0926413938958186	0.22943582900140366	0.11151354270195515	0.027856690214588246	0.009493048405881745	0.11348228693035094	0.003450187727097762

P@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.5114238410596027	0.5281721854304635	0.5108046357615894	0.5035761589403973	0.5182019867549668	0.515205298013245	0.48674503311258277	0.44435430463576153
1	0.5105298013245034	0.5257649006622517	0.5090364238410596	0.49868211920529804	0.5129139072847682	0.5078774834437086	0.48357615894039735	0.43096688741721856
2	0.5088576158940398	0.5237483443708608	0.5073841059602648	0.4933741721854304	0.5071622516556291	0.5009304635761589	0.48048675496688736	0.4170463576158941
5	0.5048112582781458	0.517182119205298	0.502317880794702	0.477023178807947	0.49005298013245036	0.4778509933774835	0.4703973509933775	0.37200662251655625
10	0.4976821192052981	0.5059569536423841	0.49384105960264907	0.449864238410596	0.462566225165563	0.44040397350993377	0.45479801324503305	0.30039403973509937
20	0.4873576158940397	0.48477152317880795	0.4792682119205297	0.4201059602649007	0.41324172185430463	0.37933443708609277	0.42701324503311255	0.21690397350993376
50	0.4653576158940398	0.43670198675496696	0.44853973509933776	0.384317880794702	0.3255	0.2797582781456954	0.3729569536423841	0.12593708609271523
100	0.4392649006622517	0.3815331125827815	0.41377152317880794	0.35131456953642387	0.2556291390728477	0.2073112582781457	0.3221158940397351	0.07655298013245034
200	0.40253311258278146	0.31315231788079473	0.3696158940397351	0.308546357615894	0.192182119205298	0.14114569536423843	0.26908609271523176	0.043645695364238415
500	0.34102649006622515	0.21829139072847678	0.3002847682119205	0.234430463576159	0.11926158940397351	0.06931456953642386	0.20104966887417217	0.019768211920529806
1000	0.2863245033112583	0.1529105960264901	0.24373841059602647	0.17331456953642385	0.07888410596026489	0.04736754966887417	0.15522847682119206	0.010311258278145696
2000	0.22949006622516555	0.10140066225165563	0.19046357615894038	0.11603973509933777	0.0486523178807947	0.024509933774834437	0.11518874172185431	0.005380794701986755
3706	0.18159933774834439	0.06809933774834437	0.14937086092715232	0.07641059602649007	0.027427152317880798	0.010516556291390729	0.08427152317880794	0.0028112582781456954

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.7527562845007865	0.7662704551621419	0.7531755066072818	0.745020607001138	0.760168200184435	0.7580394613842649	0.7369244819285266	0.7078288273077551
1	0.7514799890482144	0.764194951000969	0.751070113755636	0.7388450966152627	0.7550478413697724	0.7509736451753127	0.7332707368477847	0.6935884505809271
2	0.7494155211270893	0.7617903403872399	0.7490934773042098	0.7318427781455281	0.749205761564777	0.7438974644050995	0.7295975481948938	0.678121097732586
5	0.7437647456987333	0.7547882260449215	0.7424837346205094	0.7058800385864321	0.730344114872133	0.717919634993264	0.7168535618415979	0.6185605941974652
10	0.7276120712314016	0.7405921798669468	0.7287095306949534	0.6409030565620165	0.6927260062848275	0.6629940987874031	0.6926155018786403	0.4785528552914323
20	0.708130347580686	0.709629439891186	0.7043701709670113	0.5639248168004225	0.6093980266792955	0.5552837274637688	0.6404570534365421	0.30371336164941687
50	0.6708973401512763	0.6348524261058881	0.6522970479197472	0.4985685502330316	0.4539153839293345	0.38374026974990455	0.5358756452499372	0.15399651893540797
100	0.6281932770900295	0.5491244654267649	0.5953642887150833	0.4582886580975429	0.34023265614188947	0.27025308706289003	0.4429657601717336	0.08564982545890631
200	0.5681169261301389	0.4422812660486607	0.5253000137769217	0.4151055381632099	0.24712449631210873	0.17999699195649174	0.3528904125135087	0.045327111425251185
500	0.472948541723689	0.29812985703964456	0.41932341568176135	0.34012757584072634	0.14876685096121461	0.0850099884810658	0.24969348957139462	0.019533749349443415
1000	0.38988414385071873	0.20413539296424518	0.3343984647685151	0.26912561447104805	0.09579314450770789	0.05680542662495356	0.1851476205364263	0.009969281034318279
2000	0.30623047278714643	0.13223603754454946	0.2568245390593642	0.19058597933784222	0.05524155128777987	0.027746072733262767	0.12960742091997016	0.005057703717371876
3706	0.23847609696181477	0.08643156190828459	0.19811903429873454	0.12870309611636227	0.02916100832445555	0.011504178491999247	0.08875840191091	0.002860968158403057

