fold	target size	expected intersection ratio in top n
1	0	0.28294701986754967
2	0	0.7170529801324503
3	0	0.28294701986754967
4	0	0.7170529801324503
5	0	0.7170529801324503
1	1	0.28294701986754967
2	1	0.7170529801324503
3	1	0.28294701986754967
4	1	0.7170529801324503
5	1	0.7170529801324503
1	2	0.28294701986754967
2	2	0.7170529801324503
3	2	0.28294701986754967
4	2	0.7170529801324503
5	2	0.7170529801324503
1	5	0.28294701986754967
2	5	0.7170529801324503
3	5	0.28294701986754967
4	5	0.7170529801324503
5	5	0.7170529801324503
1	10	0.28294701986754967
2	10	0.7170529801324503
3	10	0.28294701986754967
4	10	0.7170529801324503
5	10	0.7170529801324503
1	20	0.14787865365759387
2	20	0.37844887801562094
3	20	0.14802170362681558
4	20	0.37876594952801307
5	20	0.37856520028386376
1	50	0.05917535977963871
2	50	0.1512455946516563
3	50	0.059071345395078856
4	50	0.15143958540401128
5	50	0.15117317864920027
1	100	0.02951762854311016
2	100	0.07560082625747208
3	100	0.029538899413391845
4	100	0.07558637965091801
5	100	0.07560769309873695
1	200	0.01476184130467216
2	200	0.03778601300903146
3	200	0.01476610494162487
4	200	0.037767287048879536
5	200	0.03777774762271673
1	500	0.005902396496586045
2	500	0.0151104652685488
3	500	0.005904207320591722
4	500	0.015107954303944876
5	500	0.015106953394537487
1	1000	0.0029509288349485454
2	1000	0.0075535916509218
3	1000	0.0029520916240479466
4	1000	0.007554197153045935
5	1000	0.00755364819612323
1	2000	0.0014758512884093886
2	2000	0.003777261330361343
3	2000	0.001475917352226968
4	2000	0.0037770791456290358
5	2000	0.0037770000009198523
1	3706	7.964560071061975E-4
2	3706	0.0020382761038715293
3	3706	7.964560071061975E-4
4	3706	0.0020382761038715293
5	3706	0.0020382761038715293
