fold	target size	expected intersection ratio in top n
1	0	0.28294701986754967
2	0	0.7170529801324503
3	0	0.28294701986754967
4	0	0.7170529801324503
5	0	0.7170529801324503
1	1	0.28294701986754967
2	1	0.7170529801324503
3	1	0.28294701986754967
4	1	0.7170529801324503
5	1	0.7170529801324503
1	2	0.28294701986754967
2	2	0.7170529801324503
3	2	0.28294701986754967
4	2	0.7170529801324503
5	2	0.7170529801324503
1	5	0.28294701986754967
2	5	0.7170529801324503
3	5	0.28294701986754967
4	5	0.7170529801324503
5	5	0.7170529801324503
1	10	0.28294701986754967
2	10	0.7170529801324503
3	10	0.28294701986754967
4	10	0.7170529801324503
5	10	0.7170529801324503
1	20	0.14774128589956506
2	20	0.3788367883895891
3	20	0.14761819085336964
4	20	0.3785440990499373
5	20	0.3785147846586809
1	50	0.05905613706385308
2	50	0.15125621279399235
3	50	0.05905532151543302
4	50	0.15125638407800426
5	50	0.15115828681240012
1	100	0.029512592086502896
2	100	0.07553690323222444
3	100	0.029537180567452567
4	100	0.07561591982965053
5	100	0.07555608021425386
1	200	0.014750673362679793
2	200	0.037787854331452514
3	200	0.014767391222654535
4	200	0.03777840896683142
5	200	0.03779905022569717
1	500	0.005904324105887325
2	500	0.015109896684484038
3	500	0.005903579947834315
4	500	0.015107997256003296
5	500	0.015111179018240285
1	1000	0.0029523240730950015
2	1000	0.007553381968150376
3	1000	0.0029516167937418364
4	1000	0.007554753164997519
5	1000	0.007554628785512724
1	2000	0.0014757842051127444
2	2000	0.0037771787400371257
3	2000	0.0014758627228493846
4	2000	0.003777008652914628
5	2000	0.0037770820898177914
1	3706	7.964560071061975E-4
2	3706	0.0020382761038715293
3	3706	7.964560071061975E-4
4	3706	0.0020382761038715293
5	3706	0.0020382761038715293
