fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10
1	0	Random	0.0	0.0	0.0	0.0
1	0	iMF (full)	0.0	0.0	0.0	0.0
1	0	Popularity	0.0	0.0	0.0	0.0
1	0	Normalized kNN (test)	0.0	0.0	0.0	0.0
1	0	Average Rating	0.0	0.0	0.0	0.0
1	0	Normalized kNN (full)	0.0	0.0	0.0	0.0
1	0	kNN (full/test)	0.0	0.0	0.0	0.0
1	0	iMF (test)	0.0	0.0	0.0	0.0
2	0	Random	0.0	0.0	0.0	0.0
2	0	iMF (full)	0.0	0.0	0.0	0.0
2	0	Popularity	0.0	0.0	0.0	0.0
2	0	Normalized kNN (test)	0.0	0.0	0.0	0.0
2	0	Average Rating	0.0	0.0	0.0	0.0
2	0	Normalized kNN (full)	0.0	0.0	0.0	0.0
2	0	kNN (full/test)	0.0	0.0	0.0	0.0
2	0	iMF (test)	0.0	0.0	0.0	0.0
3	0	Random	0.0	0.0	0.0	0.0
3	0	iMF (full)	0.0	0.0	0.0	0.0
3	0	Popularity	0.0	0.0	0.0	0.0
3	0	Normalized kNN (test)	0.0	0.0	0.0	0.0
3	0	Average Rating	0.0	0.0	0.0	0.0
3	0	Normalized kNN (full)	0.0	0.0	0.0	0.0
3	0	kNN (full/test)	0.0	0.0	0.0	0.0
3	0	iMF (test)	0.0	0.0	0.0	0.0
4	0	Random	0.0	0.0	0.0	0.0
4	0	iMF (full)	0.0	0.0	0.0	0.0
4	0	Popularity	0.0	0.0	0.0	0.0
4	0	Normalized kNN (test)	0.0	0.0	0.0	0.0
4	0	Average Rating	0.0	0.0	0.0	0.0
4	0	Normalized kNN (full)	0.0	0.0	0.0	0.0
4	0	kNN (full/test)	0.0	0.0	0.0	0.0
4	0	iMF (test)	0.0	0.0	0.0	0.0
5	0	Random	0.0	0.0	0.0	0.0
5	0	iMF (full)	0.0	0.0	0.0	0.0
5	0	Popularity	0.0	0.0	0.0	0.0
5	0	Normalized kNN (test)	0.0	0.0	0.0	0.0
5	0	Average Rating	0.0	0.0	0.0	0.0
5	0	Normalized kNN (full)	0.0	0.0	0.0	0.0
5	0	kNN (full/test)	0.0	0.0	0.0	0.0
5	0	iMF (test)	0.0	0.0	0.0	0.0
1	1	Random	0.09590403744880047	0.0	0.0	0.0
1	1	iMF (full)	0.09590403744880047	0.0	0.0	0.0
1	1	Popularity	0.09590403744880047	0.0	0.0	0.0
1	1	Normalized kNN (test)	0.09590403744880047	0.0	0.0	0.0
1	1	Average Rating	0.09590403744880047	0.0	0.0	0.0
1	1	Normalized kNN (full)	0.09590403744880047	0.0	0.0	0.0
1	1	kNN (full/test)	0.09590403744880047	0.0	0.0	0.0
1	1	iMF (test)	0.09590403744880047	0.0	0.0	0.0
2	1	Random	0.09503578850150081	0.0	0.0	0.0
2	1	iMF (full)	0.09503578850150081	0.0	0.0	0.0
2	1	Popularity	0.09503578850150081	0.0	0.0	0.0
2	1	Normalized kNN (test)	0.09503578850150081	0.0	0.0	0.0
2	1	Average Rating	0.09503578850150081	0.0	0.0	0.0
2	1	Normalized kNN (full)	0.09503578850150081	0.0	0.0	0.0
2	1	kNN (full/test)	0.09503578850150081	0.0	0.0	0.0
2	1	iMF (test)	0.09503578850150081	0.0	0.0	0.0
3	1	Random	0.09590403744880047	0.0	0.0	0.0
3	1	iMF (full)	0.09590403744880047	0.0	0.0	0.0
3	1	Popularity	0.09590403744880047	0.0	0.0	0.0
3	1	Normalized kNN (test)	0.09590403744880047	0.0	0.0	0.0
3	1	Average Rating	0.09590403744880047	0.0	0.0	0.0
3	1	Normalized kNN (full)	0.09590403744880047	0.0	0.0	0.0
3	1	kNN (full/test)	0.09590403744880047	0.0	0.0	0.0
3	1	iMF (test)	0.09590403744880047	0.0	0.0	0.0
4	1	Random	0.09531286077118449	0.0	0.0	0.0
4	1	iMF (full)	0.09531286077118449	0.0	0.0	0.0
4	1	Popularity	0.09531286077118449	0.0	0.0	0.0
4	1	Normalized kNN (test)	0.09531286077118449	0.0	0.0	0.0
4	1	Average Rating	0.09531286077118449	0.0	0.0	0.0
4	1	Normalized kNN (full)	0.09531286077118449	0.0	0.0	0.0
4	1	kNN (full/test)	0.09531286077118449	0.0	0.0	0.0
4	1	iMF (test)	0.09531286077118449	0.0	0.0	0.0
5	1	Random	0.09535903948279843	0.0	0.0	0.0
5	1	iMF (full)	0.09535903948279843	0.0	0.0	0.0
5	1	Popularity	0.09535903948279843	0.0	0.0	0.0
5	1	Normalized kNN (test)	0.09535903948279843	0.0	0.0	0.0
5	1	Average Rating	0.09535903948279843	0.0	0.0	0.0
5	1	Normalized kNN (full)	0.09535903948279843	0.0	0.0	0.0
5	1	kNN (full/test)	0.09535903948279843	0.0	0.0	0.0
5	1	iMF (test)	0.09535903948279843	0.0	0.0	0.0
1	2	Random	0.1921591574019895	0.0	0.0	0.0
1	2	iMF (full)	0.1921591574019895	0.0	0.0	0.0
1	2	Popularity	0.1921591574019895	0.0	0.0	0.0
1	2	Normalized kNN (test)	0.1921591574019895	0.0	0.0	0.0
1	2	Average Rating	0.1921591574019895	0.0	0.0	0.0
1	2	Normalized kNN (full)	0.1921591574019895	0.0	0.0	0.0
1	2	kNN (full/test)	0.1921591574019895	0.0	0.0	0.0
1	2	iMF (test)	0.1921591574019895	0.0	0.0	0.0
2	2	Random	0.19092588316785963	0.0	0.0	0.0
2	2	iMF (full)	0.19092588316785963	0.0	0.0	0.0
2	2	Popularity	0.19092588316785963	0.0	0.0	0.0
2	2	Normalized kNN (test)	0.19092588316785963	0.0	0.0	0.0
2	2	Average Rating	0.19092588316785963	0.0	0.0	0.0
2	2	Normalized kNN (full)	0.19092588316785963	0.0	0.0	0.0
2	2	kNN (full/test)	0.19092588316785963	0.0	0.0	0.0
2	2	iMF (test)	0.19092588316785963	0.0	0.0	0.0
3	2	Random	0.19098888238736106	0.0	0.0	0.0
3	2	iMF (full)	0.19098888238736106	0.0	0.0	0.0
3	2	Popularity	0.19098888238736106	0.0	0.0	0.0
3	2	Normalized kNN (test)	0.19098888238736106	0.0	0.0	0.0
3	2	Average Rating	0.19098888238736106	0.0	0.0	0.0
3	2	Normalized kNN (full)	0.19098888238736106	0.0	0.0	0.0
3	2	kNN (full/test)	0.19098888238736106	0.0	0.0	0.0
3	2	iMF (test)	0.19098888238736106	0.0	0.0	0.0
4	2	Random	0.18940198568459943	0.0	0.0	0.0
4	2	iMF (full)	0.18940198568459943	0.0	0.0	0.0
4	2	Popularity	0.18940198568459943	0.0	0.0	0.0
4	2	Normalized kNN (test)	0.18940198568459943	0.0	0.0	0.0
4	2	Average Rating	0.18940198568459943	0.0	0.0	0.0
4	2	Normalized kNN (full)	0.18940198568459943	0.0	0.0	0.0
4	2	kNN (full/test)	0.18940198568459943	0.0	0.0	0.0
4	2	iMF (test)	0.18940198568459943	0.0	0.0	0.0
5	2	Random	0.19064881089817595	0.0	0.0	0.0
5	2	iMF (full)	0.19064881089817595	0.0	0.0	0.0
5	2	Popularity	0.19064881089817595	0.0	0.0	0.0
5	2	Normalized kNN (test)	0.19064881089817595	0.0	0.0	0.0
5	2	Average Rating	0.19064881089817595	0.0	0.0	0.0
5	2	Normalized kNN (full)	0.19064881089817595	0.0	0.0	0.0
5	2	kNN (full/test)	0.19064881089817595	0.0	0.0	0.0
5	2	iMF (test)	0.19064881089817595	0.0	0.0	0.0
1	5	Random	0.4810415447630193	0.0	0.0	0.0
1	5	iMF (full)	0.4810415447630193	0.0	0.0	0.0
1	5	Popularity	0.4810415447630193	0.0	0.0	0.0
1	5	Normalized kNN (test)	0.4810415447630193	0.0	0.0	0.0
1	5	Average Rating	0.4810415447630193	0.0	0.0	0.0
1	5	Normalized kNN (full)	0.4810415447630193	0.0	0.0	0.0
1	5	kNN (full/test)	0.4810415447630193	0.0	0.0	0.0
1	5	iMF (test)	0.4810415447630193	0.0	0.0	0.0
2	5	Random	0.4759178018933271	0.0	0.0	0.0
2	5	iMF (full)	0.4759178018933271	0.0	0.0	0.0
2	5	Popularity	0.4759178018933271	0.0	0.0	0.0
2	5	Normalized kNN (test)	0.4759178018933271	0.0	0.0	0.0
2	5	Average Rating	0.4759178018933271	0.0	0.0	0.0
2	5	Normalized kNN (full)	0.4759178018933271	0.0	0.0	0.0
2	5	kNN (full/test)	0.4759178018933271	0.0	0.0	0.0
2	5	iMF (test)	0.4759178018933271	0.0	0.0	0.0
3	5	Random	0.4799882972498537	0.0	0.0	0.0
3	5	iMF (full)	0.4799882972498537	0.0	0.0	0.0
3	5	Popularity	0.4799882972498537	0.0	0.0	0.0
3	5	Normalized kNN (test)	0.4799882972498537	0.0	0.0	0.0
3	5	Average Rating	0.4799882972498537	0.0	0.0	0.0
3	5	Normalized kNN (full)	0.4799882972498537	0.0	0.0	0.0
3	5	kNN (full/test)	0.4799882972498537	0.0	0.0	0.0
3	5	iMF (test)	0.4799882972498537	0.0	0.0	0.0
4	5	Random	0.4776956822904641	0.0	0.0	0.0
4	5	iMF (full)	0.4776956822904641	0.0	0.0	0.0
4	5	Popularity	0.4776956822904641	0.0	0.0	0.0
4	5	Normalized kNN (test)	0.4776956822904641	0.0	0.0	0.0
4	5	Average Rating	0.4776956822904641	0.0	0.0	0.0
4	5	Normalized kNN (full)	0.4776956822904641	0.0	0.0	0.0
4	5	kNN (full/test)	0.4776956822904641	0.0	0.0	0.0
4	5	iMF (test)	0.4776956822904641	0.0	0.0	0.0
5	5	Random	0.4758716231817132	0.0	0.0	0.0
5	5	iMF (full)	0.4758716231817132	0.0	0.0	0.0
