fold	target size	expected intersection ratio in top n
1	0	0.8872561668801993
2	0	0.8806431137390306
3	0	0.87088527984879
4	0	0.8192162115360051
5	0	0.5415562913907285
1	1	0.8872561546213648
2	1	0.8806430361413926
3	1	0.8708851001056978
4	1	0.8192161726663354
5	1	0.5415562913907285
1	2	0.8872561424289739
2	2	0.8806429595064823
3	2	0.8708849230239959
4	2	0.8192161340905265
5	2	0.5415412402167369
1	5	0.8872561062451044
2	5	0.8806428036667301
3	5	0.8708844071634959
4	5	0.8192160200918689
5	5	0.5415412402167369
1	10	0.8872560472183673
2	10	0.8806423789642548
3	10	0.8708836589025111
4	10	0.8192158356584038
5	10	0.5414827078734363
1	20	0.46477803699217635
2	20	0.46200728648662565
3	20	0.45695347013930127
4	20	0.43104987250944393
5	20	0.2923435254040638
1	50	0.18560289187527418
2	50	0.1844489575256013
3	50	0.18248916169136625
4	50	0.1720376696453591
5	50	0.11691294424338719
1	100	0.09281154243845667
2	100	0.09217969115534021
3	100	0.09121491251245177
4	100	0.08600301150238222
5	100	0.058371368325835456
1	200	0.046374586435229216
2	200	0.04606433615894435
3	200	0.045571585213753804
4	200	0.04299479799912429
5	200	0.029144280572811366
1	500	0.018548244689622358
2	500	0.018420742416969338
3	500	0.018228473607670697
4	500	0.0171996162097905
5	500	0.011655238435855704
1	1000	0.009273843592503364
2	1000	0.00921115970728553
3	1000	0.009115005385690152
4	1000	0.008600851928313783
5	1000	0.005828191299890209
1	2000	0.004636557056471127
2	2000	0.004605463101945703
3	2000	0.0045571824280046976
4	2000	0.004300319740667056
5	2000	0.0029141770127193746
1	3706	0.002502346671262643
2	3706	0.0024855274033280935
3	3706	0.0024593891796808884
4	3706	0.002320747676479022
5	3706	0.0015726880299438107
