fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10
1	0	kNN (k=1000)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=50, lambda=10.0, alpha=1.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=500)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=100)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=50, lambda=10.0, alpha=10.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=5000, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=50, lambda=0.1, alpha=10.0)	1.8656716417910448E-4	1.7287986527997015E-4	1.6791044776119405E-4	6.9384482545947944E-6
1	0	kNN (k=900)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=60, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=2000)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=30, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=400, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=5, lambda=10.0, alpha=100.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Random	1.8656716417910448E-4	1.321718190528526E-4	1.1194029850746269E-4	4.625632169729863E-6
1	0	kNN (k=10)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=50, lambda=1.0, alpha=100.0)	1.8656716417910448E-4	1.325516812994669E-4	1.4925373134328358E-4	6.167509559639818E-6
1	0	kNN (k=30)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=50)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=2000, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=5, lambda=1.0, alpha=1.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=10, lambda=10.0, alpha=100.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=70)	1.8656716417910448E-4	1.742063015943304E-4	1.6791044776119405E-4	6.9384482545947944E-6
1	0	iMF (k=5, lambda=1.0, alpha=100.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=5, lambda=10.0, alpha=10.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=90)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=700, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=90, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=800, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=5, lambda=0.1, alpha=1.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=600)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=10, lambda=0.1, alpha=100.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=200)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=3000, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=5, lambda=0.1, alpha=100.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=4000, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=100, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=50, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=10, lambda=1.0, alpha=10.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=50, lambda=0.1, alpha=1.0)	1.8656716417910448E-4	1.742063015943304E-4	1.6791044776119405E-4	6.9384482545947944E-6
1	0	kNN (k=300)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=10, lambda=10.0, alpha=1.0)	1.8656716417910448E-4	1.7068225417133937E-4	1.6791044776119405E-4	6.9384482545947944E-6
1	0	Normalized kNN (k=900, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=10, lambda=10.0, alpha=10.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=6000)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=10, lambda=0.1, alpha=10.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=70, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=40, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=700)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=500, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=1000, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=5, lambda=0.1, alpha=10.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=10, lambda=1.0, alpha=100.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=20)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=6000, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Average Rating	1.8656716417910448E-4	1.7194062145920236E-4	1.6791044776119405E-4	6.9384482545947944E-6
1	0	kNN (k=40)	1.8656716417910448E-4	1.742063015943304E-4	1.6791044776119405E-4	6.9384482545947944E-6
1	0	iMF (k=5, lambda=1.0, alpha=10.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=50, lambda=1.0, alpha=1.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=10, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=60)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=80)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=50, lambda=10.0, alpha=100.0)	1.8656716417910448E-4	1.4550526748170146E-4	1.6791044776119405E-4	6.9384482545947944E-6
1	0	Normalized kNN (k=200, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=10, lambda=0.1, alpha=1.0)	1.8656716417910448E-4	1.7068225417133937E-4	1.6791044776119405E-4	6.9384482545947944E-6
1	0	kNN (k=400)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=3000)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=50, lambda=0.1, alpha=100.0)	1.8656716417910448E-4	1.6888276784150173E-4	1.6791044776119405E-4	6.9384482545947944E-6
1	0	Normalized kNN (k=80, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Popularity	1.8656716417910448E-4	1.3246690948503508E-4	1.3059701492537312E-4	5.39657086468484E-6
1	0	Normalized kNN (k=600, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=800)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=50, lambda=1.0, alpha=10.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=300, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	kNN (k=5000)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=10, lambda=1.0, alpha=1.0)	1.8656716417910448E-4	1.7068225417133937E-4	1.6791044776119405E-4	6.9384482545947944E-6
1	0	kNN (k=4000)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	Normalized kNN (k=20, min=3)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
1	0	iMF (k=5, lambda=10.0, alpha=1.0)	1.8656716417910448E-4	1.8656716417910448E-4	1.8656716417910448E-4	7.709386949549771E-6
2	0	kNN (k=1000)	3.758691975192633E-4	3.6282066868318415E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	iMF (k=50, lambda=10.0, alpha=1.0)	3.758691975192633E-4	3.49033049420008E-4	3.38282277767337E-4	2.1128542203956946E-5
2	0	kNN (k=500)	3.758691975192633E-4	3.6282066868318415E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	kNN (k=100)	3.758691975192633E-4	3.620815782560872E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	iMF (k=50, lambda=10.0, alpha=10.0)	3.758691975192633E-4	3.4323122132155765E-4	3.38282277767337E-4	1.9754680801235584E-5
2	0	Normalized kNN (k=5000, min=3)	3.758691975192633E-4	3.46819331032062E-4	3.38282277767337E-4	2.1128542203956946E-5
2	0	iMF (k=50, lambda=0.1, alpha=10.0)	3.758691975192633E-4	3.5146118931529024E-4	3.38282277767337E-4	2.1128542203956946E-5
2	0	kNN (k=900)	3.758691975192633E-4	3.6282066868318415E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	Normalized kNN (k=60, min=3)	3.758691975192633E-4	3.6113545029530625E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	kNN (k=2000)	3.758691975192633E-4	3.6282066868318415E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	Normalized kNN (k=30, min=3)	3.758691975192633E-4	3.6113545029530625E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	Normalized kNN (k=400, min=3)	3.758691975192633E-4	3.6341773661823174E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	iMF (k=5, lambda=10.0, alpha=100.0)	3.758691975192633E-4	3.344451557684078E-4	3.194888178913738E-4	1.9267803602376436E-5
2	0	Random	3.758691975192633E-4	3.3563546055819557E-4	3.194888178913738E-4	1.9267803602376436E-5
2	0	kNN (k=10)	3.758691975192633E-4	3.758691975192633E-4	3.758691975192633E-4	2.3476158004396608E-5
2	0	iMF (k=50, lambda=1.0, alpha=100.0)	3.758691975192633E-4	2.3370649693856858E-4	2.443149783875211E-4	1.4572572001497112E-5
2	0	kNN (k=30)	3.758691975192633E-4	3.6113545029530625E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	kNN (k=50)	3.758691975192633E-4	3.6113545029530625E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	Normalized kNN (k=2000, min=3)	3.758691975192633E-4	3.479113125651997E-4	3.38282277767337E-4	2.1128542203956946E-5
2	0	iMF (k=5, lambda=1.0, alpha=1.0)	3.758691975192633E-4	3.5986785986814114E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	iMF (k=10, lambda=10.0, alpha=100.0)	3.758691975192633E-4	3.037712548546558E-4	3.194888178913738E-4	1.9267803602376436E-5
2	0	kNN (k=70)	3.758691975192633E-4	3.6113545029530625E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	iMF (k=5, lambda=1.0, alpha=100.0)	3.758691975192633E-4	3.344451557684078E-4	3.194888178913738E-4	1.9267803602376436E-5
2	0	iMF (k=5, lambda=10.0, alpha=10.0)	3.758691975192633E-4	3.4977213984710496E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	kNN (k=90)	3.758691975192633E-4	3.6113545029530625E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	Normalized kNN (k=700, min=3)	3.758691975192633E-4	3.6113545029530625E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	Normalized kNN (k=90, min=3)	3.758691975192633E-4	3.5986785986814114E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	Normalized kNN (k=800, min=3)	3.758691975192633E-4	3.6113545029530625E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	iMF (k=5, lambda=0.1, alpha=1.0)	3.758691975192633E-4	3.5986785986814114E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	kNN (k=600)	3.758691975192633E-4	3.6282066868318415E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	iMF (k=10, lambda=0.1, alpha=100.0)	3.758691975192633E-4	3.0069098885373956E-4	3.194888178913738E-4	1.9267803602376436E-5
2	0	kNN (k=200)	3.758691975192633E-4	3.6341773661823174E-4	3.570757376433001E-4	2.1615419402816095E-5
2	0	Normalized kNN (k=3000, min=3)	3.758691975192633E-4	3.474163989671096E-4	3.38282277767337E-4	2.1128542203956946E-5
