fold	target size	expected intersection ratio in top n
1	0	0.8872561668801993
2	0	0.8806431137390306
3	0	0.87088527984879
4	0	0.8192162115360051
5	0	0.5415562913907285
1	1	0.8872561546213648
2	1	0.8806430361413926
3	1	0.8708852086573066
4	1	0.8192161726663354
5	1	0.5415562913907285
1	2	0.8872561424289739
2	2	0.8806430306979658
3	2	0.8708849230239959
4	2	0.8192161340905265
5	2	0.5415412402167369
1	5	0.8872561062451044
2	5	0.8806427405804005
3	5	0.8708845432332835
4	5	0.8192160200918689
5	5	0.5415089877010407
1	10	0.887256058898126
2	10	0.8806424432355723
3	10	0.8708837532081126
4	10	0.8192158356584038
5	10	0.5414778668525618
1	20	0.46525362704160644
2	20	0.4615178679759109
3	20	0.4570938683775246
4	20	0.4308806020520718
5	20	0.29182052333238695
1	50	0.18563502250150818
2	50	0.18424484079054718
3	50	0.18245877123494092
4	50	0.17225527211749914
5	50	0.11686796728947595
1	100	0.09274439562316403
2	100	0.09217750661446761
3	100	0.09119500077612115
4	100	0.0860400283096987
5	100	0.058337457995552684
1	200	0.04635443699283328
2	200	0.04605030765119177
3	200	0.04557006899745947
4	200	0.0430064019662141
5	200	0.029157741317199205
1	500	0.018545132322472024
2	500	0.018423570807306437
3	500	0.018226119588168943
4	500	0.017204825962096975
5	500	0.011657564351294848
1	1000	0.009274361594290369
2	1000	0.009210369649752645
3	1000	0.009113983252575323
4	1000	0.008599261126667292
5	1000	0.005828759615586309
1	2000	0.00463660712367584
2	2000	0.004605554819704731
3	2000	0.0045571291321946225
4	2000	0.0043002919334958695
5	2000	0.002913924568858131
1	3706	0.002502346671262643
2	3706	0.0024855274033280935
3	3706	0.0024593891796808884
4	3706	0.002320747676479022
5	3706	0.0015726880299438107
