fold	target size	expected intersection ratio in top n
1	0	0.8872561668801993
2	0	0.8806431137390306
3	0	0.87088527984879
4	0	0.8192162115360051
5	0	0.5415562913907285
1	1	0.8872561546213648
2	1	0.8806430361413926
3	1	0.8708851001056978
4	1	0.8192161726663354
5	1	0.5415562913907285
1	2	0.8872561424289739
2	2	0.8806429595064823
3	2	0.8708849230239959
4	2	0.8192161340905265
5	2	0.5415412402167369
1	5	0.8872561062451044
2	5	0.8806427405804005
3	5	0.8708846124746492
4	5	0.8192160200918689
5	5	0.5415089877010407
1	10	0.887256058898126
2	10	0.8806424432355723
3	10	0.8708837854756497
4	10	0.8192158356584038
5	10	0.5414778668525618
1	20	0.4649059619671074
2	20	0.4615646461128887
3	20	0.45668152032091863
4	20	0.4315905824089435
5	20	0.2929500589942843
1	50	0.18550089772420936
2	50	0.18449143587537437
3	50	0.18234065275977837
4	50	0.17213226552466732
5	50	0.11680908685364179
1	100	0.09279445106432578
2	100	0.09215255050022199
3	100	0.09117609501188509
4	100	0.08604177580887092
5	100	0.05833008012042618
1	200	0.046374971096399556
2	200	0.046056364710325946
3	200	0.045585097505466764
4	200	0.043005044262218316
5	200	0.029148688573550907
1	500	0.018549606666766645
2	500	0.018423221397060305
3	500	0.01822745380026165
4	500	0.01720196466583586
5	500	0.011660822891193945
1	1000	0.009274611120091725
2	1000	0.009210875024331657
3	1000	0.009114712813057858
4	1000	0.008600978222215169
5	1000	0.00582742069141096
1	2000	0.004636967967031145
2	2000	0.004605528712831369
3	2000	0.004557273215333546
4	2000	0.004300092450830592
5	2000	0.002913917642962574
1	3706	0.002502346671262643
2	3706	0.0024855274033280935
3	3706	0.0024593891796808884
4	3706	0.002320747676479022
5	3706	0.0015726880299438107
