target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
500	Popularity	kNN (full/test)	NaN	0.19215237836736798	0.1266330756544175	0.20927643850509936
500	Popularity	iMF (test)	NaN	0.14563554485831431	0.2743077885006141	0.18526921291746035
500	Popularity	Random	NaN	0.008839028080154451	0.009526026469020888	0.036824212238342216
500	Popularity	Normalized kNN (full)	NaN	0.15879090533831886	0.34279219769224034	0.15402789463000655
500	Popularity	Normalized kNN (test)	NaN	0.025606638651658516	0.04122438511988061	0.06531133786194429
500	Popularity	Average Rating	NaN	0.030860616749701735	0.04639230942773829	0.057951346618883175
500	Popularity	iMF (full)	NaN	0.9241090571059094	0.7576277795866162	0.43151214838332064
20	Popularity	Random	NaN	0.010035344107392962	0.009526026469020888	0.16161001818456278
20	Popularity	Normalized kNN (test)	NaN	0.8607834206617315	0.577479253704501	0.4429678214392101
20	Popularity	iMF (full)	NaN	0.05213121357916614	0.07185993217655268	0.24191697560941772
20	Popularity	iMF (test)	NaN	0.4700715838012064	0.2967270774234928	0.22214202790327475
20	Popularity	kNN (full/test)	NaN	0.05400721915513129	0.07709948909863351	0.16242410885242065
20	Popularity	Average Rating	NaN	0.7095747335945759	0.8272645398153564	0.37543955782067817
20	Popularity	Normalized kNN (full)	NaN	0.12023888143357653	0.13898577461158867	0.18722427244820394
20	Random	Normalized kNN (test)	NaN	0.03651198769668768	0.029093396696602703	0.07802283517585326
20	Random	iMF (full)	NaN	0.014073460740362408	0.013172049478551719	0.19749768987503458
20	Random	iMF (test)	NaN	0.03822055479300572	0.029788099823563723	0.17377185594868083
20	Random	kNN (full/test)	NaN	0.01370983576728606	0.013317425795390372	0.1578514886326774
20	Random	Average Rating	NaN	0.03575362158337999	0.02904608570247928	0.05162831883777219
20	Random	Normalized kNN (full)	NaN	0.01697987538908968	0.0176190050085169	0.1646742437657538
50	Popularity	Normalized kNN (full)	NaN	0.08696090309658322	0.08808181030145978	0.2579553447519136
50	Popularity	iMF (full)	NaN	0.04612365827218234	0.049532593122226465	0.1685409470906617
50	Popularity	iMF (test)	NaN	0.34575054304948194	0.14413063103350954	0.6753131295674831
50	Popularity	kNN (full/test)	NaN	0.04663408869051524	0.04985820121278557	0.157427459915631
50	Popularity	Normalized kNN (test)	NaN	0.6879610037035027	1.0	0.35575756747138865
50	Popularity	Random	NaN	0.007448788355845401	0.017673638971346335	0.1812425270891519
50	Popularity	Average Rating	NaN	0.5774733162352566	0.590024311178728	0.31324376694756184
5	iMF (full)	Normalized kNN (full)	NaN	0.7166551552073765	0.5637136200063806	0.5603108214677712
5	iMF (full)	Random	NaN	0.012290332000689248	0.01530104562998542	0.09148159085565666
5	iMF (full)	Normalized kNN (test)	NaN	0.17829079393966085	0.47951148728405213	0.8569466431609756
5	iMF (full)	Average Rating	NaN	0.2114646307784106	0.3173205218602554	0.2879627154777469
5	iMF (full)	kNN (full/test)	NaN	0.9075307633249383	1.0	0.9642126136244767
5	iMF (full)	Popularity	NaN	0.048356689257617824	0.04985820121278557	0.2307359774867488
5	iMF (full)	iMF (test)	NaN	0.3578986155359536	1.0	0.6566379024378869
2000	Normalized kNN (test)	iMF (test)	NaN	0.028563287311813176	0.03298539076758345	0.062104152659877225
2000	Normalized kNN (test)	Popularity	NaN	0.011563421732110732	0.01515539464729805	0.030434954206657514
2000	Normalized kNN (test)	Random	NaN	0.0341043969824845	0.028456783245061682	0.05808325357642298
2000	Normalized kNN (test)	kNN (full/test)	NaN	0.009487275085109367	0.009741912643252755	0.0274616583985114
2000	Normalized kNN (test)	Average Rating	NaN	0.33115136702157144	0.33593418305131106	0.6972466293978186
2000	Normalized kNN (test)	iMF (full)	NaN	0.01609048319365455	0.0218070346077348	0.03622992195596819
2000	Normalized kNN (test)	Normalized kNN (full)	NaN	0.05312607606973708	0.07070036760497697	0.03887356350188067
200	Average Rating	iMF (full)	NaN	0.07168138565992198	0.18916711269080877	0.23267992208967336
200	Average Rating	Popularity	NaN	0.05938859199104873	0.1160851360833236	0.21354348199331685
200	Average Rating	iMF (test)	NaN	0.07509626539195755	0.1160851360833236	0.22423077837377514
200	Average Rating	Random	NaN	0.030276159559425	0.023632040130203095	0.06460683025456775
200	Average Rating	Normalized kNN (full)	NaN	0.07715326656378912	0.03958923791436846	0.14345061381407764
200	Average Rating	kNN (full/test)	NaN	0.013179519577499734	0.012691010255534863	0.18330202670279128
200	Average Rating	Normalized kNN (test)	NaN	0.04079572091317984	0.03480574594321865	0.04713672303735645
20	Normalized kNN (test)	iMF (full)	NaN	0.0941483285068988	0.17971789835638685	0.29250263790138065
20	Normalized kNN (test)	iMF (test)	NaN	0.22172069549109974	0.15730350179166896	0.2835476000418379
20	Normalized kNN (test)	kNN (full/test)	NaN	0.04038898655982681	0.019627562139707632	0.24994378624531943
20	Normalized kNN (test)	Average Rating	NaN	0.7205166054013097	0.47951148728405213	0.33357423230039907
20	Normalized kNN (test)	Normalized kNN (full)	NaN	0.034586639302740266	0.03389208456868651	0.2641653089508661
3706	iMF (full)	kNN (full/test)	NaN	0.48403192474348855	0.34009504976840477	0.5755544483138182
3706	iMF (full)	Average Rating	NaN	0.01304823875742674	0.012351640907373954	0.027873617297904534
3706	iMF (full)	Random	NaN	0.021441260498466785	0.019146476792989028	0.032213880287229206
3706	iMF (full)	iMF (test)	NaN	0.2688542009225948	0.49272799796249034	0.19702692876920835
3706	iMF (full)	Normalized kNN (test)	NaN	0.030303788919008312	0.04549802911287298	0.04697438135209187
3706	iMF (full)	Popularity	NaN	0.33247066621011634	0.31243212203953663	0.4166884107168519
3706	iMF (full)	Normalized kNN (full)	NaN	0.29097781134413914	0.2987071548402094	0.07826854014069791
0	Normalized kNN (full)	Random	NaN	0.015149749511543952	0.019627562139659174	0.07266278365411186
0	Normalized kNN (full)	iMF (test)	NaN	0.21278437985948806	0.3173205218602554	0.3173205218602554
0	Normalized kNN (full)	Popularity	NaN	0.04739500165954141	0.07185993217655268	0.15840594202514413
0	Normalized kNN (full)	Average Rating	NaN	0.3116887721173496	0.3173205218602554	0.5191441310753765
0	Normalized kNN (full)	iMF (full)	NaN	0.3933889377037315	0.5637136200063806	0.46748942489416623
0	Normalized kNN (full)	Normalized kNN (test)	NaN	0.07865252039991137	0.3173205218602554	0.3173205218602554
0	Normalized kNN (full)	kNN (full/test)	NaN	0.1639920790228987	NaN	NaN
50	Normalized kNN (full)	iMF (full)	NaN	0.7328365336693639	0.7388902000511419	0.39153479484740195
50	Normalized kNN (full)	iMF (test)	NaN	0.46899184488412426	1.0	0.3642372257558558
50	Normalized kNN (full)	kNN (full/test)	NaN	0.9075319562057733	0.3173205218602554	0.4397549657307198
50	Normalized kNN (full)	Normalized kNN (test)	NaN	0.12504733765625242	0.15730350179166896	0.29838234769153016
50	Normalized kNN (full)	Random	NaN	0.006865360755117565	0.008007318826509591	0.20693247700201722
50	Normalized kNN (full)	Average Rating	NaN	0.13026618533308898	0.08581293856356709	0.28833961076093406
100	Popularity	Normalized kNN (test)	NaN	0.7667716745839697	1.0	0.32997201785906516
100	Popularity	iMF (full)	NaN	0.5973030028755755	0.4652202083544469	0.25731317224003614
100	Popularity	iMF (test)	NaN	0.9262238934094968	0.7236814923937707	0.3648617170113747
100	Popularity	Normalized kNN (full)	NaN	0.4641438924207901	0.22526024575325798	0.4081008643403117
100	Popularity	kNN (full/test)	NaN	0.15268372998999336	0.13057286094288467	0.2017856233762152
100	Popularity	Average Rating	NaN	0.2649852020841098	0.35317100192760564	0.2720664670610704
100	Popularity	Random	NaN	0.022706014751338228	0.019146476792964776	0.042851218683078306
50	iMF (full)	iMF (test)	NaN	0.32124184194333094	0.7388902000511419	0.35701642012253476
50	iMF (full)	kNN (full/test)	NaN	0.6429759753530002	0.7054652861517304	0.6941048995198615
50	iMF (full)	Normalized kNN (test)	NaN	0.08986295029232128	0.16991677296541396	0.2771198514282137
50	iMF (full)	Random	NaN	0.005368267270100814	0.008551250093493421	0.17636845964536174
50	iMF (full)	Average Rating	NaN	0.06840640145205663	0.0704396360220147	0.2686422583748683
100	Normalized kNN (test)	iMF (full)	NaN	0.4855089914965106	0.4652202083544469	0.29791761651753645
100	Normalized kNN (test)	iMF (test)	NaN	0.6133073436562968	0.5271003707361628	0.522201026264281
100	Normalized kNN (test)	Normalized kNN (full)	NaN	0.40154094469078583	0.19671177798230288	0.2738022840827954
100	Normalized kNN (test)	kNN (full/test)	NaN	0.09586109798445897	0.0736376735356035	0.26737533724058227
100	Normalized kNN (test)	Average Rating	NaN	0.13998402159728485	0.13167092111135292	0.31206939376915266
100	Normalized kNN (test)	Random	NaN	0.07365526144288778	0.04028804817695783	0.8614796906084878
2000	iMF (test)	Popularity	NaN	0.05404582790384608	0.06328960486675371	0.10932518294544513
2000	iMF (test)	Random	NaN	0.015725138680976105	0.016374238811748796	0.03767480951108219
2000	iMF (test)	kNN (full/test)	NaN	0.09278698759000215	0.13361741746932299	0.24826493684753848
2000	iMF (test)	Average Rating	NaN	0.03148119457934019	0.031412195236744024	0.05369660288081189
2000	iMF (test)	iMF (full)	NaN	0.08724720758342241	0.13361741746932299	0.06306349046768248
2000	iMF (test)	Normalized kNN (full)	NaN	0.43790572985304554	0.2743077885006141	0.13610252462101946
2	iMF (full)	Random	NaN	0.013773644609530412	0.02688007276542951	0.04443879609836813
2	iMF (full)	Average Rating	NaN	0.8013188144113489	0.7388902000511419	0.35509409699925987
2	iMF (full)	Popularity	NaN	0.07549658801682131	0.11666650149664304	0.19649368053740257
2	iMF (full)	kNN (full/test)	NaN	0.8892507764870812	0.6547301992640184	0.39974481916362825
2	iMF (full)	iMF (test)	NaN	0.30332536796903353	1.0	0.6566379024378869
2	iMF (full)	Normalized kNN (test)	NaN	0.8283388820618532	0.6547301992640184	0.3960303049268934
2	iMF (full)	Normalized kNN (full)	NaN	0.5060684061266977	0.6547301992640184	0.39974481916362825
10	Average Rating	iMF (full)	NaN	0.4469659353151326	1.0	0.8770609127007458
10	Average Rating	Normalized kNN (test)	NaN	0.2203023457092873	0.17971789835638685	0.2603552485012135
10	Average Rating	kNN (full/test)	NaN	0.15028095517927964	0.17971789835638685	0.29858556766589084
10	Average Rating	Popularity	NaN	0.2971519010184547	0.10881099824945972	0.13902616203082696
10	Average Rating	iMF (test)	NaN	0.48473188494110353	1.0	0.8143059608646702
10	Average Rating	Normalized kNN (full)	NaN	0.18376713728651262	0.17971789835638685	0.2970702581145044
10	Average Rating	Random	NaN	0.008647318138068271	0.009820486295543154	0.1500359101344434
500	kNN (full/test)	iMF (test)	NaN	0.04162666249406812	0.03480574594317473	0.17813152364160456
500	kNN (full/test)	Random	NaN	0.0115764071225993	0.011463039572685973	0.0788072308364225
500	kNN (full/test)	Normalized kNN (full)	NaN	0.018398779744755248	0.03737036313662245	0.16446430816329227
500	kNN (full/test)	Normalized kNN (test)	NaN	0.010596020941605278	0.010382550214208959	0.096960929590024
500	kNN (full/test)	Average Rating	NaN	0.010890354888432723	0.013900456865383623	0.0890109659957381
500	kNN (full/test)	iMF (full)	NaN	0.4435900033902379	0.4233509574232043	0.28780842607803603
200	iMF (full)	Popularity	NaN	0.8443869808398509	0.8526881525101347	0.776201448864086
200	iMF (full)	iMF (test)	NaN	0.7055354007246897	0.7388902000511419	0.8820201654702211
200	iMF (full)	Random	NaN	0.007338807986762381	0.006653144335677821	0.07987100721879987
200	iMF (full)	Normalized kNN (full)	NaN	0.24556961422118817	0.5637136200063806	0.37460184748627734
200	iMF (full)	kNN (full/test)	NaN	0.04074352421667834	0.03426125320700995	0.13916924560771626
200	iMF (full)	Normalized kNN (test)	NaN	0.24653732094637004	0.6218833627779982	0.31143843061559084
1	iMF (test)	iMF (full)	NaN	0.22645257835589716	0.7054652861517304	0.8097579400916692
1	iMF (test)	Normalized kNN (test)	NaN	0.07454605668281285	0.15730350179166896	0.20500604514635656
1	iMF (test)	Normalized kNN (full)	NaN	0.06821350796615383	0.08326451639882862	0.1413449714356747
1	iMF (test)	kNN (full/test)	NaN	0.10183709584453682	0.08326451639882862	0.1413449714356747
1	iMF (test)	Random	NaN	0.021118690461450672	0.01670032914284096	0.05697437023985593
1	iMF (test)	Popularity	NaN	0.4909383129325833	0.23932439357491564	0.29618456113165414
1	iMF (test)	Average Rating	NaN	0.17794753902014937	0.7054652861517304	0.8874012415345068
10	iMF (full)	Normalized kNN (test)	NaN	0.8954037182838563	0.2568476950168205	0.2547584711328361
10	iMF (full)	kNN (full/test)	NaN	0.3429341942084837	0.2568476950168205	0.4153376421286844
10	iMF (full)	Popularity	NaN	0.10141961544862965	0.15730350179166896	0.14592722676668213
