target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
500	Popularity	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	Popularity	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	Popularity	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	Popularity	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	Popularity	Normalized kNN (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	Popularity	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
500	Popularity	iMF (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Popularity	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Popularity	Normalized kNN (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Popularity	iMF (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Popularity	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Popularity	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Popularity	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Popularity	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Random	Normalized kNN (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Random	iMF (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Random	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Random	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Random	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Random	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	Popularity	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	Popularity	iMF (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	Popularity	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	Popularity	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	Popularity	Normalized kNN (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	Popularity	Random	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
50	Popularity	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
5	iMF (full)	Normalized kNN (full)	8.276775368316503E-5	0.9996689289852674	0.9996689289852674	0.9996689289852674
5	iMF (full)	Random	8.276775368316503E-5	0.9996689289852674	0.9996689289852674	0.9996689289852674
5	iMF (full)	Normalized kNN (test)	8.276775368316503E-5	0.9996689289852674	0.9996689289852674	0.9996689289852674
5	iMF (full)	Average Rating	8.276775368316503E-5	0.9996689289852674	0.9996689289852674	0.9996689289852674
5	iMF (full)	kNN (full/test)	8.276775368316503E-5	0.9996689289852674	0.9996689289852674	0.9996689289852674
5	iMF (full)	Popularity	8.276775368316503E-5	0.9996689289852674	0.9996689289852674	0.9996689289852674
5	iMF (full)	iMF (test)	8.276775368316503E-5	0.9996689289852674	0.9996689289852674	0.9996689289852674
2000	Normalized kNN (test)	iMF (test)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2000	Normalized kNN (test)	Popularity	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2000	Normalized kNN (test)	Random	0.0	0.9997930806157921	0.9997930806157921	0.9997930806157921
2000	Normalized kNN (test)	kNN (full/test)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2000	Normalized kNN (test)	Average Rating	0.0	0.9997516967389505	0.9997516967389505	0.9997516967389505
2000	Normalized kNN (test)	iMF (full)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
2000	Normalized kNN (test)	Normalized kNN (full)	0.0	0.9997516967389505	0.9997516967389505	0.9997516967389505
200	Average Rating	iMF (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	Average Rating	Popularity	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	Average Rating	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	Average Rating	Random	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
200	Average Rating	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	Average Rating	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
200	Average Rating	Normalized kNN (test)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
20	Normalized kNN (test)	iMF (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Normalized kNN (test)	iMF (test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Normalized kNN (test)	kNN (full/test)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Normalized kNN (test)	Average Rating	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
20	Normalized kNN (test)	Normalized kNN (full)	0.0	0.9996689289852674	0.9996689289852674	0.9996689289852674
3706	iMF (full)	kNN (full/test)	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
3706	iMF (full)	Average Rating	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
3706	iMF (full)	Random	0.0	0.9997103128621089	0.9997103128621089	0.9997103128621089
