target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
500	Popularity	kNN (full/test)	1.0	0.14437086092715232	0.34897350993377485	0.34897350993377485
500	Popularity	iMF (test)	1.0	0.16102649006622516	0.3722516556291391	0.3722516556291391
500	Popularity	Random	1.0	0.2526158940397351	0.27427152317880793	0.27427152317880793
500	Popularity	Normalized kNN (full)	0.6839735099337748	0.14864238410596026	0.35549668874172186	0.35549668874172186
500	Popularity	Normalized kNN (test)	1.0	0.23586092715231788	0.3903311258278146	0.3903311258278146
500	Popularity	Average Rating	1.0	0.24082781456953642	0.32619205298013243	0.32619205298013243
500	Popularity	iMF (full)	1.0	0.10996688741721854	0.2613245033112583	0.2613245033112583
20	Popularity	Random	1.0	0.05804635761589404	0.1723841059602649	0.1723841059602649
20	Popularity	Normalized kNN (test)	0.9998675496688741	0.09231788079470199	0.4463907284768212	0.4463907284768212
20	Popularity	iMF (full)	1.0	0.1192384105960265	0.47566225165562914	0.47566225165562914
20	Popularity	iMF (test)	1.0	0.11956953642384106	0.5021192052980132	0.5021192052980132
20	Popularity	kNN (full/test)	0.8979139072847682	0.14268211920529802	0.538046357615894	0.538046357615894
20	Popularity	Average Rating	1.0	0.08076158940397352	0.39142384105960265	0.39142384105960265
20	Popularity	Normalized kNN (full)	0.3796026490066225	0.10420529801324503	0.325	0.325
20	Random	Normalized kNN (test)	0.9998675496688741	0.06139072847682119	0.18831125827814568	0.18831125827814568
20	Random	iMF (full)	1.0	0.05645695364238411	0.13639072847682118	0.13639072847682118
20	Random	iMF (test)	1.0	0.05490066225165563	0.13387417218543046	0.13387417218543046
20	Random	kNN (full/test)	0.8979139072847682	0.055264900662251655	0.13708609271523178	0.13708609271523178
20	Random	Average Rating	1.0	0.06745033112582781	0.2156953642384106	0.2156953642384106
20	Random	Normalized kNN (full)	0.3796026490066225	0.09410596026490066	0.22341059602649008	0.22341059602649008
50	Popularity	Normalized kNN (full)	0.4144039735099338	0.1130794701986755	0.3506291390728477	0.3506291390728477
50	Popularity	iMF (full)	1.0	0.09705298013245033	0.3702980132450331	0.3702980132450331
50	Popularity	iMF (test)	1.0	0.10056291390728476	0.4105629139072848	0.4105629139072848
50	Popularity	kNN (full/test)	0.9977483443708609	0.11698675496688742	0.4319205298013245	0.4319205298013245
50	Popularity	Normalized kNN (test)	1.0	0.09437086092715231	0.3480132450331126	0.3480132450331126
50	Popularity	Random	1.0	0.07867549668874173	0.13943708609271524	0.13943708609271524
50	Popularity	Average Rating	1.0	0.0869205298013245	0.29450331125827817	0.29450331125827817
5	iMF (full)	Normalized kNN (full)	0.35950331125827817	0.14678807947019867	0.3043046357615894	0.3043046357615894
5	iMF (full)	Random	1.0	0.06566225165562914	0.4408609271523179	0.4408609271523179
5	iMF (full)	Normalized kNN (test)	0.7703311258278146	0.16940397350993378	0.6384437086092716	0.6384437086092716
5	iMF (full)	Average Rating	0.9950331125827815	0.14112582781456953	0.6124503311258278	0.6124503311258278
5	iMF (full)	kNN (full/test)	0.6021854304635762	0.2840066225165563	0.6954635761589404	0.6954635761589404
5	iMF (full)	Popularity	0.9950331125827815	0.18072847682119206	0.636887417218543	0.636887417218543
5	iMF (full)	iMF (test)	1.0	0.24894039735099338	0.6966556291390729	0.6966556291390729
2000	Normalized kNN (test)	iMF (test)	1.0	0.4030132450331126	0.5021854304635761	0.5021854304635761
2000	Normalized kNN (test)	Popularity	1.0	0.4129801324503311	0.5117880794701987	0.5117880794701987
2000	Normalized kNN (test)	Random	1.0	0.6391390728476821	0.6522185430463576	0.6522185430463576
2000	Normalized kNN (test)	kNN (full/test)	1.0	0.2417549668874172	0.3079801324503311	0.3079801324503311
2000	Normalized kNN (test)	Average Rating	1.0	0.6451324503311259	0.7466225165562914	0.7466225165562914
2000	Normalized kNN (test)	iMF (full)	1.0	0.19228476821192053	0.24496688741721853	0.24496688741721853
2000	Normalized kNN (test)	Normalized kNN (full)	0.9454966887417219	0.3230132450331126	0.4367218543046358	0.4367218543046358
200	Average Rating	iMF (full)	1.0	0.0785430463576159	0.1468543046357616	0.1468543046357616
200	Average Rating	Popularity	1.0	0.15635761589403974	0.28566225165562914	0.28566225165562914
200	Average Rating	iMF (test)	1.0	0.11559602649006623	0.23049668874172186	0.23049668874172186
200	Average Rating	Random	1.0	0.3087748344370861	0.376158940397351	0.376158940397351
200	Average Rating	Normalized kNN (full)	0.5346026490066225	0.12708609271523177	0.23658940397350994	0.23658940397350994
200	Average Rating	kNN (full/test)	1.0	0.08956953642384106	0.16864238410596027	0.16864238410596027
200	Average Rating	Normalized kNN (test)	1.0	0.2897682119205298	0.5595033112582781	0.5595033112582781
20	Normalized kNN (test)	iMF (full)	0.9998675496688741	0.09791390728476822	0.428112582781457	0.428112582781457
20	Normalized kNN (test)	iMF (test)	0.9998675496688741	0.10596026490066225	0.46264900662251657	0.46264900662251657
20	Normalized kNN (test)	kNN (full/test)	0.8979139072847682	0.10748344370860927	0.46228476821192055	0.46228476821192055
20	Normalized kNN (test)	Average Rating	0.9998675496688741	0.14509933774834438	0.6050993377483443	0.6050993377483443
20	Normalized kNN (test)	Normalized kNN (full)	0.3796026490066225	0.09135761589403973	0.3079139072847682	0.3079139072847682
3706	iMF (full)	kNN (full/test)	1.0	0.2582450331125828	0.4963907284768212	0.4963907284768212
3706	iMF (full)	Average Rating	1.0	0.2634105960264901	0.2797682119205298	0.2797682119205298
3706	iMF (full)	Random	1.0	0.2670529801324503	0.2706291390728477	0.2706291390728477
3706	iMF (full)	iMF (test)	1.0	0.2490728476821192	0.35142384105960267	0.35142384105960267
3706	iMF (full)	Normalized kNN (test)	1.0	0.260364238410596	0.2980132450331126	0.2980132450331126
3706	iMF (full)	Popularity	1.0	0.24682119205298014	0.35602649006622517	0.35602649006622517
3706	iMF (full)	Normalized kNN (full)	0.9922516556291391	0.23940397350993378	0.38695364238410596	0.38695364238410596
0	Normalized kNN (full)	Random	0.417317880794702	0.10029801324503311	0.23794701986754968	0.23794701986754968
0	Normalized kNN (full)	iMF (test)	0.417317880794702	0.16115894039735099	0.29880794701986757	0.29880794701986757
0	Normalized kNN (full)	Popularity	0.41738410596026493	0.1345364238410596	0.28635761589403974	0.28635761589403974
0	Normalized kNN (full)	Average Rating	0.41738410596026493	0.1535430463576159	0.29973509933774833	0.29973509933774833
0	Normalized kNN (full)	iMF (full)	0.417317880794702	0.15317880794701988	0.30268211920529803	0.30268211920529803
0	Normalized kNN (full)	Normalized kNN (test)	0.4180794701986755	0.1585430463576159	0.30182119205298014	0.30182119205298014
0	Normalized kNN (full)	kNN (full/test)	0.4278145695364238	0.17235099337748344	0.32973509933774836	0.32973509933774836
50	Normalized kNN (full)	iMF (full)	0.4144039735099338	0.13327814569536423	0.327682119205298	0.327682119205298
50	Normalized kNN (full)	iMF (test)	0.4144039735099338	0.105	0.3387417218543046	0.3387417218543046
50	Normalized kNN (full)	kNN (full/test)	0.4144039735099338	0.1397682119205298	0.36205298013245035	0.36205298013245035
50	Normalized kNN (full)	Normalized kNN (test)	0.4144039735099338	0.10149006622516556	0.3036754966887417	0.3036754966887417
50	Normalized kNN (full)	Random	0.4144039735099338	0.12205298013245033	0.18609271523178808	0.18609271523178808
50	Normalized kNN (full)	Average Rating	0.4144039735099338	0.1007615894039735	0.2759271523178808	0.2759271523178808
100	Popularity	Normalized kNN (test)	1.0	0.11950331125827815	0.3291059602649007	0.3291059602649007
100	Popularity	iMF (full)	1.0	0.09132450331125828	0.3060927152317881	0.3060927152317881
100	Popularity	iMF (test)	1.0	0.09917218543046358	0.36887417218543045	0.36887417218543045
100	Popularity	Normalized kNN (full)	0.461158940397351	0.12182119205298013	0.35602649006622517	0.35602649006622517
100	Popularity	kNN (full/test)	1.0	0.11258278145695365	0.3759271523178808	0.3759271523178808
100	Popularity	Average Rating	1.0	0.11380794701986754	0.27572847682119206	0.27572847682119206
100	Popularity	Random	1.0	0.11347682119205298	0.15887417218543046	0.15887417218543046
