fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10
1	0	Random	0.7222516556291391	0.7097387525028767	0.44273178807947017	0.7052015314951412
1	0	iMF (full)	0.7222516556291391	0.8230908613494391	0.511407284768212	0.7514812148300305
1	0	Popularity	0.7222516556291391	0.786101448254711	0.4857119205298013	0.7350676844030293
1	0	Normalized kNN (test)	0.7222516556291391	0.8346086098867217	0.5163741721854305	0.7579007746036603
1	0	Average Rating	0.7222516556291391	0.8281931155307624	0.5131953642384106	0.7555187483079732
1	0	Normalized kNN (full)	0.7222516556291391	0.8088602316536702	0.501953642384106	0.7425989105624039
1	0	kNN (full/test)	0.7222516556291391	0.8223951197628487	0.5088907284768212	0.7505192555353657
1	0	iMF (test)	0.7222516556291391	0.8473640887593863	0.5264238410596026	0.76385979121073
2	0	Random	0.7262582781456954	0.7142473295788406	0.4443046357615894	0.7106385072011244
2	0	iMF (full)	0.7262582781456954	0.8243255450271205	0.510430463576159	0.7545521778028362
2	0	Popularity	0.7262582781456954	0.7863840349379186	0.48584437086092713	0.7385062134549514
2	0	Normalized kNN (test)	0.7262582781456954	0.8350821037182589	0.5163079470198676	0.760914015946221
2	0	Average Rating	0.7262582781456954	0.8288691239173177	0.5132284768211921	0.7589357891329649
2	0	Normalized kNN (full)	0.7262582781456954	0.8081324777203752	0.5025331125827814	0.746587330242183
2	0	kNN (full/test)	0.7262582781456954	0.8224447911292523	0.5092880794701986	0.7542246943105607
2	0	iMF (test)	0.7262582781456954	0.8508684799377407	0.5272682119205298	0.7680764385310078
3	0	Random	0.7266225165562914	0.7119875580850613	0.4439735099337748	0.7055067613416534
3	0	iMF (full)	0.7266225165562914	0.8240202257779523	0.5116556291390728	0.7505650687195315
3	0	Popularity	0.7266225165562914	0.7853882966931106	0.48647350993377486	0.734441847068169
3	0	Normalized kNN (test)	0.7266225165562914	0.8377554094344437	0.519023178807947	0.7584236899735953
3	0	Average Rating	0.7266225165562914	0.8315252176365401	0.5165066225165562	0.756541699199203
3	0	Normalized kNN (full)	0.7266225165562914	0.8074162931606818	0.5041225165562914	0.7436886886259723
3	0	kNN (full/test)	0.7266225165562914	0.8236654739966718	0.511407284768212	0.7513319860666886
3	0	iMF (test)	0.7266225165562914	0.848898072315778	0.5290397350993378	0.7646972506294254
4	0	Random	0.7259768211920529	0.7141986209769312	0.44514900662251655	0.7073139112238064
4	0	iMF (full)	0.7259768211920529	0.8239651538849937	0.5128807947019868	0.7518458267917715
4	0	Popularity	0.7259768211920529	0.7853417753037298	0.48793046357615893	0.7362216395020454
4	0	Normalized kNN (test)	0.7259768211920529	0.8375748032698912	0.520728476821192	0.7607477286384433
4	0	Average Rating	0.7259768211920529	0.8319518563498589	0.5178311258278145	0.758692839596331
4	0	Normalized kNN (full)	0.7259768211920529	0.8065340390476718	0.504751655629139	0.7443504998405347
4	0	kNN (full/test)	0.7259768211920529	0.8231297237933639	0.5129304635761589	0.7534724089182939
