target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
500	Popularity	kNN (full/test)	0.0	0.11612582781456954	0.11612582781456954	0.11612582781456954
500	Popularity	iMF (test)	0.0	0.14751655629139074	0.14751655629139074	0.14751655629139074
500	Popularity	Random	0.0	0.24864238410596026	0.24864238410596026	0.24864238410596026
500	Popularity	Normalized kNN (full)	0.0	0.12831125827814568	0.12831125827814568	0.12831125827814568
500	Popularity	Normalized kNN (test)	0.0	0.22245033112582782	0.22245033112582782	0.22245033112582782
500	Popularity	Average Rating	0.0	0.23334437086092716	0.23334437086092716	0.23334437086092716
500	Popularity	iMF (full)	0.0	0.09218543046357616	0.09218543046357616	0.09218543046357616
20	Popularity	Random	0.0	0.052350993377483446	0.052350993377483446	0.052350993377483446
20	Popularity	Normalized kNN (test)	0.0	0.05056291390728477	0.05056291390728477	0.05056291390728477
20	Popularity	iMF (full)	0.0	0.04877483443708609	0.04877483443708609	0.04877483443708609
20	Popularity	iMF (test)	0.0	0.04933774834437086	0.04933774834437086	0.04933774834437086
20	Popularity	kNN (full/test)	0.0	0.0495364238410596	0.0495364238410596	0.0495364238410596
20	Popularity	Average Rating	0.0	0.050927152317880794	0.050927152317880794	0.050927152317880794
20	Popularity	Normalized kNN (full)	0.0	0.051456953642384104	0.051456953642384104	0.051456953642384104
20	Random	Normalized kNN (test)	0.0	0.05509933774834437	0.05509933774834437	0.05509933774834437
20	Random	iMF (full)	0.0	0.05086092715231788	0.05086092715231788	0.05086092715231788
20	Random	iMF (test)	0.0	0.04890728476821192	0.04890728476821192	0.04890728476821192
20	Random	kNN (full/test)	0.0	0.04950331125827814	0.04950331125827814	0.04950331125827814
20	Random	Average Rating	0.0	0.06039735099337749	0.06039735099337749	0.06039735099337749
20	Random	Normalized kNN (full)	0.0	0.06649006622516557	0.06649006622516557	0.06649006622516557
50	Popularity	Normalized kNN (full)	0.0	0.06589403973509934	0.06589403973509934	0.06589403973509934
50	Popularity	iMF (full)	0.0	0.053211920529801324	0.053211920529801324	0.053211920529801324
50	Popularity	iMF (test)	0.0	0.05685430463576159	0.05685430463576159	0.05685430463576159
50	Popularity	kNN (full/test)	0.0	0.056192052980132454	0.056192052980132454	0.056192052980132454
50	Popularity	Normalized kNN (test)	0.0	0.06685430463576159	0.06685430463576159	0.06685430463576159
50	Popularity	Random	0.0	0.07387417218543046	0.07387417218543046	0.07387417218543046
50	Popularity	Average Rating	0.0	0.06903973509933775	0.06903973509933775	0.06903973509933775
5	iMF (full)	Normalized kNN (full)	0.0	0.04735099337748344	0.04735099337748344	0.04735099337748344
5	iMF (full)	Random	0.0	0.047218543046357614	0.047218543046357614	0.047218543046357614
5	iMF (full)	Normalized kNN (test)	0.0	0.047218543046357614	0.047218543046357614	0.047218543046357614
5	iMF (full)	Average Rating	0.0	0.047218543046357614	0.047218543046357614	0.047218543046357614
5	iMF (full)	kNN (full/test)	0.0	0.04735099337748344	0.04735099337748344	0.04735099337748344
5	iMF (full)	Popularity	0.0	0.04728476821192053	0.04728476821192053	0.04728476821192053
5	iMF (full)	iMF (test)	0.0	0.047218543046357614	0.047218543046357614	0.047218543046357614
2000	Normalized kNN (test)	iMF (test)	0.0	0.3940728476821192	0.3940728476821192	0.3940728476821192
2000	Normalized kNN (test)	Popularity	0.0	0.40758278145695365	0.40758278145695365	0.40758278145695365
2000	Normalized kNN (test)	Random	0.0	0.6359271523178808	0.6359271523178808	0.6359271523178808
2000	Normalized kNN (test)	kNN (full/test)	0.0	0.23543046357615893	0.23543046357615893	0.23543046357615893
