fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10
1	0	kNN (k=1000)	3.7306472673008767E-4	3.3163069801530823E-4	3.171050177205745E-4	5.7332458003974515E-5
1	0	iMF (k=50, lambda=10.0, alpha=1.0)	3.7306472673008767E-4	3.325385724953871E-4	3.357582540570789E-4	6.29849538635213E-5
1	0	kNN (k=500)	3.7306472673008767E-4	3.188242934120128E-4	2.9845178138407017E-4	5.555595930525981E-5
1	0	kNN (k=100)	3.7306472673008767E-4	3.0778459653955963E-4	3.171050177205745E-4	5.7332458003974515E-5
1	0	iMF (k=50, lambda=10.0, alpha=10.0)	3.7306472673008767E-4	3.4716238689170783E-4	3.544114903935833E-4	6.863744972306807E-5
1	0	Normalized kNN (k=5000, min=3)	3.7306472673008767E-4	3.2161030513488785E-4	3.171050177205745E-4	5.7332458003974515E-5
1	0	iMF (k=50, lambda=0.1, alpha=10.0)	3.7306472673008767E-4	3.3201048940531986E-4	3.544114903935833E-4	6.863744972306807E-5
1	0	kNN (k=900)	3.7306472673008767E-4	3.298315473479085E-4	3.171050177205745E-4	5.7332458003974515E-5
1	0	Normalized kNN (k=60, min=3)	3.7306472673008767E-4	2.754796845178797E-4	2.797985450475658E-4	5.37794606065451E-5
1	0	kNN (k=2000)	3.7306472673008767E-4	3.2722788126465096E-4	3.171050177205745E-4	5.7332458003974515E-5
1	0	Normalized kNN (k=30, min=3)	3.7306472673008767E-4	2.9316078214323895E-4	2.797985450475658E-4	5.37794606065451E-5
1	0	Normalized kNN (k=400, min=3)	3.7306472673008767E-4	3.401790511838409E-4	3.357582540570789E-4	6.29849538635213E-5
1	0	iMF (k=5, lambda=10.0, alpha=100.0)	3.7306472673008767E-4	3.401790511838409E-4	3.357582540570789E-4	6.29849538635213E-5
1	0	Random	3.7306472673008767E-4	2.8572579622045054E-4	2.6114530871106133E-4	4.4250967586166244E-5
1	0	kNN (k=10)	3.7306472673008767E-4	3.0610814956694003E-4	3.1710501772057455E-4	6.12084551648066E-5
1	0	iMF (k=50, lambda=1.0, alpha=100.0)	3.7306472673008767E-4	3.4608235544990405E-4	3.357582540570789E-4	6.29849538635213E-5
1	0	kNN (k=30)	3.7306472673008767E-4	3.071919835042326E-4	3.1710501772057455E-4	6.12084551648066E-5
1	0	kNN (k=50)	3.7306472673008767E-4	2.9532464752233525E-4	2.9845178138407017E-4	5.555595930525981E-5
1	0	Normalized kNN (k=2000, min=3)	3.7306472673008767E-4	3.223438809906205E-4	3.171050177205745E-4	5.7332458003974515E-5
1	0	iMF (k=5, lambda=1.0, alpha=1.0)	3.7306472673008767E-4	3.0551933902710183E-4	3.171050177205745E-4	5.7332458003974515E-5
1	0	iMF (k=10, lambda=10.0, alpha=100.0)	3.7306472673008767E-4	3.4423160985293824E-4	3.357582540570789E-4	6.29849538635213E-5
1	0	kNN (k=70)	3.7306472673008767E-4	3.0778459653955963E-4	3.171050177205745E-4	5.7332458003974515E-5
1	0	iMF (k=5, lambda=1.0, alpha=100.0)	3.7306472673008767E-4	3.401790511838409E-4	3.357582540570789E-4	6.29849538635213E-5
1	0	iMF (k=5, lambda=10.0, alpha=10.0)	3.7306472673008767E-4	3.300739023016756E-4	3.171050177205745E-4	5.7332458003974515E-5
