fold	target size	expected intersection ratio in top n
1	0	0.8872766751160148
2	0	0.8783456801058177
3	0	0.872382322230061
4	0	0.8184494279745197
5	0	0.5425607804791325
1	1	0.8872764872761524
2	1	0.8783455715873543
3	1	0.8723821659213182
4	1	0.8184481861464111
5	1	0.542560706401766
1	2	0.8872763885505032
2	2	0.8783452975955354
3	2	0.8723820342140521
4	2	0.8184479577190445
5	2	0.542560706401766
1	5	0.8872758460191622
2	5	0.8783447565627074
3	5	0.8723816210533389
4	5	0.8184446155443174
5	5	0.5425604899796563
1	10	0.887275080438976
2	10	0.8783440113187069
3	10	0.8723808690519053
4	10	0.8184396654386339
5	10	0.5425450304620616
1	20	0.4647675358573749
2	20	0.4606383127589446
3	20	0.4577034841611856
4	20	0.4306710356233779
5	20	0.2937570474305707
1	50	0.18575957573302732
2	50	0.18382066590996143
3	50	0.1827540141555831
4	50	0.1721136201932801
5	50	0.11712992828510678
1	100	0.09278510649222092
2	100	0.09195479516188339
3	100	0.09127115200620146
4	100	0.085987211751676
5	100	0.058398025614926054
1	200	0.04636626622163299
2	200	0.0459432336497361
3	200	0.04565638790038977
4	200	0.04297802741450662
5	200	0.02922160997383488
1	500	0.01855078390877199
2	500	0.0183800247112604
3	500	0.01826443877254341
4	500	0.01719038814857852
5	500	0.011680122645313084
1	1000	0.009275001112361205
2	1000	0.009192277147300872
3	1000	0.009133675624310788
4	1000	0.008594184628247337
5	1000	0.005841148060080896
1	2000	0.004637465055619018
2	2000	0.0045954844202675356
3	2000	0.004565980541434488
4	2000	0.0042975218763844645
5	2000	0.0029196603777717437
1	3706	0.002502788164749526
2	3706	0.002480212030312082
3	3706	0.0024642755576776143
4	3706	0.0023193918695638047
5	3706	0.0015758110058829873
