fold	target size	expected intersection ratio in top n
1	0	0.7543047516747109
2	0	0.7552714889617606
3	0	0.7542668400650812
4	0	0.7545336499676529
5	0	0.7557324216336886
1	1	0.7397398210847711
2	1	0.7404729879051037
3	1	0.7398854043680272
4	1	0.7398848623577926
5	1	0.7407031619422564
1	2	0.7241396486381634
2	2	0.7241925879169319
3	2	0.7240325235697673
4	2	0.7243119201257472
5	2	0.7240277622884471
1	5	0.66563554316563
2	5	0.6658331309342004
3	5	0.6641159873378024
4	5	0.6654538528771566
5	5	0.6642655714486059
1	10	0.5188140923681004
2	10	0.5180879639921929
3	10	0.5176322172218595
4	10	0.5185985801411589
5	10	0.5174605173516292
1	20	0.3282908353565873
2	20	0.3281311340017264
3	20	0.3278967742106477
4	20	0.32828044631995884
5	20	0.32783571510818493
1	50	0.16259839844582463
2	50	0.1626719002774652
3	50	0.16259073302170488
4	50	0.162681088759398
5	50	0.16261301443009452
1	100	0.09016212507720206
2	100	0.09015502453368988
3	100	0.09016035776199376
4	100	0.09015514015085804
5	100	0.09014902304733678
1	200	0.04808358425615604
2	200	0.0480930562044182
3	200	0.04810390341250054
4	200	0.04809415962673466
5	200	0.04809595534781511
1	500	0.020151061281579896
2	500	0.020158014855328154
3	500	0.02015818682957054
4	500	0.02015476686518014
5	500	0.020157507578834787
1	1000	0.010258344664414028
2	1000	0.010256482470762445
3	1000	0.010257787009627543
4	1000	0.01025643473719564
5	1000	0.010258913999740667
1	2000	0.0051765894768589695
2	2000	0.005176598286037124
3	2000	0.0051766352752206654
4	2000	0.005176651789933196
5	2000	0.005177037708591792
1	3706	0.002819295016132123
2	3706	0.0028192986416513436
3	3706	0.0028193288303451384
4	3706	0.0028193052358838166
5	3706	0.002819321280761141
