fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10
1	0	Random	0.725480132450331	0.7143135726134792	0.44670529801324504	0.7070104013008935
1	0	iMF (full)	0.725480132450331	0.8223432518940323	0.5091390728476821	0.7496605772740504
1	0	Popularity	0.7254139072847682	0.7852565015035193	0.4847847682119205	0.7339336960307558
1	0	Normalized kNN (test)	0.7249006622516556	0.8341473873711353	0.516953642384106	0.7581476914995453
1	0	Average Rating	0.7254139072847682	0.8267120149071838	0.5124503311258278	0.7550928288939237
1	0	Normalized kNN (full)	0.556523178807947	0.6222720507651942	0.403294701986755	0.48344298551811343
1	0	kNN (full/test)	0.7177980132450331	0.8157970498063264	0.5057781456953643	0.7396657603648853
1	0	iMF (test)	0.725480132450331	0.8485356349233446	0.5280629139072848	0.7649325848155031
2	0	Random	0.7270033112582782	0.7130045792294547	0.4449006622516556	0.7076662554176997
2	0	iMF (full)	0.7270033112582782	0.8241207739340888	0.5108112582781458	0.7516281141761852
2	0	Popularity	0.7269039735099337	0.7868643245527276	0.4866887417218543	0.7367036307684788
2	0	Normalized kNN (test)	0.7264072847682119	0.8331864482978247	0.5178476821192053	0.7587053892030847
2	0	Average Rating	0.7269039735099337	0.8298407979888243	0.5161754966887417	0.7581355768640181
2	0	Normalized kNN (full)	0.5581788079470199	0.6227085674030378	0.4038576158940398	0.4859920871044804
2	0	kNN (full/test)	0.719933774834437	0.8154496137304033	0.5068708609271523	0.7404344140437513
2	0	iMF (test)	0.7270033112582782	0.8462332685277164	0.5263576158940397	0.7651035123952272
3	0	Random	0.7277649006622516	0.7117974478941218	0.44600993377483444	0.7065054985903034
3	0	iMF (full)	0.7277649006622516	0.8252981187411806	0.5147019867549669	0.751821249527634
3	0	Popularity	0.7277152317880794	0.7868258818817178	0.48841059602649006	0.7353823879354183
3	0	Normalized kNN (test)	0.7270198675496689	0.8347884329297897	0.521341059602649	0.7588812112949934
3	0	Average Rating	0.7277152317880794	0.8305425771060421	0.5188741721854304	0.7581264081948129
3	0	Normalized kNN (full)	0.5577317880794702	0.620378927673496	0.40693708609271523	0.4814458993290289
3	0	kNN (full/test)	0.7198675496688741	0.816830447063393	0.5100993377483444	0.7414897944984263
3	0	iMF (test)	0.7277649006622516	0.8490815461468599	0.5314238410596027	0.7660770557586203
4	0	Random	0.7252649006622517	0.7156677773628214	0.44523178807947017	0.7062520946993948
4	0	iMF (full)	0.7252649006622517	0.8246553814327283	0.5120033112582781	0.7507758277344563
4	0	Popularity	0.7251986754966887	0.7876594977262044	0.4877152317880795	0.7355308727760713
4	0	Normalized kNN (test)	0.7245860927152318	0.8362440034716183	0.5193708609271523	0.7573391142435215
4	0	Average Rating	0.7251986754966887	0.8306583247062318	0.5164238410596026	0.7561520047900375
4	0	Normalized kNN (full)	0.5581125827814569	0.6212211501476252	0.4062748344370861	0.48258003350148376
4	0	kNN (full/test)	0.7179139072847682	0.8160869159415479	0.5076490066225166	0.7407699697468973
4	0	iMF (test)	0.7252649006622517	0.8487600327334291	0.528476821192053	0.7642253076341952
5	0	Random	0.7290894039735099	0.7179052930452879	0.4449503311258278	0.7136748262145315
5	0	iMF (full)	0.7290894039735099	0.8292209030102529	0.5115562913907286	0.7587242319765165
5	0	Popularity	0.7290562913907285	0.7913749315593408	0.4863245033112583	0.7421416414092582
5	0	Normalized kNN (test)	0.728592715231788	0.8427338894993456	0.5197350993377483	0.7668240539160179
5	0	Average Rating	0.7290562913907285	0.8362292914946885	0.5169039735099338	0.7646826777677854
5	0	Normalized kNN (full)	0.5572682119205298	0.6235214161024311	0.4030463576158941	0.48622689033118177
5	0	kNN (full/test)	0.7215728476821193	0.8227617683512648	0.5089072847682119	0.7502997722435708
5	0	iMF (test)	0.7290894039735099	0.8558848415402762	0.5285761589403973	0.7721024498315573
1	1	Random	0.7750662251655629	0.6636535023282156	0.4298675496688742	0.6907403232665614
1	1	iMF (full)	0.7750662251655629	0.817828206618221	0.5075993377483444	0.7482512133337971
1	1	Popularity	0.7748344370860927	0.774963769855102	0.48112582781456953	0.729753301103168
1	1	Normalized kNN (test)	0.765182119205298	0.8169449002192347	0.5108609271523179	0.7522642875195494
1	1	Average Rating	0.7748344370860927	0.8019295494521275	0.5046854304635762	0.7472209839324959
1	1	Normalized kNN (full)	0.5576986754966887	0.6207771485655623	0.4023509933774834	0.48283713336298784
1	1	kNN (full/test)	0.7411920529801325	0.8122740782814307	0.5041059602649007	0.737902524283903
1	1	iMF (test)	0.7750662251655629	0.842786583738532	0.5252649006622516	0.7623674271015142
2	1	Random	0.7762251655629139	0.6665317521836885	0.43013245033112585	0.6917064186581007
2	1	iMF (full)	0.7762251655629139	0.8199938200725243	0.5096523178807947	0.7503319274668468
2	1	Popularity	0.7760430463576159	0.7776160314876448	0.4837913907284768	0.7335573573123259
2	1	Normalized kNN (test)	0.7669701986754967	0.8171087712480157	0.512682119205298	0.7535844303735201
2	1	Average Rating	0.7760430463576159	0.806874870020501	0.5091556291390729	0.7513973599935004
2	1	Normalized kNN (full)	0.5595033112582781	0.6213971864220001	0.40307947019867546	0.485451744693967
2	1	kNN (full/test)	0.7430629139072848	0.8116843055825744	0.5055629139072848	0.7389884803217978
2	1	iMF (test)	0.7762251655629139	0.83916482223121	0.5237086092715232	0.7624636075941851
3	1	Random	0.7774503311258278	0.6682655362564272	0.4345529801324503	0.6932186390044309
3	1	iMF (full)	0.7774503311258278	0.8205782727594011	0.5136589403973509	0.7510635491804694
3	1	Popularity	0.7772185430463575	0.7769657564502882	0.4851324503311258	0.7316143974497241
3	1	Normalized kNN (test)	0.7674172185430463	0.8174860123163434	0.5158112582781457	0.7535747131997885
3	1	Average Rating	0.7772185430463575	0.8064654932300974	0.5113245033112583	0.7512079368237377
3	1	Normalized kNN (full)	0.5590562913907284	0.619197190265386	0.40609271523178814	0.48087475983040395
3	1	kNN (full/test)	0.7437582781456954	0.8131567258729447	0.5086423841059602	0.7399308834748949
3	1	iMF (test)	0.7774503311258278	0.8423377886968546	0.5296688741721854	0.7637955276352788
4	1	Random	0.7749503311258278	0.6651756683576441	0.4300496688741722	0.689962740144745
4	1	iMF (full)	0.7749503311258278	0.8193967328873668	0.5105629139072848	0.7492873287573802
4	1	Popularity	0.7746854304635762	0.7781425840679279	0.484817880794702	0.7322626153334015
4	1	Normalized kNN (test)	0.7650331125827815	0.818914216041281	0.5142218543046357	0.7525466775862781
4	1	Average Rating	0.7746854304635762	0.8062634455878062	0.5093046357615894	0.7493363297774092
4	1	Normalized kNN (full)	0.559453642384106	0.6201349406700146	0.4056291390728477	0.482143614802851
4	1	kNN (full/test)	0.741341059602649	0.8125319888391973	0.5065562913907284	0.7396057746197288
4	1	iMF (test)	0.7749503311258278	0.8434747631850181	0.526887417218543	0.7627597061240793
5	1	Random	0.7780960264900662	0.668585668560017	0.4312582781456954	0.6983621358107442
5	1	iMF (full)	0.7780960264900662	0.8243617991316093	0.5096688741721854	0.7567013680913862
5	1	Popularity	0.7779966887417219	0.7824593229687336	0.4829470198675497	0.73839360468441
5	1	Normalized kNN (test)	0.7679635761589404	0.8258316462922325	0.5140397350993378	0.7612412587331026
5	1	Average Rating	0.7779966887417219	0.8123115271218883	0.5095529801324503	0.7571260356818774
5	1	Normalized kNN (full)	0.5585430463576159	0.6225370972473648	0.40241721854304635	0.4857835135791205
5	1	kNN (full/test)	0.7442549668874172	0.8195021857865238	0.5073509933774835	0.7485918198082858
5	1	iMF (test)	0.7780960264900662	0.8499459490235745	0.5269370860927152	0.7703704752372008
1	2	Random	0.8214403973509934	0.6268358163525031	0.41576158940397345	0.6752606699805936
1	2	iMF (full)	0.8214403973509934	0.8142302363367685	0.5066887417218543	0.7463066649586663
1	2	Popularity	0.8210927152317881	0.7667183698985671	0.4783774834437086	0.7265185266053051
1	2	Normalized kNN (test)	0.8032119205298013	0.8024457395633793	0.5064072847682118	0.7474022098248726
1	2	Average Rating	0.8210927152317881	0.7828613205922262	0.4982284768211921	0.7405439697529425
1	2	Normalized kNN (full)	0.5589403973509933	0.6199333680648681	0.40168874172185426	0.48229917977776304
1	2	kNN (full/test)	0.764023178807947	0.8097240644954121	0.5028311258278145	0.7364063638980641
1	2	iMF (test)	0.8214403973509934	0.8370940845068512	0.5234271523178808	0.7599792773129046
2	2	Random	0.8221854304635762	0.6260120063495761	0.41456953642384103	0.6749881077548803
2	2	iMF (full)	0.8221854304635762	0.81629198801391	0.5085596026490066	0.748725067926353
2	2	Popularity	0.8218046357615894	0.7686532972279836	0.4803973509933775	0.7293518800564122
2	2	Normalized kNN (test)	0.8041556291390729	0.8013655052405092	0.5068211920529802	0.7480198383783921
2	2	Average Rating	0.8218046357615894	0.7856872101694863	0.5017880794701987	0.7439028852248889
2	2	Normalized kNN (full)	0.5608278145695365	0.6200305415609821	0.40253311258278146	0.4850675057385551
2	2	kNN (full/test)	0.765546357615894	0.8083115036782191	0.5041059602649007	0.737147625858497
2	2	iMF (test)	0.8221854304635762	0.8332257633284677	0.5219536423841059	0.7605317530745789
3	2	Random	0.8235927152317881	0.6280549023793197	0.41844370860927155	0.6779948785526362
3	2	iMF (full)	0.8235927152317881	0.8170845144637863	0.5128145695364239	0.7496913541433349
