target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
500	Popularity	kNN (full/test)	1.0	0.14281456953642385	0.34635761589403974	0.34635761589403974
500	Popularity	iMF (test)	1.0	0.16205298013245034	0.3729470198675497	0.3729470198675497
500	Popularity	Random	1.0	0.24864238410596026	0.27192052980132453	0.27192052980132453
500	Popularity	Normalized kNN (full)	1.0	0.14645695364238412	0.3526158940397351	0.3526158940397351
500	Popularity	Normalized kNN (test)	1.0	0.23228476821192054	0.38900662251655627	0.38900662251655627
500	Popularity	Average Rating	1.0	0.23572847682119205	0.32294701986754965	0.32294701986754965
500	Popularity	iMF (full)	1.0	0.10824503311258278	0.2614569536423841	0.2614569536423841
20	Popularity	Random	1.0	0.058344370860927156	0.1690066225165563	0.1690066225165563
20	Popularity	Normalized kNN (test)	1.0	0.0906953642384106	0.44731788079470197	0.44731788079470197
20	Popularity	iMF (full)	1.0	0.11718543046357616	0.4742384105960265	0.4742384105960265
20	Popularity	iMF (test)	1.0	0.11903973509933775	0.5001986754966887	0.5001986754966887
20	Popularity	kNN (full/test)	1.0	0.13903973509933776	0.5339735099337748	0.5339735099337748
20	Popularity	Average Rating	1.0	0.07821192052980132	0.39026490066225167	0.39026490066225167
20	Popularity	Normalized kNN (full)	1.0	0.10158940397350993	0.38658940397350994	0.38658940397350994
20	Random	Normalized kNN (test)	1.0	0.061788079470198674	0.18652317880794703	0.18652317880794703
20	Random	iMF (full)	1.0	0.055463576158940396	0.13526490066225166	0.13526490066225166
20	Random	iMF (test)	1.0	0.05400662251655629	0.13198675496688742	0.13198675496688742
20	Random	kNN (full/test)	1.0	0.054205298013245036	0.13549668874172185	0.13549668874172185
20	Random	Average Rating	1.0	0.06758278145695364	0.21341059602649007	0.21341059602649007
20	Random	Normalized kNN (full)	1.0	0.07374172185430464	0.1979139072847682	0.1979139072847682
50	Popularity	Normalized kNN (full)	1.0	0.10420529801324503	0.363841059602649	0.363841059602649
50	Popularity	iMF (full)	1.0	0.09612582781456953	0.36718543046357616	0.36718543046357616
50	Popularity	iMF (test)	1.0	0.09764900662251656	0.413841059602649	0.413841059602649
50	Popularity	kNN (full/test)	1.0	0.11437086092715232	0.43096026490066225	0.43096026490066225
50	Popularity	Normalized kNN (test)	1.0	0.09221854304635761	0.3454304635761589	0.3454304635761589
50	Popularity	Random	1.0	0.07804635761589404	0.1393708609271523	0.1393708609271523
50	Popularity	Average Rating	1.0	0.08470198675496689	0.2890066225165563	0.2890066225165563
5	iMF (full)	Normalized kNN (full)	1.0	0.16559602649006622	0.5960596026490066	0.5960596026490066
5	iMF (full)	Random	1.0	0.0666225165562914	0.4368543046357616	0.4368543046357616
5	iMF (full)	Normalized kNN (test)	1.0	0.16390728476821192	0.6367549668874172	0.6367549668874172
5	iMF (full)	Average Rating	1.0	0.1413907284768212	0.6106291390728477	0.6106291390728477
5	iMF (full)	kNN (full/test)	1.0	0.28218543046357614	0.7125827814569536	0.7125827814569536
5	iMF (full)	Popularity	1.0	0.18076158940397352	0.6373841059602648	0.6373841059602648
5	iMF (full)	iMF (test)	1.0	0.24668874172185432	0.6952649006622517	0.6952649006622517
2000	Normalized kNN (test)	iMF (test)	1.0	0.40486754966887417	0.5067880794701987	0.5067880794701987
2000	Normalized kNN (test)	Popularity	1.0	0.4111258278145695	0.5114569536423841	0.5114569536423841
2000	Normalized kNN (test)	Random	1.0	0.6357947019867549	0.6495033112582781	0.6495033112582781
2000	Normalized kNN (test)	kNN (full/test)	1.0	0.2390728476821192	0.30566225165562916	0.30566225165562916
2000	Normalized kNN (test)	Average Rating	1.0	0.6420529801324504	0.7508940397350994	0.7508940397350994
2000	Normalized kNN (test)	iMF (full)	1.0	0.1914569536423841	0.24311258278145695	0.24311258278145695
2000	Normalized kNN (test)	Normalized kNN (full)	1.0	0.3202317880794702	0.4379470198675497	0.4379470198675497
200	Average Rating	iMF (full)	1.0	0.07675496688741722	0.1441721854304636	0.1441721854304636
200	Average Rating	Popularity	1.0	0.15254966887417218	0.2832119205298013	0.2832119205298013
200	Average Rating	iMF (test)	1.0	0.11195364238410596	0.22420529801324504	0.22420529801324504
200	Average Rating	Random	1.0	0.3097682119205298	0.3801655629139073	0.3801655629139073
200	Average Rating	Normalized kNN (full)	1.0	0.12321192052980133	0.2330794701986755	0.2330794701986755
200	Average Rating	kNN (full/test)	1.0	0.08890728476821191	0.16827814569536423	0.16827814569536423
200	Average Rating	Normalized kNN (test)	1.0	0.2905960264900662	0.5598344370860927	0.5598344370860927
20	Normalized kNN (test)	iMF (full)	1.0	0.09963576158940397	0.42274834437086095	0.42274834437086095
20	Normalized kNN (test)	iMF (test)	1.0	0.10662251655629139	0.4600662251655629	0.4600662251655629
20	Normalized kNN (test)	kNN (full/test)	1.0	0.10867549668874173	0.45811258278145695	0.45811258278145695
20	Normalized kNN (test)	Average Rating	1.0	0.14350993377483443	0.601887417218543	0.601887417218543
20	Normalized kNN (test)	Normalized kNN (full)	1.0	0.09082781456953642	0.3609271523178808	0.3609271523178808
3706	iMF (full)	kNN (full/test)	1.0	0.2549337748344371	0.49632450331125827	0.49632450331125827
3706	iMF (full)	Average Rating	1.0	0.261523178807947	0.2780132450331126	0.2780132450331126
3706	iMF (full)	Random	1.0	0.26470198675496687	0.26887417218543047	0.26887417218543047
3706	iMF (full)	iMF (test)	1.0	0.247317880794702	0.3516887417218543	0.3516887417218543
3706	iMF (full)	Normalized kNN (test)	1.0	0.2577483443708609	0.2962913907284768	0.2962913907284768
3706	iMF (full)	Popularity	1.0	0.2445364238410596	0.35456953642384104	0.35456953642384104
3706	iMF (full)	Normalized kNN (full)	1.0	0.23867549668874172	0.38437086092715234	0.38437086092715234
0	Normalized kNN (full)	Random	1.0	0.243841059602649	0.6473509933774835	0.6473509933774835
0	Normalized kNN (full)	iMF (test)	1.0	0.3196026490066225	0.7170529801324503	0.7170529801324503
0	Normalized kNN (full)	Popularity	1.0	0.29466887417218546	0.7067218543046357	0.7067218543046357
0	Normalized kNN (full)	Average Rating	1.0	0.3090728476821192	0.72	0.72
0	Normalized kNN (full)	iMF (full)	1.0	0.3234437086092715	0.7222516556291391	0.7222516556291391
0	Normalized kNN (full)	Normalized kNN (test)	1.0	0.3140066225165563	0.7227152317880795	0.7227152317880795
0	Normalized kNN (full)	kNN (full/test)	1.0	0.33927152317880793	0.7485430463576159	0.7485430463576159
