target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
500	Popularity	kNN (full/test)	0.0	0.11513245033112583	0.11513245033112583	0.11513245033112583
500	Popularity	iMF (test)	0.0	0.14463576158940397	0.14463576158940397	0.14463576158940397
500	Popularity	Random	0.0	0.24642384105960266	0.24642384105960266	0.24642384105960266
500	Popularity	Normalized kNN (full)	0.0	0.12788079470198677	0.12788079470198677	0.12788079470198677
500	Popularity	Normalized kNN (test)	0.0	0.2187086092715232	0.2187086092715232	0.2187086092715232
500	Popularity	Average Rating	0.0	0.22804635761589404	0.22804635761589404	0.22804635761589404
500	Popularity	iMF (full)	0.0	0.09198675496688742	0.09198675496688742	0.09198675496688742
20	Popularity	Random	0.0	0.05264900662251656	0.05264900662251656	0.05264900662251656
20	Popularity	Normalized kNN (test)	0.0	0.050695364238410597	0.050695364238410597	0.050695364238410597
20	Popularity	iMF (full)	0.0	0.048741721854304636	0.048741721854304636	0.048741721854304636
20	Popularity	iMF (test)	0.0	0.04913907284768212	0.04913907284768212	0.04913907284768212
20	Popularity	kNN (full/test)	0.0	0.04950331125827814	0.04950331125827814	0.04950331125827814
20	Popularity	Average Rating	0.0	0.05149006622516556	0.05149006622516556	0.05149006622516556
20	Popularity	Normalized kNN (full)	0.0	0.05198675496688742	0.05198675496688742	0.05198675496688742
20	Random	Normalized kNN (test)	0.0	0.05493377483443709	0.05493377483443709	0.05493377483443709
20	Random	iMF (full)	0.0	0.05062913907284768	0.05062913907284768	0.05062913907284768
20	Random	iMF (test)	0.0	0.04903973509933775	0.04903973509933775	0.04903973509933775
20	Random	kNN (full/test)	0.0	0.049172185430463575	0.049172185430463575	0.049172185430463575
20	Random	Average Rating	0.0	0.06079470198675497	0.06079470198675497	0.06079470198675497
20	Random	Normalized kNN (full)	0.0	0.06625827814569536	0.06625827814569536	0.06625827814569536
50	Popularity	Normalized kNN (full)	0.0	0.0652980132450331	0.0652980132450331	0.0652980132450331
50	Popularity	iMF (full)	0.0	0.052880794701986755	0.052880794701986755	0.052880794701986755
50	Popularity	iMF (test)	0.0	0.056092715231788076	0.056092715231788076	0.056092715231788076
50	Popularity	kNN (full/test)	0.0	0.056192052980132454	0.056192052980132454	0.056192052980132454
50	Popularity	Normalized kNN (test)	0.0	0.06652317880794702	0.06652317880794702	0.06652317880794702
50	Popularity	Random	0.0	0.07357615894039735	0.07357615894039735	0.07357615894039735
50	Popularity	Average Rating	0.0	0.06947019867549668	0.06947019867549668	0.06947019867549668
5	iMF (full)	Normalized kNN (full)	0.0	0.04701986754966887	0.04701986754966887	0.04701986754966887
5	iMF (full)	Random	0.0	0.04695364238410596	0.04695364238410596	0.04695364238410596
5	iMF (full)	Normalized kNN (test)	0.0	0.046986754966887416	0.046986754966887416	0.046986754966887416
5	iMF (full)	Average Rating	0.0	0.046986754966887416	0.046986754966887416	0.046986754966887416
5	iMF (full)	kNN (full/test)	0.0	0.04701986754966887	0.04701986754966887	0.04701986754966887
5	iMF (full)	Popularity	0.0	0.04701986754966887	0.04701986754966887	0.04701986754966887
5	iMF (full)	iMF (test)	0.0	0.04685430463576159	0.04685430463576159	0.04685430463576159
2000	Normalized kNN (test)	iMF (test)	0.0	0.3955960264900662	0.3955960264900662	0.3955960264900662
2000	Normalized kNN (test)	Popularity	0.0	0.4037748344370861	0.4037748344370861	0.4037748344370861
2000	Normalized kNN (test)	Random	0.0	0.6344039735099338	0.6344039735099338	0.6344039735099338
2000	Normalized kNN (test)	kNN (full/test)	0.0	0.23483443708609272	0.23483443708609272	0.23483443708609272
2000	Normalized kNN (test)	Average Rating	0.0	0.6325827814569537	0.6325827814569537	0.6325827814569537
2000	Normalized kNN (test)	iMF (full)	0.0	0.1876158940397351	0.1876158940397351	0.1876158940397351
2000	Normalized kNN (test)	Normalized kNN (full)	0.0	0.3097019867549669	0.3097019867549669	0.3097019867549669
200	Average Rating	iMF (full)	0.0	0.0716887417218543	0.0716887417218543	0.0716887417218543
200	Average Rating	Popularity	0.0	0.14324503311258277	0.14324503311258277	0.14324503311258277
200	Average Rating	iMF (test)	0.0	0.10397350993377484	0.10397350993377484	0.10397350993377484
