fold	target size	expected intersection ratio in top n
1	0	0.09441955590183092
2	0	0.19602982131197783
3	0	0.29383596535914414
4	0	0.4092738036597158
5	0	0.5816556291390729
1	1	0.09441816461684012
2	1	0.19602981462272934
3	1	0.2938268684957427
4	1	0.4092738005228782
5	1	0.5816549798727437
1	2	0.0944168506254599
2	2	0.19602980796029143
3	2	0.29381898454746136
4	2	0.4092737973946583
5	2	0.5816543555781967
1	5	0.09441331295635931
2	5	0.19602979471520535
3	5	0.29380058866813835
4	5	0.4092737880613512
5	5	0.5816526189042746
1	10	0.09440848886213125
2	10	0.1960297685397679
3	10	0.29378059314713506
4	10	0.40927377267492077
5	10	0.5816501103752759
1	20	0.05163596101128137
2	20	0.10703241514653566
3	20	0.16086029617828387
4	20	0.22259664126508147
5	20	0.3134762820059456
1	50	0.02080995658718852
2	50	0.04284273337204724
3	50	0.06431493204455639
4	50	0.08903245193753631
5	50	0.1250653506823821
1	100	0.010311205400894828
2	100	0.021390338614926844
3	100	0.03202239853289217
4	100	0.04448346174279439
5	100	0.06243991595414857
1	200	0.005161322754275921
2	200	0.010676006156392755
3	200	0.01599967913730744
4	200	0.022221850830094942
5	200	0.03123473898393411
1	500	0.0020699452696574337
2	500	0.004272074881713076
3	500	0.006398573721016204
4	500	0.008886122182848469
5	500	0.01249159425672744
1	1000	0.00103332145357444
2	1000	0.002135242554123551
3	1000	0.003201567609958049
4	1000	0.004442906168228989
5	1000	0.006246363842119453
1	2000	5.168456144912329E-4
2	2000	0.0010682357120296517
3	2000	0.0016001892095803413
4	2000	0.0022207406429622456
5	2000	0.0031234612399909647
1	3706	2.789470638731828E-4
2	3706	5.764867397957657E-4
3	3706	8.635332596837597E-4
4	3706	0.001198681772493042
5	3706	0.0016855251992256978
