fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10
1	0	Random	0.0017513134851138354	0.0014649012493514952	0.0014010507880910684	5.604203152364273E-4
1	0	iMF (full)	0.0017513134851138354	0.0014979816244604827	0.0014010507880910684	5.604203152364273E-4
1	0	Popularity	0.0017513134851138354	0.0016398935408074402	0.001576182136602452	6.304728546409807E-4
1	0	Normalized kNN (test)	0.0017513134851138354	0.0013658638068334847	0.001576182136602452	6.304728546409807E-4
1	0	Average Rating	0.0017513134851138354	0.0015081218145822164	0.001576182136602452	6.304728546409807E-4
1	0	Normalized kNN (full)	0.0017513134851138354	0.001602201195023431	0.001576182136602452	6.304728546409807E-4
1	0	kNN (full/test)	0.0017513134851138354	0.001602201195023431	0.001576182136602452	6.304728546409807E-4
1	0	iMF (test)	0.0017513134851138354	0.00155858864597366	0.001576182136602452	6.304728546409807E-4
2	0	Random	8.438818565400844E-4	2.314476535488339E-4	2.5316455696202533E-4	1.654670306941342E-5
2	0	iMF (full)	8.438818565400844E-4	3.5619827879394155E-4	3.375527426160338E-4	2.2062270759217892E-5
2	0	Popularity	8.438818565400844E-4	5.403291883106927E-4	5.90717299578059E-4	3.860897382863131E-5
2	0	Normalized kNN (test)	8.438818565400844E-4	5.303889389079407E-4	5.90717299578059E-4	3.860897382863131E-5
2	0	Average Rating	8.438818565400844E-4	6.391410503924022E-4	5.90717299578059E-4	3.860897382863131E-5
2	0	Normalized kNN (full)	8.438818565400844E-4	5.854526215325275E-4	5.063291139240507E-4	3.309340613882684E-5
2	0	kNN (full/test)	8.438818565400844E-4	6.011591985534792E-4	5.90717299578059E-4	3.860897382863131E-5
2	0	iMF (test)	8.438818565400844E-4	4.105244305906895E-4	5.063291139240507E-4	3.309340613882684E-5
3	0	Random	5.633802816901409E-4	4.136225322380892E-4	3.9436619718309857E-4	4.3818466353677624E-4
3	0	iMF (full)	5.633802816901409E-4	5.235178812838982E-4	4.507042253521127E-4	5.007824726134585E-4
3	0	Popularity	5.633802816901409E-4	4.687949263623418E-4	3.9436619718309857E-4	4.3818466353677624E-4
3	0	Normalized kNN (test)	5.633802816901409E-4	5.192402724104253E-4	4.507042253521127E-4	5.007824726134585E-4
3	0	Average Rating	5.633802816901409E-4	5.192402724104253E-4	4.507042253521127E-4	5.007824726134585E-4
3	0	Normalized kNN (full)	5.633802816901409E-4	5.216064139239018E-4	4.507042253521127E-4	5.007824726134585E-4
3	0	kNN (full/test)	5.633802816901409E-4	5.216064139239018E-4	4.507042253521127E-4	5.007824726134585E-4
3	0	iMF (test)	5.633802816901409E-4	5.162113160567924E-4	4.507042253521127E-4	5.007824726134585E-4
4	0	Random	4.043671653861706E-4	6.015523891652756E-5	8.087343307723413E-5	3.1965783824993723E-6
4	0	iMF (full)	4.043671653861706E-4	3.4897504638159655E-4	3.2349373230893653E-4	1.2786313529997489E-5
4	0	Popularity	4.043671653861706E-4	2.2574219319116564E-4	2.021835826930853E-4	7.991445956248431E-6
4	0	Normalized kNN (test)	4.043671653861706E-4	4.043671653861706E-4	4.043671653861706E-4	1.5982891912496862E-5
4	0	Average Rating	4.043671653861706E-4	3.403117053908199E-4	3.2349373230893653E-4	1.2786313529997489E-5
4	0	Normalized kNN (full)	4.043671653861706E-4	2.6538750853532335E-4	2.8305701577031943E-4	1.1188024338747804E-5
4	0	kNN (full/test)	4.043671653861706E-4	3.1507134531630115E-4	2.8305701577031943E-4	1.1188024338747804E-5
4	0	iMF (test)	4.043671653861706E-4	1.9122260548299814E-4	2.4262029923170238E-4	9.589735147498118E-6
5	0	Random	2.845759817871372E-4	2.6572162110006E-4	2.5611838360842346E-4	5.820872354736897E-5
5	0	iMF (full)	2.845759817871372E-4	2.845759817871372E-4	2.845759817871372E-4	6.467635949707663E-5
5	0	Popularity	2.845759817871372E-4	2.576014899346754E-4	2.5611838360842346E-4	5.820872354736897E-5
5	0	Normalized kNN (test)	2.845759817871372E-4	2.532595665483665E-4	2.5611838360842346E-4	5.820872354736897E-5
5	0	Average Rating	2.845759817871372E-4	2.6572162110006E-4	2.5611838360842346E-4	5.820872354736897E-5
5	0	Normalized kNN (full)	2.845759817871372E-4	2.845759817871372E-4	2.845759817871372E-4	6.467635949707663E-5
5	0	kNN (full/test)	2.845759817871372E-4	2.845759817871372E-4	2.845759817871372E-4	6.467635949707663E-5
5	0	iMF (test)	2.845759817871372E-4	2.845759817871372E-4	2.845759817871372E-4	6.467635949707663E-5
1	1	Random	0.09492119089316989	0.0016140135394418996	0.001576182136602452	6.304728546409807E-4
1	1	iMF (full)	0.09492119089316989	0.0014861692800420137	0.0014010507880910684	5.604203152364273E-4
1	1	Popularity	0.09492119089316989	0.0016398935408074402	0.001576182136602452	6.304728546409807E-4
1	1	Normalized kNN (test)	0.09492119089316989	0.0013658638068334847	0.001576182136602452	6.304728546409807E-4
1	1	Average Rating	0.09492119089316989	0.0015081218145822164	0.001576182136602452	6.304728546409807E-4
1	1	Normalized kNN (full)	0.09492119089316989	0.001602201195023431	0.001576182136602452	6.304728546409807E-4
1	1	kNN (full/test)	0.09492119089316989	0.001602201195023431	0.001576182136602452	6.304728546409807E-4
1	1	iMF (test)	0.09492119089316989	0.001629717649848026	0.001576182136602452	6.304728546409807E-4
2	1	Random	0.09333333333333334	5.8591748469854226E-5	8.438818565400845E-5	5.515567689804473E-6
2	1	iMF (full)	0.09333333333333334	2.2678266289189475E-4	2.5316455696202533E-4	1.654670306941342E-5
2	1	Popularity	0.09333333333333334	5.403291883106927E-4	5.90717299578059E-4	3.860897382863131E-5
2	1	Normalized kNN (test)	0.09333333333333334	5.303889389079407E-4	5.90717299578059E-4	3.860897382863131E-5
