fold	target size	expected intersection ratio in top n
4	1682	0.006277800933560472
3	1000	0.010326669467568135
4	100	0.08736560068025494
2	10	0.43910724338511714
2	1682	0.00628009315850567
4	20	0.29341909831637797
4	500	0.020175521576137376
4	50	0.1533297680825999
2	200	0.04756096601877228
4	1000	0.010323195777746291
3	50	0.15357188966379548
3	20	0.29382337023746175
2	500	0.020205316133197516
3	10	0.4395947729677736
2	2	0.6382319906366304
4	0	0.6687348604925657
3	500	0.020191805224172837
2	20	0.29325491819004956
3	200	0.04752592346857443
4	200	0.04752547804806862
3	100	0.08751647934979331
3	5	0.5726122372456527
2	5	0.5707281174564651
2	50	0.15377142761253915
4	5	0.5715173290891218
2	0	0.6726114866276837
4	2	0.6357112218138874
3	1682	0.0062790007092377595
2	100	0.0875703808947206
2	1	0.655827514175292
3	1	0.6575506720500658
4	1	0.6526880655480022
4	10	0.43993201252004865
1	100	0.08760511332802398
1	50	0.15404927391640189
1	1000	0.01032722844071671
2	1000	0.010330859883184124
3	0	0.6727502819937891
1	5	0.5771352517037655
3	2	0.6395211813943864
5	100	0.08746266262430324
1	1682	0.006279712931417242
1	200	0.04756673958453619
1	500	0.02020971737050243
1	1	0.6617066102953475
1	20	0.29534509812392673
5	200	0.047568003562737486
1	2	0.6436478447403825
1	10	0.44261648368941875
5	50	0.15361471523718728
1	0	0.6759216772206188
5	1000	0.01032771101521437
5	1682	0.006278790304019539
5	500	0.02018527599826695
5	5	0.5737350919951726
5	20	0.2935502184412726
5	10	0.43858697370648414
5	1	0.6570175883501049
5	2	0.6404106264458309
5	0	0.6732703676716035
