target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=5, lambda=0.1, alpha=1.0)	NaN	5.598231860846407E-16	3.053967503191219E-14	3.206365606955391E-9	1.7712153700453945E-15
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=600)	NaN	7.803251489928665E-49	1.3980675336555025E-48	9.55783636900879E-33	4.9450769912059565E-52
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=400, min=3)	NaN	4.33849555773134E-198	1.0835906630616531E-165	9.95451323492184E-136	1.001562742154496E-196
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=5, lambda=1.0, alpha=10.0)	NaN	2.4647621596311584E-53	9.036558511734431E-51	8.47810069875349E-25	1.9724299349240147E-44
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=10, lambda=1.0, alpha=10.0)	NaN	5.596071194438662E-49	3.5268243774668185E-40	9.992242310657119E-18	1.8968213697093733E-33
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=60, min=3)	NaN	3.729738920963151E-181	9.893038307361585E-150	1.424693218674901E-119	2.4164204724226894E-177
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Average Rating	NaN	9.545850461531927E-208	4.79900031427833E-175	1.9619508651934273E-150	2.450020710772078E-219
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=5000)	NaN	1.9566105820443084E-58	3.785105224971583E-55	6.74140933985206E-40	1.0484892196434526E-59
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=4000, min=3)	NaN	3.5581689980718886E-204	5.8114703626120765E-167	1.8541211963908441E-144	1.7849503511075945E-205
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=900)	NaN	2.1832764210216336E-58	2.0877975100619936E-55	5.518908542343294E-40	6.822325204032154E-60
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=80)	NaN	2.5606553278772756E-6	2.605705166628139E-9	0.0018071327632937493	4.533572393644618E-8
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=40)	NaN	4.19348421969037E-6	3.046120414176561E-7	0.0030327863153714702	5.0536912036557585E-6
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=50, lambda=0.1, alpha=100.0)	NaN	3.445784306178428E-109	2.2929756935150095E-105	2.774327523344069E-60	3.116379232316888E-110
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=500, min=3)	NaN	1.475747708201698E-195	6.042474832408422E-163	1.5796219015955778E-135	9.670315036508422E-197
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=100)	NaN	2.737575781281754E-6	6.041223757500393E-9	0.002568448147682964	3.4183785177230564E-8
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=3000, min=3)	NaN	3.5581689980718886E-204	5.8114703626120765E-167	1.8541211963908441E-144	1.7849503511075945E-205
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=50, lambda=10.0, alpha=1.0)	NaN	1.082211975630037E-6	1.7648252338154668E-10	0.15515047497198065	2.782806790470303E-5
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=900, min=3)	NaN	5.203934917082222E-204	1.5114127209521036E-166	5.578262938950564E-144	1.1280516800678961E-204
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=50, min=3)	NaN	2.2123411878699664E-170	7.780048062142152E-143	6.243122020893436E-109	1.774574056960327E-166
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=5, lambda=10.0, alpha=10.0)	NaN	4.352453444167893E-62	1.5449501108373821E-55	4.047530853747597E-30	3.2060866232829676E-52
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=600, min=3)	NaN	8.272500363997349E-201	1.6958285947075124E-163	9.901776753761446E-138	8.028881348561851E-199
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=400)	NaN	1.0750639347709458E-33	4.729155785624992E-38	2.6495880453098807E-22	3.924064834412122E-39
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=5, lambda=0.1, alpha=100.0)	NaN	1.2329328849421493E-142	1.5601313198269506E-125	1.6925208489167498E-94	1.0089002135256433E-137
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=2000)	NaN	1.9566105820443084E-58	3.785105224971583E-55	6.74140933985206E-40	1.0484892196434526E-59
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=10, lambda=10.0, alpha=100.0)	NaN	3.333426671700782E-141	7.071902764342401E-129	1.801309320485885E-90	7.822586540588618E-146
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=1000, min=3)	NaN	3.5581689980718886E-204	5.8114703626120765E-167	1.8541211963908441E-144	1.7849503511075945E-205
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=700)	NaN	3.9069193057827572E-53	3.845079385579455E-52	5.456565264094706E-36	1.4558555191267903E-56
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=70, min=3)	NaN	1.0912472375429252E-186	9.80564760024715E-153	8.889063508793664E-126	1.872661785833173E-183
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=300, min=3)	NaN	6.3426633531137565E-198	4.400944600338394E-167	1.1868034092319128E-134	8.640118743351876E-196
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=90)	NaN	3.1910996600913473E-6	1.2499096782299962E-8	0.005600743957767286	1.8675305599704224E-7
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=50)	NaN	1.0475042285346825E-5	1.3307228396732251E-7	0.0012614933593491809	1.1421188188904967E-6
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=10)	NaN	1.4651658378197843E-21	5.606909858599864E-26	5.512505607150087E-9	2.7815898084581103E-21
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=20, min=3)	NaN	3.97111441101668E-127	2.4871064719527067E-110	4.7760051991700796E-64	5.357955171301815E-115
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=10, lambda=0.1, alpha=100.0)	NaN	1.3423538642034334E-147	2.0592462067971956E-130	2.9319960055422168E-92	2.4609064186028754E-146
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=50, lambda=1.0, alpha=1.0)	NaN	7.659043703106349E-12	1.196385475885322E-15	0.0038919313082572318	7.221416788607049E-10
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=10, lambda=10.0, alpha=1.0)	NaN	0.15117270153465945	0.07606191835791763	0.7118322670428159	0.19789080987918917
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=10, lambda=10.0, alpha=10.0)	NaN	1.6800434319819806E-49	5.75868030054916E-41	8.330792772377347E-14	5.52551742441541E-32
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=10, lambda=1.0, alpha=100.0)	NaN	1.8315596218424348E-149	4.002077950795442E-127	4.436870747127712E-95	1.8828282247405982E-139
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=2000, min=3)	NaN	3.5581689980718886E-204	5.8114703626120765E-167	1.8541211963908441E-144	1.7849503511075945E-205
