fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1	1682	Normalized kNN (k=1000, min=3)	1.0	0.023387369466564292	0.028525980911983034	0.023791897731589927	0.021526643153749022
4	0	Normalized kNN (k=1000, min=3)	0.8275715800636267	0.8195505159093331	0.5706256627783669	0.706787240153815	0.530342172095792
3	0	Normalized kNN (k=1000, min=3)	0.8319194061505832	0.8241439102183592	0.568186638388123	0.7158817849064484	0.5332073265771687
5	1682	Normalized kNN (k=1000, min=3)	1.0	0.014114211510133107	0.018345705196182397	0.012566623591540213	0.012961998914491601
2	1682	Normalized kNN (k=1000, min=3)	1.0	0.03282127259693829	0.03913043478260869	0.033626542352159415	0.02958476362743221
2	0	Normalized kNN (k=1000, min=3)	0.8369034994697774	0.815182147657769	0.5748674443266172	0.7086643202475392	0.5368452707186563
4	1682	Normalized kNN (k=1000, min=3)	1.0	0.02433893595198786	0.028101802757158005	0.01961871280982962	0.020518275939589888
5	0	Normalized kNN (k=1000, min=3)	0.8354188759278897	0.8163342971777569	0.5720042417815482	0.7161971941584514	0.536637541183069
1	0	Normalized kNN (k=1000, min=3)	0.8291622481442206	0.8204169654391565	0.5735949098621421	0.7206540870283101	0.5387591683296172
5	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.8354188759278897	0.8101686489159345	0.5713679745493107	0.7137545287016721	0.5353015635819118
4	1682	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.24490396936139794	0.18462354188759278	0.196636925310331	0.1553594809248671
1	1682	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.243409425890285	0.18525980911983034	0.20519880151727535	0.15731168757312095
1	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.8291622481442206	0.8191273005161778	0.571474019088017	0.7154820880792927	0.5348050377413393
4	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.8275715800636267	0.8158242281880137	0.5725344644750795	0.706590463361827	0.5306664300738898
3	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.8319194061505832	0.8258058113111417	0.5740190880169671	0.7174775706747387	0.5367039237099593
2	1682	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.2448965856847847	0.1872746553552492	0.19755337958515917	0.15769165506770758
5	1682	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.24085970184419955	0.18653234358430543	0.20448391427228438	0.15916406645107814
2	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.8369034994697774	0.8057061799360185	0.5721102863202545	0.7032533577215081	0.5331170129174919
5	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.8354188759278897	0.8142572163991428	0.575185577942736	0.7163577459642881	0.5382420186978175
3	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.8319194061505832	0.8156986143260884	0.5710498409331919	0.716213133730425	0.5346926478122321
2	1682	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.11552513049036285	0.09278897136797455	0.10405386616516869	0.08041726170664663
5	0	kNN (k=20)	0.8354188759278897	0.8042529973956647	0.5663838812301166	0.7085581540216838	0.530586583650177
2	1682	kNN (k=20)	1.0	0.3143724425988729	0.22778366914103926	0.24916458032015312	0.19512364833404652
1	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.8291622481442206	0.8160985826530764	0.571474019088017	0.7185766302788824	0.536566962511686
4	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.8275715800636267	0.8112344325071785	0.576458112407211	0.7103277323561605	0.5344128642441512
3	0	kNN (k=20)	0.8319194061505832	0.8092183650796292	0.5628844114528101	0.7078879967827231	0.5267780747638401
1	1682	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.11682859545236239	0.09077412513255569	0.11559136546218768	0.08285676108115797
4	1682	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.10694583537914269	0.08642629904559915	0.0982928336541785	0.07462082393992649
5	1682	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.10749459551731057	0.08981972428419936	0.10444616924934264	0.07966423685618731
2	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.8369034994697774	0.8074140341935351	0.5746553552492046	0.705387987686982	0.5357245560521734
