target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=5, lambda=0.1, alpha=1.0)	NaN	1.5570571164390083E-22	7.645018366192125E-21	7.573535365622938E-14	3.7683588218160906E-21
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=600)	NaN	1.1118493287202146E-53	2.506322761940677E-57	3.002139558541066E-40	3.4602324397456265E-60
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=400, min=3)	NaN	1.3143917150520192E-195	1.0240302616789317E-166	2.463110543140135E-137	1.5260516232689447E-200
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=5, lambda=1.0, alpha=10.0)	NaN	5.751024012396393E-65	6.964416931600936E-60	3.467010469421533E-37	2.8547301723755586E-59
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=60, min=3)	NaN	7.995417618660742E-189	7.074640528673051E-153	9.109915161031117E-125	1.3646835849878995E-185
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=10, lambda=1.0, alpha=10.0)	NaN	5.1256497469518176E-36	1.0340460814481914E-30	1.4375548218329877E-11	1.1808079192487518E-23
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Average Rating	NaN	3.8941273512932125E-202	5.884649441885612E-167	6.403560309638846E-143	9.066290458938294E-205
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=5000)	NaN	3.5883989554077875E-65	2.6426249722097136E-67	2.0083364123069118E-51	4.28214615217836E-73
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=900)	NaN	1.3361522868303125E-64	7.225506254842502E-67	4.503187427977306E-51	1.446147968182865E-72
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=4000, min=3)	NaN	1.46769457360027E-204	6.849670590862255E-170	3.1125134788328216E-148	1.7658449182958615E-212
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=80)	NaN	2.1842525078855063E-9	1.5110080547268672E-13	5.636134430232373E-6	2.7797598376183383E-12
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=40)	NaN	2.4909246151356943E-8	9.35737223564076E-14	2.0863013687729033E-4	9.082528461282189E-11
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=50, lambda=0.1, alpha=100.0)	NaN	4.024048679399519E-113	1.2908952355280883E-112	8.62722680711224E-63	1.8692401386542302E-118
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=100)	NaN	2.2066147525628284E-9	5.691088118999521E-14	1.827443975690003E-6	5.905107759068224E-13
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=500, min=3)	NaN	1.9583878699710898E-196	2.998216834973017E-165	1.5606761213152724E-138	1.6881115183753657E-201
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=3000, min=3)	NaN	1.46769457360027E-204	6.849670590862255E-170	3.1125134788328216E-148	1.7658449182958615E-212
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=50, lambda=10.0, alpha=1.0)	NaN	2.0291074900011086E-5	2.149156384655064E-12	0.17912208592496748	1.0422699559323499E-5
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=50, min=3)	NaN	3.558111292313383E-179	4.113956889111392E-148	1.3149449737353429E-114	1.3688392090212726E-179
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=900, min=3)	NaN	4.172734032979611E-204	7.929974565532094E-171	3.1556798105182394E-147	5.477787199215701E-212
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=5, lambda=10.0, alpha=10.0)	NaN	5.58210389131463E-60	9.431972987149034E-57	1.0699864448248872E-24	1.5013115037091435E-51
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=600, min=3)	NaN	5.035501439007611E-199	3.5965706824474755E-166	7.57233813347088E-142	1.4054504354059932E-205
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=400)	NaN	3.7631131649977187E-41	3.259097002991538E-47	4.9660960597303074E-30	6.409929352844934E-49
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=2000)	NaN	3.5883989554077875E-65	2.6426249722097136E-67	2.0083364123069118E-51	4.28214615217836E-73
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=5, lambda=0.1, alpha=100.0)	NaN	3.445898227152956E-147	6.774688487326728E-125	1.2390558519801662E-88	2.150602804089039E-140
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=10, lambda=10.0, alpha=100.0)	NaN	5.99634950815563E-150	1.0971688907652464E-130	1.949423449926758E-94	6.62161760396548E-150
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=1000, min=3)	NaN	1.46769457360027E-204	6.849670590862255E-170	3.1125134788328216E-148	1.7658449182958615E-212
