fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	100	Normalized kNN (k=1000, min=3)	1.0	0.20611334315597946	0.18706256627783668	0.1713889417555422	0.14887049889027615
3	100	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.47585881082014464	0.33679745493107105	0.4100829397955143	0.3030504496241905
3	100	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.38525315439535796	0.2897136797454931	0.3584834752719561	0.2618782566291318
3	100	kNN (k=20)	1.0	0.5071091573085683	0.3580063626723224	0.4315097715036257	0.3204933947853539
3	100	Normalized kNN (k=6000, min=3)	1.0	0.20611334315597946	0.18706256627783668	0.1713889417555422	0.14887049889027615
3	100	kNN (k=80)	1.0	0.5060524717597276	0.3552492046659597	0.43084320022534583	0.3186793118129365
3	100	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.37635409213524634	0.2689289501590668	0.3403115118413742	0.2446057537380245
3	100	Normalized kNN (k=200, min=3)	1.0	0.20900896337420855	0.18759278897136797	0.1609398865471479	0.14583108098130043
3	100	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.5578415077816348	0.39660657476139977	0.4717675390994822	0.35462300905601596
3	100	Normalized kNN (k=10, min=3)	1.0	0.42114516614413977	0.30286320254506893	0.3725314536165982	0.2748900557650918
3	100	kNN (k=60)	1.0	0.5088571410656967	0.35779427359490984	0.4345868316120642	0.3210036485000004
3	100	Average Rating	1.0	0.16648469127796006	0.12873806998939555	0.10223912183748103	0.09714322282794996
3	100	kNN (k=40)	1.0	0.5124630589539566	0.3591728525980912	0.4362293725162735	0.32216336790259864
3	100	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.48333446104579486	0.3440084835630965	0.41627375897824187	0.3098075300853918
2	100	Normalized kNN (k=1000, min=3)	1.0	0.2102070820485043	0.19119830328738072	0.16328248938426157	0.14846171069841615
2	100	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.4696999403910182	0.3412513255567338	0.40465919940636264	0.305875785220816
2	100	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.3931372492764505	0.30106044538706256	0.34989732222117537	0.26674896602334597
2	100	kNN (k=20)	1.0	0.5045427685528522	0.3605514316012725	0.4223027546521488	0.3224362988552308
3	100	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.5233847702070916	0.3670201484623542	0.44871914516685324	0.3318938838689509
3	100	Normalized kNN (k=40, min=3)	1.0	0.3494720014853691	0.2608695652173913	0.33679899546622666	0.2380754920468984
3	100	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.5158718183101269	0.36765641569459173	0.4470253175575305	0.3318275715784208
3	100	Normalized kNN (k=70, min=3)	1.0	0.2931811927082514	0.23032873806998938	0.27364708125259335	0.20147304355275195
2	100	Normalized kNN (k=6000, min=3)	1.0	0.2102070820485043	0.19119830328738072	0.16328248938426157	0.14846171069841615
2	100	kNN (k=80)	1.0	0.49998727772673524	0.3580063626723224	0.42136416876454375	0.3196753493646346
3	100	kNN (k=700)	1.0	0.3915524809718835	0.28780487804878047	0.31137117249336055	0.24382411317306013
3	100	Normalized kNN (k=500, min=3)	1.0	0.2099793924357213	0.18928950159066807	0.17145782056758693	0.1502180428349121
3	100	Normalized kNN (k=900, min=3)	1.0	0.20641238578239135	0.1872746553552492	0.171492647425672	0.1489980895572904
3	100	iMF (k=10, lambda=10.0, alpha=10.0)	1.0	0.5165231972256641	0.36924708377518556	0.4471692719779589	0.3333321901832657
3	100	kNN (k=6000)	1.0	0.38397561696467597	0.28282078472958644	0.3035678483074102	0.2386966492115636
3	100	kNN (k=300)	1.0	0.4531781183680318	0.3207847295864263	0.3753530755380879	0.28084368858104636
3	100	iMF (k=10, lambda=10.0, alpha=1.0)	1.0	0.5566899078602157	0.3970307529162248	0.47238028156188316	0.3554922666016455
5	100	Normalized kNN (k=1000, min=3)	1.0	0.2064648089212612	0.18176033934252386	0.15514132675101858	0.14137279337358105
2	100	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.36176506420386295	0.2698833510074231	0.3287953229587146	0.2456676015778973
5	100	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.47871884124301717	0.3425238600212089	0.4176547378100719	0.30977232179833486
5	100	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.3917344219050338	0.30053022269353125	0.3637632197531727	0.2709002123939993
5	100	kNN (k=20)	1.0	0.5075496066986145	0.3601272534464475	0.43345099412946114	0.3245500935166891
2	100	Normalized kNN (k=200, min=3)	1.0	0.2166700482330623	0.19618239660657477	0.1576040177966105	0.14935230366070074
2	100	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.5396439244872591	0.39098621420996815	0.45362513992976444	0.3476145109473395
2	100	Normalized kNN (k=10, min=3)	1.0	0.423365448944503	0.3110286320254507	0.37071581080547994	0.27920612554115976
2	100	kNN (k=60)	1.0	0.5048694692335207	0.3619300106044539	0.4257803833026664	0.32350826382200515
2	100	Average Rating	1.0	0.19785367900631468	0.17762460233297986	0.1532375191198922	0.13769004177641786
2	100	kNN (k=40)	1.0	0.5053156831475591	0.3627783669141039	0.4276984859437201	0.324220271973174
2	100	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.47052639559334786	0.33775185577942735	0.4063090286474121	0.30431862945066473
5	100	Normalized kNN (k=6000, min=3)	1.0	0.2064648089212612	0.18176033934252386	0.15514132675101858	0.14137279337358105
5	100	kNN (k=80)	1.0	0.4990175360152854	0.35440084835630964	0.42730952063980676	0.3180708705295887
3	100	iMF (k=50, lambda=1.0, alpha=10.0)	1.0	0.47362478976792416	0.3372216330858961	0.4140634807623992	0.3051470528942916
3	100	Normalized kNN (k=300, min=3)	1.0	0.2067080063811032	0.18515376458112406	0.15797442893233457	0.1436948017130975
3	100	kNN (k=5000)	1.0	0.38397561696467597	0.28282078472958644	0.3035678483074102	0.2386966492115636
3	100	iMF (k=10, lambda=1.0, alpha=1.0)	1.0	0.557201200355867	0.395864262990456	0.47058943091803795	0.35398628541188915
3	100	iMF (k=5, lambda=10.0, alpha=1.0)	1.0	0.4960947959305803	0.35980911983032876	0.4215689753305658	0.3181623874923095
3	100	Normalized kNN (k=20, min=3)	1.0	0.3901982277883196	0.28451749734888654	0.3651898209509605	0.2616874718162326
3	100	kNN (k=4000)	1.0	0.38397561696467597	0.28282078472958644	0.3035678483074102	0.2386966492115636
3	100	kNN (k=800)	1.0	0.38634024783592374	0.28462354188759276	0.3056330942992788	0.24019161586430607
3	100	kNN (k=3000)	1.0	0.38397561696467597	0.28282078472958644	0.3035678483074102	0.2386966492115636
2	100	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.5113370186980639	0.3652173913043478	0.4267471064449485	0.32641740972896643
2	100	Normalized kNN (k=40, min=3)	1.0	0.34695226654873496	0.2689289501590668	0.3244701236307011	0.2412025750836798
5	100	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.3739634136394469	0.27200424178154825	0.342623872917582	0.24956784293024026
2	100	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.5128856810515272	0.3767762460233298	0.4505575333647059	0.3390303496994605
2	100	Normalized kNN (k=70, min=3)	1.0	0.29561234635099515	0.240084835630965	0.2718661943647012	0.20662597638203056
5	100	Normalized kNN (k=200, min=3)	1.0	0.2144735616545122	0.1857900318133616	0.14872685327356247	0.1411986861717318
2	100	kNN (k=700)	1.0	0.39504261772501226	0.2968186638388123	0.32023395169766805	0.25279435766440717
5	100	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.5364336930292284	0.3893955461293743	0.4588984397549386	0.3477289842521047
5	100	Normalized kNN (k=10, min=3)	1.0	0.41865868354071556	0.3046659597030753	0.3740082262237208	0.27705400193773944
5	100	kNN (k=60)	1.0	0.5029643646040156	0.35641569459172856	0.434052915055775	0.32104150992842906
5	100	Average Rating	1.0	0.2050658598821201	0.1765641569459173	0.1513763777379662	0.13675718199727388
5	100	kNN (k=40)	1.0	0.5060664757649201	0.3565217391304348	0.4305160834869884	0.3202333331980894
5	100	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.4691362883629591	0.33923647932131495	0.40773878624435417	0.3046805060494502
2	100	Normalized kNN (k=500, min=3)	1.0	0.21167033528094353	0.1919406150583245	0.16319039929486312	0.14854937529578913
2	100	Normalized kNN (k=900, min=3)	1.0	0.21016178970890037	0.19109225874867444	0.1631057484864178	0.14832915502503333
2	100	iMF (k=10, lambda=10.0, alpha=10.0)	1.0	0.5157392518960888	0.3790031813361612	0.44569607860000104	0.3391996201447521
2	100	kNN (k=6000)	1.0	0.38713648550057567	0.29278897136797455	0.3134313218879053	0.24827474344267958
2	100	kNN (k=300)	1.0	0.4477234413231625	0.32598091198303286	0.3685237525514005	0.28467111618649177
2	100	iMF (k=10, lambda=10.0, alpha=1.0)	1.0	0.5424919718982953	0.3938494167550371	0.4552050111487391	0.3497029614995164
3	100	iMF (k=50, lambda=0.1, alpha=100.0)	1.0	0.3590240678150475	0.26277836691410394	0.3261806004922932	0.239041726679962
3	100	Normalized kNN (k=80, min=3)	1.0	0.2759740603260891	0.2234358430540827	0.252546533852883	0.19130677743558988
3	100	Popularity	1.0	0.3131900159160609	0.22852598091198303	0.24891869608145367	0.19466581446331616
3	100	Normalized kNN (k=600, min=3)	1.0	0.2085885753468389	0.18875927889713678	0.17236765937405826	0.14998435503550558
3	100	kNN (k=400)	1.0	0.42730074299998955	0.3054082714740191	0.3489529314004977	0.2639229132493847
3	100	iMF (k=5, lambda=0.1, alpha=100.0)	1.0	0.39264538987669195	0.29056203605514314	0.3486334496426305	0.26042428818776664
5	100	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.5223911608300127	0.3679745493107105	0.44833991268658396	0.3332409323395475
5	100	Normalized kNN (k=40, min=3)	1.0	0.34484861098200315	0.25726405090137855	0.3259701540087888	0.23263132870569447
5	100	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.5109882622384186	0.37317073170731707	0.447085906798812	0.3357315112720434
3	100	Normalized kNN (k=3000, min=3)	1.0	0.20611334315597946	0.18706256627783668	0.1713889417555422	0.14887049889027615
3	100	iMF (k=10, lambda=0.1, alpha=100.0)	1.0	0.3793322288849803	0.28695652173913044	0.3439260527315646	0.2565764627641026
5	100	Normalized kNN (k=70, min=3)	1.0	0.29261146905272867	0.23244962884411452	0.2683285157906579	0.20073448232177496
