fold	target size	expected intersection ratio in top n
1	0	0.7095253941835561
2	0	0.7205088211307495
3	0	0.7214326349941829
4	0	0.7208825153311348
5	0	0.7069586759224022
1	1	0.6945102030772905
2	1	0.7040959041238142
3	1	0.7074321981896545
4	1	0.7050039897622432
5	1	0.6917686255633205
1	2	0.6751860995079056
2	2	0.6867447736913921
3	2	0.692451131921788
4	2	0.6870662298238832
5	2	0.6752523624728813
1	5	0.6083444502134936
2	5	0.6191147064953113
3	5	0.6272063225804541
4	5	0.6149880661034743
5	5	0.6153274636400602
1	10	0.46235912886552133
2	10	0.4713260435221165
3	10	0.47570138508016024
4	10	0.46669916045641047
5	10	0.4714991015814255
1	20	0.30598203834158744
2	20	0.31034123375769845
3	20	0.3116375045030707
4	20	0.30655411330391563
5	20	0.3084560266232375
1	50	0.1574103862351759
2	50	0.1587815172695899
3	50	0.15901590191414242
4	50	0.15816525220886474
5	50	0.15809582113835774
1	100	0.08886781707448574
2	100	0.08921996449364891
3	100	0.08942900172495075
4	100	0.08900814775959004
5	100	0.08900201492579024
1	200	0.047885743609816345
2	200	0.04809682441045718
3	200	0.04807299147711603
4	200	0.047946566296309084
5	200	0.048001490016832474
1	500	0.02028274121855584
2	500	0.02027821971146143
3	500	0.020273482810349255
4	500	0.020268141441101138
5	500	0.020248403002681343
1	1000	0.010339019161646932
2	1000	0.010351134965345126
3	1000	0.010340397240253433
4	1000	0.01034176481403223
5	1000	0.010338405412801245
1	1534	0.0068796587445397305
2	1534	0.0068819801225711115
3	1534	0.006881765009262451
4	1534	0.006881109502584033
5	1534	0.006879484592477161
