target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1534	kNN (k=2000)	iMF (k=5, lambda=1.0, alpha=100.0)	NaN	7.281239163778619E-30	3.587634241730828E-28	2.508978770795248E-15	1.2574128060417942E-27
1534	kNN (k=2000)	kNN (k=100)	NaN	3.1039822248576982E-9	1.1546724954154116E-4	2.8088692042566315E-6	5.475233696560989E-6
1534	kNN (k=2000)	iMF (k=50, lambda=0.1, alpha=10.0)	NaN	0.2800447031893192	0.06134373313468285	0.39798344849277334	0.6123688966981624
1534	kNN (k=2000)	Normalized kNN (k=90, min=3)	NaN	1.3039552826344434E-41	5.967504514451956E-39	1.3015971554283786E-31	2.702029690013893E-43
1534	kNN (k=2000)	iMF (k=5, lambda=10.0, alpha=10.0)	NaN	0.18401644300704467	0.35420793762823355	0.09341015287147136	0.7219133019092543
1534	kNN (k=2000)	Normalized kNN (k=500, min=3)	NaN	3.864035273740821E-41	5.371863797120889E-38	6.498712026179868E-32	4.494735883738783E-43
1534	kNN (k=2000)	Normalized kNN (k=30, min=3)	NaN	5.940639729846431E-25	1.8551592330254732E-25	6.45257410600349E-14	1.1533324841456708E-25
1534	kNN (k=2000)	kNN (k=70)	NaN	2.5598997014765276E-10	2.704925150202476E-6	4.320544913069505E-7	1.6507669193811893E-7
1534	kNN (k=2000)	kNN (k=30)	NaN	1.432829296690529E-6	2.7633812789903193E-6	4.1367128835348203E-7	1.0571778262822624E-7
1534	kNN (k=2000)	iMF (k=5, lambda=0.1, alpha=100.0)	NaN	3.0301320580195865E-26	1.0348752447831916E-26	5.071856778659053E-12	1.2251135238486628E-26
1534	kNN (k=2000)	Popularity	NaN	7.620605159521033E-17	3.087429935348571E-14	3.882090358564791E-8	1.0233311422750454E-12
1534	kNN (k=2000)	kNN (k=400)	NaN	NaN	NaN	NaN	NaN
1534	kNN (k=2000)	kNN (k=4000)	NaN	NaN	NaN	NaN	NaN
1534	kNN (k=2000)	Normalized kNN (k=2000, min=3)	NaN	3.864035273740821E-41	5.371863797120889E-38	6.498712026179868E-32	4.494735883738783E-43
1534	kNN (k=2000)	kNN (k=900)	NaN	NaN	NaN	NaN	NaN
1534	kNN (k=2000)	Normalized kNN (k=400, min=3)	NaN	3.864035273740821E-41	5.371863797120889E-38	6.498712026179868E-32	4.494735883738783E-43
1534	kNN (k=2000)	iMF (k=50, lambda=10.0, alpha=1.0)	NaN	0.8457411873240284	0.40808523327252133	0.24504391009671778	0.7449513127128713
1534	kNN (k=2000)	iMF (k=50, lambda=0.1, alpha=100.0)	NaN	8.557067336084279E-7	2.0562707528086025E-6	0.009315020428550118	1.905675485792127E-5
1534	kNN (k=2000)	kNN (k=80)	NaN	1.4666842547395642E-9	2.279109641078958E-5	2.2868198874914694E-6	9.340367579349364E-7
1534	kNN (k=2000)	Normalized kNN (k=300, min=3)	NaN	3.864035273740821E-41	5.371863797120889E-38	6.498712026179868E-32	4.494735883738783E-43
1534	kNN (k=2000)	Normalized kNN (k=50, min=3)	NaN	3.5311303621403653E-37	4.401195324771987E-35	5.425732108103592E-22	2.368649203458385E-37
1534	kNN (k=2000)	kNN (k=300)	NaN	NaN	NaN	NaN	NaN
1534	kNN (k=2000)	Normalized kNN (k=6000, min=3)	NaN	3.864035273740821E-41	5.371863797120889E-38	6.498712026179868E-32	4.494735883738783E-43
1534	kNN (k=2000)	iMF (k=5, lambda=0.1, alpha=10.0)	NaN	0.04768154294410116	0.09350196589509585	0.16787183955085982	0.8941112449677313
1534	kNN (k=2000)	iMF (k=5, lambda=10.0, alpha=1.0)	NaN	1.276375710671781E-6	7.209364192441726E-7	3.3953711151774475E-6	1.9790762371811872E-7
1534	kNN (k=2000)	kNN (k=40)	NaN	8.744708832958769E-10	4.48903727089481E-8	2.2897589431263436E-9	2.452191204891123E-10
1534	kNN (k=2000)	Normalized kNN (k=80, min=3)	NaN	4.7750900514485647E-42	1.8336749875794443E-39	4.104592451531765E-32	7.675467374108537E-44
1534	kNN (k=2000)	Normalized kNN (k=3000, min=3)	NaN	3.864035273740821E-41	5.371863797120889E-38	6.498712026179868E-32	4.494735883738783E-43
1534	kNN (k=2000)	Normalized kNN (k=5000, min=3)	NaN	3.864035273740821E-41	5.371863797120889E-38	6.498712026179868E-32	4.494735883738783E-43
1534	kNN (k=2000)	Normalized kNN (k=900, min=3)	NaN	3.864035273740821E-41	5.371863797120889E-38	6.498712026179868E-32	4.494735883738783E-43
1534	kNN (k=2000)	iMF (k=50, lambda=10.0, alpha=10.0)	NaN	0.015665401665218005	1.9157274193479538E-4	0.736992242970214	0.01957630891940788
1534	kNN (k=2000)	kNN (k=600)	NaN	NaN	NaN	NaN	NaN
1534	kNN (k=2000)	Normalized kNN (k=4000, min=3)	NaN	3.864035273740821E-41	5.371863797120889E-38	6.498712026179868E-32	4.494735883738783E-43
1534	kNN (k=2000)	Average Rating	NaN	3.4524682034074946E-38	6.517991754783221E-37	8.180567620398922E-27	2.4597416154689378E-39
1534	kNN (k=2000)	iMF (k=10, lambda=10.0, alpha=1.0)	NaN	1.6184651256820927E-9	1.4542294925915913E-8	9.703609010276261E-9	3.1488661425759015E-10
1534	kNN (k=2000)	Normalized kNN (k=600, min=3)	NaN	3.864035273740821E-41	5.371863797120889E-38	6.498712026179868E-32	4.494735883738783E-43
1534	kNN (k=2000)	iMF (k=50, lambda=10.0, alpha=100.0)	NaN	6.685051174375151E-5	2.064577004339601E-4	0.09456060352662421	0.0014377347231288623
1534	kNN (k=2000)	Normalized kNN (k=100, min=3)	NaN	1.2216515231955608E-41	1.1550952069315908E-38	3.899997275559093E-32	1.4257134840871591E-43
1534	kNN (k=2000)	iMF (k=10, lambda=1.0, alpha=100.0)	NaN	1.7670966032456293E-21	2.396511803790764E-24	3.563099257971924E-8	3.323914342015539E-23
1534	kNN (k=2000)	kNN (k=90)	NaN	1.1469857975294513E-8	8.80326753747003E-5	6.928618045973664E-6	4.472741398206206E-6
1534	kNN (k=2000)	Normalized kNN (k=800, min=3)	NaN	3.864035273740821E-41	5.371863797120889E-38	6.498712026179868E-32	4.494735883738783E-43
1534	kNN (k=2000)	kNN (k=500)	NaN	NaN	NaN	NaN	NaN
1534	kNN (k=2000)	Normalized kNN (k=60, min=3)	NaN	5.571362067230379E-41	2.4726274996249243E-38	1.9908937572390097E-30	1.0517777735788711E-41
1534	kNN (k=2000)	iMF (k=10, lambda=10.0, alpha=10.0)	NaN	0.047613930886139	0.1639238854287438	0.03115484070546124	0.5287746439724362
1534	kNN (k=2000)	kNN (k=3000)	NaN	NaN	NaN	NaN	NaN
1534	kNN (k=2000)	iMF (k=10, lambda=0.1, alpha=100.0)	NaN	3.4941039820545547E-25	6.711816327191027E-26	5.780357583456882E-13	4.29296961303548E-25
1534	kNN (k=2000)	iMF (k=50, lambda=0.1, alpha=1.0)	NaN	0.6845440976895483	0.15574460459296502	0.2008482856858782	0.8765891888245119
1534	kNN (k=2000)	kNN (k=50)	NaN	6.870465619839179E-10	9.838241867921863E-8	3.974512876593234E-8	3.581542574797452E-9
1534	kNN (k=2000)	iMF (k=50, lambda=1.0, alpha=10.0)	NaN	0.3720837572111003	0.04148437935104493	0.176690138773819	0.5944354639425282
1534	kNN (k=2000)	kNN (k=10)	NaN	0.00930498082952462	0.0029384625600177208	0.0030368250695422933	0.0022008477126773444
1534	kNN (k=2000)	Normalized kNN (k=10, min=3)	NaN	7.170927895218224E-9	3.887327950142321E-8	0.09748580592901523	1.9065885188485545E-5
1534	kNN (k=2000)	Normalized kNN (k=70, min=3)	NaN	5.5888460716319814E-42	6.068637740877112E-39	1.8827020287282385E-31	4.793232648187798E-43
1534	kNN (k=2000)	kNN (k=800)	NaN	NaN	NaN	NaN	NaN
