fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
4	1534	Normalized kNN (k=1000, min=3)	1.0	0.022294758985974345	0.020146520146520148	0.014881035576923017	0.015020373963397194
1	1534	Normalized kNN (k=1000, min=3)	1.0	0.01726637774897458	0.01611721611721612	0.013416289812460944	0.012349972516390442
5	1534	Normalized kNN (k=1000, min=3)	1.0	0.02219207843806651	0.024175824175824177	0.016823745573387845	0.017158025922015808
3	1534	Normalized kNN (k=1000, min=3)	1.0	0.01389845124327481	0.014285714285714287	0.00846656277328255	0.009861072057020859
2	1534	Normalized kNN (k=1000, min=3)	1.0	0.02421494323486972	0.02564102564102564	0.020068460088623525	0.018264841025959665
4	1534	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.18646771346571223	0.1274725274725275	0.169629750926072	0.11953158083834217
5	1534	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.1890419055078927	0.13223443223443224	0.17428585035126679	0.12140616046231802
1	1534	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.19940045876259643	0.14249084249084248	0.1892024112530285	0.13594013828052823
3	1534	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.20850601804129154	0.14652014652014653	0.19585624996514414	0.1366427162363049
2	1534	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.17512242446671522	0.12527472527472527	0.1700650537715015	0.11703155965894273
4	1534	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.07335108715214309	0.056043956043956046	0.08240253463073213	0.053519538942162596
5	1534	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.05823037496569813	0.04542124542124542	0.07529730358570515	0.04535610087174639
4	1534	kNN (k=20)	1.0	0.26368861618236267	0.1813186813186813	0.22114903992173734	0.16210421785544607
5	1534	kNN (k=20)	1.0	0.2542809065285952	0.1761904761904762	0.21674861730390096	0.15456065953556916
1	1534	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.07893995715013782	0.05274725274725275	0.09352970329064365	0.054166205283521854
1	1534	kNN (k=20)	1.0	0.2609500854497223	0.18205128205128207	0.2171410877630444	0.16467155177612564
2	1534	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.06536884866782104	0.04981684981684981	0.06335748780734149	0.043699822145600024
2	1534	kNN (k=20)	1.0	0.26308792587662716	0.1805860805860806	0.2267431517792102	0.162676471156948
3	1534	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.06542917566578448	0.045787545787545784	0.06468046580480205	0.04451584925062295
3	1534	kNN (k=20)	1.0	0.2569558506427562	0.17875457875457876	0.2134957640527326	0.1586297914870254
4	1534	Normalized kNN (k=6000, min=3)	1.0	0.022294758985974345	0.020146520146520148	0.014881035576923017	0.015020373963397194
5	1534	Normalized kNN (k=6000, min=3)	1.0	0.02219207843806651	0.024175824175824177	0.016823745573387845	0.017158025922015808
4	1534	kNN (k=80)	1.0	0.2574428265211433	0.17802197802197803	0.21178475759081214	0.15885984806893455
5	1534	kNN (k=80)	1.0	0.2514681210399245	0.17435897435897438	0.2089047805513388	0.15201861638059913
1	1534	Normalized kNN (k=6000, min=3)	1.0	0.01726637774897458	0.01611721611721612	0.013416289812460944	0.012349972516390442
2	1534	Normalized kNN (k=6000, min=3)	1.0	0.02421494323486972	0.02564102564102564	0.020068460088623525	0.018264841025959665
1	1534	kNN (k=80)	1.0	0.25344909036391394	0.17326007326007328	0.211776344013403	0.1588413909985507
2	1534	kNN (k=80)	1.0	0.24124726135634886	0.1663003663003663	0.19836797182048924	0.14673400982850526
3	1534	Normalized kNN (k=6000, min=3)	1.0	0.01389845124327481	0.014285714285714287	0.00846656277328255	0.009861072057020859
3	1534	kNN (k=80)	1.0	0.256461835382801	0.17802197802197803	0.22199447352128968	0.16049630903117773
2	1534	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.17506456137485643	0.11794871794871796	0.15814611470338819	0.10788290737201012
4	1534	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.15768234170375753	0.11208791208791209	0.13637162911253642	0.1014685973733365
3	1534	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.15377520945384773	0.11355311355311355	0.14099425090991227	0.10328221645235182
5	1534	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.16789684701492857	0.11684981684981685	0.15112840419917412	0.10542030020767588
4	1534	Normalized kNN (k=200, min=3)	1.0	0.02229891290455884	0.020512820512820516	0.01618763716219529	0.015654460901424094
2	1534	Normalized kNN (k=200, min=3)	1.0	0.02296102928838286	0.023076923076923078	0.018610780126377163	0.0166439955471864
3	1534	Normalized kNN (k=200, min=3)	1.0	0.013667656686505165	0.013186813186813187	0.007356748218089843	0.008682038094104111
4	1534	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.2802475646317373	0.19377289377289378	0.24232443027920814	0.17699719216361887
5	1534	Normalized kNN (k=200, min=3)	1.0	0.02211536784512701	0.02454212454212454	0.016771237842569196	0.01717719275674581
4	1534	Normalized kNN (k=10, min=3)	1.0	0.14514867026577055	0.10293040293040294	0.1616919902676285	0.10354103809057986
2	1534	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.2882926535565914	0.1956043956043956	0.2417325889423295	0.17567358001065353
3	1534	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.2958665076395058	0.20476190476190476	0.25349190446547565	0.18552271755769903
4	1534	kNN (k=60)	1.0	0.26598022781358416	0.18315018315018314	0.22574532054346383	0.16494683265589083
2	1534	Normalized kNN (k=10, min=3)	1.0	0.15063942920609685	0.10183150183150183	0.16000472921825795	0.10037138072740828
4	1534	Average Rating	1.0	0.02472283367296581	0.023076923076923078	0.020077788135954285	0.017454747258619334
3	1534	Normalized kNN (k=10, min=3)	1.0	0.1443638060088531	0.10366300366300367	0.15056241168321463	0.10002362849154398
1	1534	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.1694838745925312	0.12454212454212454	0.1497909352909169	0.11196993576259427
2	1534	kNN (k=60)	1.0	0.2533039111145929	0.17289377289377292	0.21836179871654357	0.15558483627595168
2	1534	Average Rating	1.0	0.02668307904015129	0.027472527472527472	0.01940142578605414	0.019546538119857543
2	1534	kNN (k=40)	1.0	0.2591238800250157	0.17472527472527474	0.21860581584265731	0.15653812891609684
3	1534	kNN (k=60)	1.0	0.26289669130532256	0.18021978021978022	0.22313044085321235	0.162529005297072
3	1534	Average Rating	1.0	0.010578068087881183	0.011721611721611722	0.008139828469495887	0.008517430281396152
4	1534	kNN (k=40)	1.0	0.2720931740174327	0.1794871794871795	0.22964508399408617	0.1632656771029759
3	1534	kNN (k=40)	1.0	0.2693665738113194	0.18205128205128207	0.22661105519236496	0.16395453897372042
5	1534	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.2979374526425114	0.20183150183150184	0.2608823273060419	0.18128837299292924
2	1534	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.18755074047437695	0.13443223443223445	0.18267514643615854	0.12314456516138024
5	1534	Normalized kNN (k=10, min=3)	1.0	0.14790130420313202	0.10402930402930403	0.15689020557791877	0.10069647982031821
5	1534	kNN (k=60)	1.0	0.2525530937264445	0.17655677655677657	0.22276108367548744	0.15646434710454657
3	1534	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.19943234183720507	0.14102564102564102	0.18989213267011046	0.13112797227523262
5	1534	Average Rating	1.0	0.022520913165914463	0.022344322344322345	0.019047236426340264	0.017287769305411316
4	1534	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.17863389693605003	0.12673992673992673	0.16266719394573817	0.11605066224002862
5	1534	kNN (k=40)	1.0	0.26064706762411727	0.18021978021978022	0.22642865896846673	0.15906452203560287
1	1534	Normalized kNN (k=200, min=3)	1.0	0.01789691441213635	0.016849816849816852	0.014135092614597078	0.013060837888909951
5	1534	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.1894168110265397	0.132967032967033	0.18016580190320242	0.12363649329631728
1	1534	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.28610820569960926	0.19926739926739925	0.24513273767720978	0.1810594705873436
1	1534	Normalized kNN (k=10, min=3)	1.0	0.14636186269817805	0.1043956043956044	0.15261340725569164	0.10497116203758783
1	1534	kNN (k=60)	1.0	0.2638539805162998	0.1813186813186813	0.22427559291136145	0.16763003157125306
1	1534	Average Rating	1.0	0.02840671487263064	0.026739926739926742	0.02399441431464952	0.0200622067130252
1	1534	kNN (k=40)	1.0	0.26595079545540906	0.1846153846153846	0.23516410848927521	0.17200727681495437
1	1534	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.19739035857308038	0.14029304029304032	0.18944411361214236	0.13408533460194624
3	1534	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.22585832920044405	0.14505494505494507	0.2129649799457477	0.14178022315619654
4	1534	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.2040642133561033	0.14175824175824178	0.19346708697451073	0.13555107024121368
3	1534	Normalized kNN (k=40, min=3)	1.0	0.044339296485537374	0.03736263736263737	0.05488742137878584	0.03447525548997929
4	1534	Normalized kNN (k=40, min=3)	1.0	0.046225832859350606	0.037728937728937734	0.060031433418047696	0.03604646234891359
5	1534	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.2096047442511937	0.13589743589743591	0.20276415986620447	0.13187692824441255
2	1534	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.23390201546541892	0.14249084249084248	0.20807519211311215	0.13916594797717924
5	1534	Normalized kNN (k=40, min=3)	1.0	0.04752091079285525	0.04102564102564103	0.04576445090122081	0.03473795116528879
3	1534	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.20148467569079181	0.13553113553113552	0.20275900630189614	0.13284040617015566
2	1534	Normalized kNN (k=40, min=3)	1.0	0.04432683525284394	0.03296703296703297	0.04831399020849736	0.030990647072727216
4	1534	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.17929555716351447	0.13333333333333333	0.16684777985679342	0.12327232436971901
3	1534	Normalized kNN (k=70, min=3)	1.0	0.016011991515522298	0.01794871794871795	0.014257335367618095	0.013604807083920855
5	1534	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.1821133274841749	0.12893772893772895	0.1817576236857487	0.12377729270742045
4	1534	Normalized kNN (k=70, min=3)	1.0	0.027823117130612914	0.024175824175824177	0.02613907103056508	0.020146254650856146
3	1534	kNN (k=700)	1.0	0.22476155222587602	0.15531135531135531	0.1929451030897852	0.13854622968988128
2	1534	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.17609017895667395	0.12783882783882783	0.17015994819241692	0.11846822048046793
4	1534	kNN (k=700)	1.0	0.22805948098851575	0.16117216117216118	0.18395384898682804	0.1389651908326275
5	1534	Normalized kNN (k=70, min=3)	1.0	0.02875397499515207	0.03003663003663004	0.024408250509110156	0.02275135027612271
