fold	target size	expected intersection ratio in top n
1	0	0.7095253941835561
2	0	0.7205088211307495
3	0	0.7214326349941829
4	0	0.7208825153311348
5	0	0.7069586759224022
1	1	0.6940500360529366
2	1	0.7041486306054875
3	1	0.7070114426021565
4	1	0.705005249717834
5	1	0.6917422818609144
1	2	0.6752529053857174
2	2	0.6865083247168792
3	2	0.6928091469092585
4	2	0.6866236045353167
5	2	0.6760241504193942
1	5	0.6081146995713276
2	5	0.6201193675974039
3	5	0.6278065116421568
4	5	0.6159975856045119
5	5	0.6150311330636591
1	10	0.46297704898298436
2	10	0.469563360058059
3	10	0.4754520890151468
4	10	0.46662794420780096
5	10	0.4700089125216999
1	20	0.3056258570543216
2	20	0.309424486820841
3	20	0.3108021505893359
4	20	0.3082278773185319
5	20	0.30803489835219866
1	50	0.15787142419855624
2	50	0.15863967912620844
3	50	0.15886250191828916
4	50	0.15791647388255114
5	50	0.1575552986166307
1	100	0.08880753694412327
2	100	0.08918619452153312
3	100	0.08920925062097736
4	100	0.08901128946833789
5	100	0.08896087020146778
1	200	0.047935725937307
2	200	0.04812117825427658
3	200	0.04809511734602533
4	200	0.04795522018024223
5	200	0.048009085522480205
1	500	0.020253520378389886
2	500	0.020287951006817125
3	500	0.02026034679141408
4	500	0.020253227931299033
5	500	0.02025261893679345
1	1000	0.010336170616587254
2	1000	0.010349563547482045
3	1000	0.010347092646545321
4	1000	0.010344881116130281
5	1000	0.010341629083460044
1	1534	0.0068796587445397305
2	1534	0.0068819801225711115
3	1534	0.006881765009262451
4	1534	0.006881109502584033
5	1534	0.006879484592477161
