target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10

500	Popularity	kNN (test)	NaN	1.8158974349482578E-106	8.219922769042059E-109	3.027437186717755E-78	3.003386146171279E-115
500	Popularity	iMF (test)	NaN	1.0019006813289082E-44	4.661900464417647E-48	5.995499307749831E-54	4.056267676009101E-62
500	Popularity	Random	NaN	2.0351638630185403E-216	1.8449940049910478E-203	6.3546819440780726E-170	8.324254783483413E-237
500	Popularity	Normalized kNN (full)	NaN	5.609929235193651E-7	2.388351622366235E-7	9.464036430377128E-22	3.9775072045067636E-16
500	Popularity	Normalized kNN (test)	NaN	2.5459937688657826E-78	7.411116061479855E-71	4.596766823995925E-27	1.0666603117874988E-62
500	Popularity	kNN (full)	NaN	1.4486726893191604E-122	1.8496717724197837E-116	3.263946111712561E-85	7.210174194672998E-124
500	Popularity	Average Rating	NaN	5.783244960985152E-150	1.927113729737756E-147	2.8971934696244162E-115	2.7259645235032994E-161
500	Popularity	iMF (full)	NaN	2.7563629342600495E-157	5.5638516752897334E-142	6.305691645930383E-114	8.640063336185429E-159
20	Popularity	Random	NaN	1.5184611347595454E-244	6.578155121613013E-243	5.239565220559121E-192	6.042692626312967E-255
20	Popularity	Normalized kNN (test)	NaN	2.810972789776095E-6	8.877874220444086E-10	6.356076280116603E-13	3.822121058583487E-12
20	Popularity	iMF (full)	NaN	7.172443323519026E-108	1.536400287894859E-75	3.188948368868078E-61	1.0279898627590341E-80
20	Popularity	iMF (test)	NaN	5.3942657490469774E-77	1.6026316854216624E-63	7.56265705999569E-58	9.038828684515802E-71
20	Popularity	kNN (test)	NaN	2.6115860833739194E-79	8.770956346504815E-64	1.322587052501787E-39	1.7931335267243756E-58
20	Popularity	kNN (full)	NaN	1.2373889638278544E-98	7.516265846961608E-72	8.016888713408871E-50	4.835302434932178E-70
20	Popularity	Average Rating	NaN	4.358427518391467E-77	3.297205748755754E-51	1.3562084118923286E-55	6.46119765880099E-65
20	Popularity	Normalized kNN (full)	NaN	0.5584695810811291	0.02963208739636311	2.3742911189369176E-24	2.369152134711748E-11
20	Random	Normalized kNN (test)	NaN	4.262348501858545E-283	9.706600485318704E-284	3.3204583057665247E-227	1.045545307528635E-300
20	Random	iMF (full)	NaN	0.0	0.0	1.9506224709199495E-280	0.0
20	Random	iMF (test)	NaN	0.0	1.0E-323	1.9639133870607266E-275	0.0
20	Random	kNN (test)	NaN	0.0	1.84E-321	4.8997513325248605E-263	0.0
20	Random	kNN (full)	NaN	0.0	1.217417979E-314	6.681573862382477E-266	0.0
20	Random	Average Rating	NaN	1.7951898435747056E-105	7.423683303342629E-131	1.836266844842893E-89	4.221432773177811E-130
20	Random	Normalized kNN (full)	NaN	4.834621942994156E-241	1.311957164932654E-202	2.006748981064362E-133	5.771268827572487E-202
50	Popularity	Normalized kNN (full)	NaN	9.670244576640955E-8	0.004247678480832815	0.022411684998763486	0.7442854109924919
50	Popularity	iMF (full)	NaN	4.936500189182391E-143	1.5536410314865744E-111	1.798242489904432E-91	4.415295452775846E-121
50	Popularity	iMF (test)	NaN	8.490991895455934E-86	1.8208507541762037E-75	1.1527149453901887E-72	2.9289703701689305E-87
50	Popularity	kNN (test)	NaN	4.395697185573701E-104	4.044902776867764E-86	1.194441218391148E-62	7.651872658273255E-85
50	Popularity	Normalized kNN (test)	NaN	0.1059689815810817	0.9591276823463509	2.750059663950177E-8	0.017759133234081903
50	Popularity	kNN (full)	NaN	6.790473867732238E-129	1.567099152414309E-107	9.649430770302913E-76	2.3154707624838264E-108
50	Popularity	Random	NaN	1.5834595884835892E-279	2.4305177697737034E-272	1.0124733260315725E-203	3.354512518965536E-290
50	Popularity	Average Rating	NaN	8.524944712189444E-132	6.320455810288481E-120	2.5034954161088747E-99	2.74208143228532E-130
5	iMF (full)	Normalized kNN (full)	NaN	2.3356227012820097E-40	4.306370476279423E-26	2.5508256476020505E-36	5.2357653273183355E-37
5	iMF (full)	Random	NaN	1.2680505387652724E-254	2.9331264269116575E-152	1.3792781379295244E-136	6.923200542524539E-161
5	iMF (full)	Normalized kNN (test)	NaN	1.0494579946790416E-9	2.235231971104782E-4	4.4456627928182774E-5	1.6004851776168574E-5
5	iMF (full)	Average Rating	NaN	6.1402022957147E-66	5.9361384750147204E-30	6.832558849183139E-29	1.1001171154777835E-34
5	iMF (full)	Popularity	NaN	1.730495349935083E-60	1.479324261758388E-32	9.457542437096719E-21	2.015781741686562E-31
5	iMF (full)	kNN (full)	NaN	0.013834692753591506	0.0509556500606742	0.08189826196898309	0.02938767809149322
5	iMF (full)	kNN (test)	NaN	0.00354532474189871	0.03932291114683693	5.87229000908393E-4	0.001097421074053125
5	iMF (full)	iMF (test)	NaN	0.1982630018091861	0.08362048861499435	0.04159748082676292	0.08042638297859618
200	Average Rating	kNN (test)	NaN	0.0	1.6220430657363218E-300	6.364717081839368E-247	0.0
200	Average Rating	iMF (full)	NaN	0.0	6.5414E-320	9.791416633914409E-273	0.0
200	Average Rating	kNN (full)	NaN	0.0	3.249088820934342E-299	7.446280954227523E-246	0.0
200	Average Rating	Popularity	NaN	1.2814411027555998E-162	3.105751455774638E-153	2.6504143721874215E-125	6.036154851582159E-169
200	Average Rating	iMF (test)	NaN	5.1873573762402644E-294	3.07011605588627E-276	1.6431866783651874E-222	1.8753112593742236E-295
200	Average Rating	Random	NaN	5.010796128169122E-43	1.6621351624460042E-48	8.86221295556759E-23	1.5526624658003658E-44
200	Average Rating	Normalized kNN (full)	NaN	3.2869597155147965E-223	5.0072212281274714E-223	3.0479654578444335E-162	2.6219259251819258E-229
200	Average Rating	Normalized kNN (test)	NaN	1.0074957084905464E-96	2.4125376628451546E-117	2.816355526808455E-93	1.4411812230376849E-120
1534	Normalized kNN (full)	Popularity	NaN	0.19215162302427735	0.5252527912115317	2.673389085483654E-7	0.019981680876475363
1534	Normalized kNN (full)	Normalized kNN (test)	NaN	5.323786732951922E-102	3.9322942015748537E-118	3.3061075840066474E-75	1.8814443206586936E-116
1534	Normalized kNN (full)	Average Rating	NaN	1.6834471815223353E-112	5.109595583534127E-131	2.115678581516739E-91	1.2822122090993419E-134
1534	Normalized kNN (full)	kNN (test)	NaN	6.335589408312717E-95	4.158987993674073E-80	2.6385862280491342E-39	4.116675866550652E-74
1534	Normalized kNN (full)	iMF (full)	NaN	2.1615099893036464E-117	4.0500079585234105E-104	7.929333018194747E-57	3.763208326281938E-102
1534	Normalized kNN (full)	kNN (full)	NaN	4.156393230824376E-94	2.2231906872144907E-80	2.918877972954604E-43	4.380650634129914E-77
1534	Normalized kNN (full)	Random	NaN	3.6538423115727527E-140	1.1344305141828215E-165	7.136009427352069E-112	4.958432597377094E-169
1534	Normalized kNN (full)	iMF (test)	NaN	8.687495636993704E-21	7.73500079450991E-26	2.761863310625251E-6	1.2903647987044324E-17
20	Normalized kNN (test)	iMF (full)	NaN	1.244013237410357E-62	9.811741394361545E-34	1.2956554316345524E-30	5.065511005059199E-36
20	Normalized kNN (test)	iMF (test)	NaN	1.3965930499770177E-50	2.0837068936941018E-29	3.114388279394125E-26	1.989608073041136E-31
20	Normalized kNN (test)	kNN (test)	NaN	5.081789660239624E-45	2.3459910730750145E-22	8.83957552874784E-14	7.417624369347843E-20
20	Normalized kNN (test)	kNN (full)	NaN	1.9063288312284635E-50	7.84370278786432E-22	2.0301050407030098E-19	5.306739573166849E-24
20	Normalized kNN (test)	Average Rating	NaN	1.6284990882678496E-146	1.6503356719952316E-124	2.5612199526754468E-98	6.539577528948415E-126
20	Normalized kNN (test)	Normalized kNN (full)	NaN	1.1766775105783467E-6	1.5486274102052873E-16	3.4841763922844104E-46	1.3193509783720028E-33
0	Normalized kNN (full)	kNN (full)	NaN	4.9495294694960755E-5	0.007349317361169433	1.8935700191203105E-4	6.307391076920064E-4
0	Normalized kNN (full)	Random	NaN	1.201222493542958E-39	5.003347820997978E-44	3.7858083186921484E-26	1.2856656675977726E-35
0	Normalized kNN (full)	iMF (test)	NaN	1.8417599178722486E-9	9.611008438376637E-7	1.1942922817925958E-6	1.5178351930265938E-7
0	Normalized kNN (full)	Popularity	NaN	9.209374561144454E-14	1.3881791542678016E-12	5.58379780703917E-4	7.947541446152505E-8
0	Normalized kNN (full)	Average Rating	NaN	2.918465479917891E-4	0.90887552702627	0.044774844572157815	0.21461603658080108
0	Normalized kNN (full)	iMF (full)	NaN	2.9062461617518424E-6	0.004987344217022577	1.0346380876196053E-4	3.198138264471615E-4
0	Normalized kNN (full)	kNN (test)	NaN	2.257553670734529E-6	1.4561318116519063E-4	1.8762221971289276E-4	5.1107933303293295E-5
0	Normalized kNN (full)	Normalized kNN (test)	NaN	1.53078241725246E-8	1.4117037358214704E-5	4.170279083533152E-6	2.791430320429709E-6
50	Normalized kNN (full)	iMF (full)	NaN	3.2130716426439636E-95	1.956253633401936E-94	2.281048820305765E-93	4.684167199551652E-109
50	Normalized kNN (full)	iMF (test)	NaN	5.746361402169527E-51	1.1754493825095658E-57	1.6996066956890272E-71	9.708851688651792E-74
50	Normalized kNN (full)	kNN (test)	NaN	2.3686734754468983E-74	2.2923977607039888E-76	3.51677534908604E-67	1.0718198382986039E-81
50	Normalized kNN (full)	Normalized kNN (test)	NaN	4.545044379349034E-11	0.008747351105633957	7.873017923730317E-12	0.05274796915231869
50	Normalized kNN (full)	kNN (full)	NaN	1.0252879328793729E-69	6.260230704060341E-66	2.049186933398736E-67	2.8152504331512876E-75
50	Normalized kNN (full)	Random	NaN	4.131122077756366E-307	7.877539495593365E-266	3.7672703860131807E-202	4.1273056651992265E-292
50	Normalized kNN (full)	Average Rating	NaN	2.823463882981944E-172	9.052934244736246E-139	3.052269678467719E-81	5.618223314623777E-131
100	kNN (test)	Popularity	NaN	2.2817594095495425E-116	4.046755587538811E-102	2.663651502481427E-71	1.4485022642952944E-101
100	kNN (test)	Normalized kNN (test)	NaN	3.434453286689544E-191	1.3017649538046287E-124	3.6917640072225866E-81	2.4548502807786605E-120
100	kNN (test)	iMF (full)	NaN	1.5152328882829888E-16	7.401416091533093E-17	1.1231317170365218E-16	3.7195283097350084E-21
100	kNN (test)	iMF (test)	NaN	2.2823938266979292E-4	0.3059671550207912	0.33554847893784434	0.6256760777371156
100	kNN (test)	Normalized kNN (full)	NaN	8.174442748510412E-78	7.729960898826257E-65	3.837994520664024E-56	3.725708665087868E-68
100	kNN (test)	Average Rating	NaN	0.0	1.4297460288610968E-295	1.1170787013584101E-246	1.008E-320
100	kNN (test)	Random	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	kNN (full)	NaN	0.39695034418598873	0.2494501468142717	0.35610897903975136	0.11065187138329713
0	kNN (full)	Random	NaN	6.535724364530285E-56	4.4937828414944344E-54	5.489593435668189E-38	5.867899325256108E-48
0	kNN (full)	iMF (test)	NaN	0.007337456424303147	0.009320447410637417	0.06829675418227095	0.015706260383992934
0	kNN (full)	Popularity	NaN	5.61022866547694E-41	1.5472491326397715E-30	9.671042480353348E-20	3.766878381105233E-27
0	kNN (full)	Average Rating	NaN	0.6036217805765082	0.023627893916645788	0.11456041546082785	0.04695806097090571
0	kNN (full)	iMF (full)	NaN	0.27769124850790017	0.7221425773727714	0.7614159148705995	0.702152903961018
0	kNN (full)	kNN (test)	NaN	0.6710819533744914	0.26047865139680637	0.7179657092186973	0.723623370458282
0	kNN (full)	Normalized kNN (test)	NaN	0.00902754010231744	0.0379271113365647	0.12223681224364591	0.055522433059094135
100	Popularity	Normalized kNN (test)	NaN	1.4089627617390245E-13	2.9797394909061344E-8	0.3154325062125177	9.948804176357475E-4
100	Popularity	iMF (full)	NaN	1.3587081158988455E-164	4.226210044453245E-139	3.2689899830910383E-112	1.2482482165681243E-150
100	Popularity	iMF (test)	NaN	2.6079553849784855E-80	5.5716130642600365E-80	3.153983188706856E-75	2.464849216292696E-91
100	Popularity	Normalized kNN (full)	NaN	1.2005000141583321E-12	8.09076641573159E-10	0.005597684838485853	1.0740661960015719E-7
100	Popularity	Average Rating	NaN	8.126108747078597E-164	1.4189488322323405E-159	7.523599401215156E-130	8.667196891709824E-174
100	Popularity	Random	NaN	1.0632081529139761E-289	3.462391522939367E-269	1.3592835628106887E-217	6.254646112335405E-302
100	Popularity	kNN (full)	NaN	4.642612704909378E-139	1.437898351639304E-120	2.4278800803736328E-88	1.4656110236614752E-122
50	iMF (full)	iMF (test)	NaN	2.5321227286219734E-13	3.1338390502186777E-9	1.1799424201956897E-6	1.1922065241501345E-8
50	iMF (full)	kNN (test)	NaN	1.2583387553266029E-12	2.1989087023048243E-10	1.4872767371555468E-12	2.3545397049133005E-15
50	iMF (full)	Normalized kNN (test)	NaN	1.3556606196673625E-150	6.923429372137916E-97	1.1469909186510192E-74	4.4288330788968796E-102
50	iMF (full)	kNN (full)	NaN	4.715351798712533E-12	3.535430573119052E-10	4.428403292577416E-11	1.259614634694854E-13
50	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
50	iMF (full)	Average Rating	NaN	1.7576004359619E-310	1.7324753916805723E-258	1.4162880204294363E-222	4.1873587228485136E-276
500	kNN (test)	iMF (test)	NaN	1.8272189911587197E-22	3.1679359749068753E-19	1.0602628547746648E-5	5.801190081654442E-13
500	kNN (test)	Random	NaN	0.0	7.235764493556575E-288	8.155271670221535E-261	0.0
500	kNN (test)	Normalized kNN (full)	NaN	3.5917217326449593E-94	7.48132283295765E-74	1.980141071376754E-38	2.8515419636515526E-70
500	kNN (test)	Normalized kNN (test)	NaN	3.213349734424683E-260	1.3799433862126699E-210	8.33963848576703E-158	2.132737941249472E-234
500	kNN (test)	kNN (full)	NaN	0.34279520827920695	0.6612024741075803	0.40050078742234674	0.8463772536071933
500	kNN (test)	Average Rating	NaN	6.338904794059661E-298	4.225255643286915E-269	5.643387555218439E-220	8.2906090845E-314
500	kNN (test)	iMF (full)	NaN	2.537212892203992E-18	8.041455061821202E-18	1.2859434448488303E-12	1.6714242379524104E-20
100	Normalized kNN (test)	iMF (full)	NaN	6.1646511602085225E-211	1.4585509296326718E-150	1.2056253406965175E-115	6.676901689158316E-154
100	Normalized kNN (test)	iMF (test)	NaN	8.420773986640402E-153	9.517187869751356E-112	2.7181231502436286E-75	9.08474869222985E-110
100	Normalized kNN (test)	Normalized kNN (full)	NaN	2.2168474741522163E-46	1.616900305301001E-28	0.240929654046813	5.992617272196733E-14
100	Normalized kNN (test)	Average Rating	NaN	7.550979888068651E-152	5.5161082928892135E-186	7.284504855955405E-136	1.2233441088602155E-180
100	Normalized kNN (test)	Random	NaN	2.967700627705759E-244	3.777152837968112E-258	3.3818324471713845E-199	4.044369070242611E-279
100	Normalized kNN (test)	kNN (full)	NaN	9.2262482399597E-204	9.797563991201784E-131	4.7956445402678683E-91	8.101514790897275E-131
1534	Popularity	Normalized kNN (test)	NaN	3.9995828232957166E-93	7.010604496929266E-97	5.3041079655297205E-59	1.265637135236706E-101
1534	Popularity	Average Rating	NaN	7.334281424596397E-112	1.64012521119008E-109	2.2249466503823617E-83	3.0939393167732376E-125
1534	Popularity	kNN (test)	NaN	4.899328538169262E-85	3.21189685732136E-79	2.1229348623821526E-51	8.831793343890436E-81
1534	Popularity	iMF (full)	NaN	6.871910534405242E-127	3.0568890415084174E-112	1.619997842860132E-87	6.30617460209093E-130
1534	Popularity	kNN (full)	NaN	3.1078652191108557E-97	9.295430693449976E-88	4.429961851378211E-61	3.276437019074101E-94
1534	Popularity	Random	NaN	8.43736303735367E-146	1.5234846463553565E-143	2.509334890964486E-117	4.993974009190524E-173
1534	Popularity	iMF (test)	NaN	1.3999595329264785E-22	6.94982014693417E-23	1.0409511714121007E-20	3.600316459123807E-26
2	kNN (test)	iMF (full)	NaN	0.2817203356493191	0.9731384298719031	0.208048893966148	0.5075582903051516
2	kNN (test)	Random	NaN	1.2506381888100273E-133	9.347653875480622E-88	1.859683406548109E-68	8.833700268584834E-85
2	kNN (test)	kNN (full)	NaN	0.7096928907635869	0.7687447645493517	0.025521068264937306	0.1551854687337927
2	kNN (test)	Average Rating	NaN	4.270555675538748E-19	3.7459878595323135E-10	4.797059945700625E-7	3.1347814247372426E-9
2	kNN (test)	Popularity	NaN	2.5728538080719344E-41	1.871131392883713E-28	9.097526310998946E-14	8.130956636422273E-23
2	kNN (test)	iMF (test)	NaN	9.492641378728314E-4	0.0017975400592195596	5.0153018226804166E-5	2.4382297105446265E-4
2	kNN (test)	Normalized kNN (test)	NaN	0.3103324830447689	1.0	0.3556239268389647	0.6510977434966253
2	kNN (test)	Normalized kNN (full)	NaN	1.0249996675505173E-14	2.353971426478114E-8	9.672208648753128E-10	6.088801798421484E-10
200	kNN (test)	iMF (full)	NaN	2.9193005401454894E-20	2.6950947221996236E-14	9.229919669978987E-15	2.0324310158794827E-19
200	kNN (test)	kNN (full)	NaN	0.1526701765817	0.8408659589226904	0.14687008549224911	0.415201701316974
200	kNN (test)	Popularity	NaN	1.227807729010138E-115	1.074855876509425E-117	2.021935824454842E-85	3.0884896950015014E-117
200	kNN (test)	iMF (test)	NaN	7.614415589840985E-11	1.4717283539842444E-9	0.03827515756725151	6.325358213109002E-5
200	kNN (test)	Random	NaN	0.0	0.0	5.260469346753177E-305	0.0
200	kNN (test)	Normalized kNN (full)	NaN	3.046594118462994E-81	1.5303920572102283E-70	1.9821354105581618E-48	3.188825472108635E-70
200	kNN (test)	Normalized kNN (test)	NaN	2.9355427542002366E-247	8.97768384890042E-180	2.0303580353549508E-130	2.689330846836234E-183
2	iMF (full)	Random	NaN	1.1647507182987721E-143	6.957764312324828E-89	4.0013102102798226E-77	1.574620743356677E-90
2	iMF (full)	kNN (full)	NaN	0.39705472086455207	0.8199672989862306	0.5447344037076634	0.6887985195380881
2	iMF (full)	Average Rating	NaN	7.833963890116141E-20	1.1971734957266266E-8	7.0728973835307276E-9	2.108198164060584E-9
2	iMF (full)	Popularity	NaN	3.075365938803801E-45	1.5423223599734299E-22	2.693209994116945E-16	2.7977202282762514E-21
2	iMF (full)	iMF (test)	NaN	0.00878189732789606	9.055919618700463E-4	0.0013597187640869458	0.0010632152135843628
2	iMF (full)	Normalized kNN (test)	NaN	0.08724400954673006	0.9779786018949299	0.8315918280778918	0.8827808572243916
2	iMF (full)	Normalized kNN (full)	NaN	8.986392601525137E-15	1.3453873823080575E-6	2.532966439156856E-12	3.388794909257308E-10
10	Average Rating	iMF (full)	NaN	1.069217130501717E-135	2.7209542867211516E-84	3.36731468845186E-83	2.807703185677517E-96
10	Average Rating	Normalized kNN (test)	NaN	1.4858668128408858E-100	4.3643632494639994E-69	6.834588147762857E-47	7.112515744847321E-69
10	Average Rating	Popularity	NaN	6.243938297778112E-32	2.389664800304033E-16	1.7874107981535866E-25	8.477805030518633E-25
10	Average Rating	iMF (test)	NaN	2.9217624675914748E-137	1.7103041410067045E-93	1.421490705104852E-88	1.7299549188958724E-103
10	Average Rating	kNN (test)	NaN	1.2507339982391336E-125	6.074640159956786E-76	9.561217161308987E-59	1.086457216281529E-77
10	Average Rating	kNN (full)	NaN	2.6344780385256336E-137	5.936146597300287E-86	9.027257406895924E-79	3.918046613539767E-95
10	Average Rating	Normalized kNN (full)	NaN	1.604402410382901E-29	2.6176204735344325E-9	0.3903286966204407	0.004419081509149798
10	Average Rating	Random	NaN	1.4016920003447667E-106	2.8548269011595585E-122	4.898323025596642E-88	3.3302327552484896E-126
200	iMF (full)	kNN (full)	NaN	8.847474409477055E-19	3.961167165034799E-14	1.1025556989201596E-12	9.768525953764676E-18
200	iMF (full)	Popularity	NaN	5.167083992738154E-159	4.750219409948928E-139	8.633196489601942E-122	3.870146582813236E-158
200	iMF (full)	iMF (test)	NaN	9.586714002078676E-54	9.60752279827573E-39	2.569354954612691E-25	3.2947461721320606E-38
200	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
200	iMF (full)	Normalized kNN (full)	NaN	1.5906255086354873E-117	5.186459763480101E-100	1.6159004177701324E-78	2.2110545959673735E-108
200	iMF (full)	Normalized kNN (test)	NaN	1.946926417977828E-272	9.485606284724467E-199	4.918777820166314E-163	3.5234026137373977E-208
1	iMF (test)	kNN (test)	NaN	3.923307863643553E-4	0.011429116938245538	4.742240564820719E-4	0.0016841567438006068
1	iMF (test)	iMF (full)	NaN	0.0032302316463037116	0.006795258899439707	0.002271410841891593	0.002932884549228886
1	iMF (test)	Normalized kNN (test)	NaN	0.009130144680648877	0.04966837825923555	0.009064645542483728	0.019776959355635594
1	iMF (test)	Normalized kNN (full)	NaN	1.9285808100995607E-15	3.060281716937168E-9	5.615483272198982E-13	8.130985900699073E-12
1	iMF (test)	Random	NaN	1.5155216807616267E-128	2.691696632721312E-80	4.383306466651441E-66	1.6258737269237942E-78
1	iMF (test)	Popularity	NaN	7.120626898760871E-43	2.0563024837908166E-27	5.122401373881761E-23	1.3019195561763876E-26
1	iMF (test)	Average Rating	NaN	2.9199213638306428E-15	6.927226158763969E-12	1.1464130745990626E-11	2.5094774636885552E-12
1	iMF (test)	kNN (full)	NaN	3.9461306812034057E-4	0.004575121811090582	0.0050008607831772845	0.0035229755031064157
10	iMF (full)	Normalized kNN (test)	NaN	3.650543202291975E-25	2.7456074622224643E-15	7.417411197369375E-19	8.065025482481911E-19
10	iMF (full)	Popularity	NaN	8.717152763160279E-79	3.671437204122856E-49	4.095805130012568E-39	4.494172294784887E-51
10	iMF (full)	iMF (test)	NaN	0.6696546277532822	0.3071982752895457	0.43876441007044276	0.3823649251505803
10	iMF (full)	kNN (test)	NaN	3.0086164948063207E-5	0.001130905371358814	5.983335527768206E-8	2.7071397228360666E-6
10	iMF (full)	kNN (full)	NaN	8.003183503093292E-4	0.012754839475969197	0.010526548352891392	0.0056840305506934904
10	iMF (full)	Normalized kNN (full)	NaN	1.16725504495547E-67	1.3672901562005043E-56	7.910534005075298E-73	2.8837897899873346E-74
10	iMF (full)	Random	NaN	7.350611668E-314	7.69797808781007E-243	1.414319892276447E-213	2.0450606967164554E-262
100	iMF (full)	iMF (test)	NaN	3.612372023474406E-33	1.4330722426098054E-20	3.5143320366294534E-15	7.483384749910568E-21
100	iMF (full)	Normalized kNN (full)	NaN	1.825039315160097E-108	1.4076824822141482E-94	8.166051039466743E-92	2.0540483109481154E-108
100	iMF (full)	Average Rating	NaN	0.0	7.010446E-318	9.575680766210556E-280	0.0
100	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
100	iMF (full)	kNN (full)	NaN	2.963507435806871E-17	6.757998040328829E-15	2.3303827940366407E-17	3.0835259946156333E-19
20	iMF (full)	iMF (test)	NaN	0.006800750536951326	0.20696307029775063	0.3968537743475081	0.2863341080315338
20	iMF (full)	kNN (test)	NaN	1.299754033472524E-7	7.257966122345243E-5	7.690312016668439E-8	3.1805483874994163E-7
20	iMF (full)	kNN (full)	NaN	2.0338030856834623E-7	1.775221791125195E-5	5.282263839906411E-5	3.375562641302194E-6
20	iMF (full)	Average Rating	NaN	3.2764422370779997E-215	6.9500277979879976E-152	1.0723779473192846E-140	4.7579241113897756E-166
20	iMF (full)	Normalized kNN (full)	NaN	1.984634970092334E-89	4.6555406174463643E-85	1.1579444604925421E-95	1.858224033870465E-102
2	Random	kNN (full)	NaN	6.563110978211619E-141	3.3965613706099145E-89	8.927554268419628E-73	4.1110387867818805E-86
2	Random	Average Rating	NaN	1.9029635255671574E-77	6.878088586841016E-64	2.195020192421551E-49	1.3984384431219099E-61
2	Random	Popularity	NaN	2.2957021024669466E-66	8.336032793314335E-51	6.161881797848822E-44	1.4034201018218287E-50
2	Random	iMF (test)	NaN	8.183157283219197E-152	7.154254261450063E-98	7.632997883766761E-83	6.37261873196454E-98
2	Random	Normalized kNN (test)	NaN	6.261727279729091E-128	9.347653875481691E-88	6.431653633301114E-70	4.685281851751923E-84
2	Random	Normalized kNN (full)	NaN	2.8699227536244837E-97	4.5163209433332395E-69	1.2733851963324548E-45	3.0690541283621594E-61
1	kNN (test)	iMF (full)	NaN	0.30948543938032425	0.9717589038516691	0.40348109099332974	0.6618336284190042
1	kNN (test)	Normalized kNN (test)	NaN	0.5753693214150811	0.717442365306962	0.5954343572064851	0.6441021793038911
1	kNN (test)	Normalized kNN (full)	NaN	1.772853920966192E-9	9.930099331661838E-6	1.862023128062765E-6	1.0078151429794695E-6
1	kNN (test)	Random	NaN	9.173048141652107E-116	3.2885164165295124E-74	1.347686219574421E-54	9.253346886739527E-70
1	kNN (test)	Popularity	NaN	1.126577573252236E-36	2.3251357492444284E-28	1.3187743563554979E-14	5.772280702489353E-23
1	kNN (test)	Average Rating	NaN	1.0003264418694783E-7	6.320302211304092E-7	1.0647573462526498E-4	5.124309823568734E-6
1	kNN (test)	kNN (full)	NaN	0.925365030081562	0.5110979867073886	0.3582314873227833	0.8532368232740213
0	Random	iMF (test)	NaN	3.822494219068505E-63	6.178497864971301E-56	3.789797483075687E-39	3.42079395604241E-51
0	Random	Popularity	NaN	5.230540824051286E-16	4.563641788287019E-22	6.716420271405151E-16	2.5948447162540187E-19
0	Random	Average Rating	NaN	7.582196368277969E-60	3.2830384799737333E-47	7.752748516746054E-34	6.593619584279884E-43
0	Random	iMF (full)	NaN	5.820382937661889E-58	4.291218864272769E-51	9.320753249761029E-38	1.9591484531104398E-46
0	Random	kNN (test)	NaN	8.006540183274148E-58	9.823626492188892E-53	2.43128431786861E-35	8.594867172711406E-47
0	Random	Normalized kNN (test)	NaN	8.632350112580738E-66	4.902428358797348E-58	1.2411269419075227E-40	9.79721005793653E-52
10	Normalized kNN (test)	Popularity	NaN	6.93913294370998E-13	6.082739686010314E-12	1.2713581694679685E-6	1.2615264967076644E-10
10	Normalized kNN (test)	iMF (test)	NaN	7.418847634761926E-25	3.02005053705939E-19	1.4514925760035585E-20	4.851375288096411E-22
