target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10

500	Popularity	kNN (test)	1.0	0.12454212454212454	0.32234432234432236	0.32234432234432236	0.32234432234432236
500	Popularity	iMF (test)	1.0	0.12893772893772895	0.3304029304029304	0.3304029304029304	0.3304029304029304
500	Popularity	Random	1.0	0.2468864468864469	0.27326007326007323	0.27326007326007323	0.27326007326007323
500	Popularity	Normalized kNN (full)	1.0	0.14652014652014653	0.3619047619047619	0.3619047619047619	0.3619047619047619
500	Popularity	Normalized kNN (test)	1.0	0.18681318681318682	0.32234432234432236	0.32234432234432236	0.32234432234432236
500	Popularity	kNN (full)	1.0	0.13626373626373625	0.32454212454212455	0.32454212454212455	0.32454212454212455
500	Popularity	Average Rating	1.0	0.21831501831501832	0.28644688644688643	0.28644688644688643	0.28644688644688643
500	Popularity	iMF (full)	1.0	0.11941391941391942	0.2893772893772894	0.2893772893772894	0.2893772893772894
20	Popularity	Random	1.0	0.04908424908424908	0.15457875457875458	0.15457875457875458	0.15457875457875458
20	Popularity	Normalized kNN (test)	1.0	0.06593406593406594	0.4468864468864469	0.4468864468864469	0.4468864468864469
20	Popularity	iMF (full)	1.0	0.09304029304029304	0.4666666666666667	0.4666666666666667	0.4666666666666667
20	Popularity	iMF (test)	1.0	0.07692307692307693	0.4512820512820513	0.4512820512820513	0.4512820512820513
20	Popularity	kNN (test)	1.0	0.07912087912087912	0.4461538461538462	0.4461538461538462	0.4461538461538462
20	Popularity	kNN (full)	1.0	0.0945054945054945	0.47985347985347987	0.47985347985347987	0.47985347985347987
20	Popularity	Average Rating	1.0	0.05054945054945055	0.3194139194139194	0.3194139194139194	0.3194139194139194
20	Popularity	Normalized kNN (full)	1.0	0.073992673992674	0.3413919413919414	0.3413919413919414	0.3413919413919414
20	Random	Normalized kNN (test)	1.0	0.04395604395604396	0.13113553113553114	0.13113553113553114	0.13113553113553114
20	Random	iMF (full)	1.0	0.040293040293040296	0.11208791208791209	0.11208791208791209	0.11208791208791209
20	Random	iMF (test)	1.0	0.04322344322344322	0.10989010989010989	0.10989010989010989	0.10989010989010989
20	Random	kNN (test)	1.0	0.04249084249084249	0.11501831501831501	0.11501831501831501	0.11501831501831501
20	Random	kNN (full)	1.0	0.041758241758241756	0.11501831501831501	0.11501831501831501	0.11501831501831501
20	Random	Average Rating	1.0	0.05934065934065934	0.23223443223443224	0.23223443223443224	0.23223443223443224
20	Random	Normalized kNN (full)	1.0	0.06446886446886448	0.19267399267399268	0.19267399267399268	0.19267399267399268
50	Popularity	Normalized kNN (full)	1.0	0.08937728937728938	0.3750915750915751	0.3750915750915751	0.3750915750915751
50	Popularity	iMF (full)	1.0	0.07179487179487179	0.36336996336996336	0.36336996336996336	0.36336996336996336
50	Popularity	iMF (test)	1.0	0.073992673992674	0.3597069597069597	0.3597069597069597	0.3597069597069597
50	Popularity	kNN (test)	1.0	0.07472527472527472	0.36923076923076925	0.36923076923076925	0.36923076923076925
50	Popularity	Normalized kNN (test)	1.0	0.05641025641025641	0.3567765567765568	0.3567765567765568	0.3567765567765568
50	Popularity	kNN (full)	1.0	0.08205128205128205	0.40586080586080586	0.40586080586080586	0.40586080586080586
50	Popularity	Random	1.0	0.0695970695970696	0.1457875457875458	0.1457875457875458	0.1457875457875458
50	Popularity	Average Rating	1.0	0.07326007326007326	0.24322344322344322	0.24322344322344322	0.24322344322344322
5	iMF (full)	Normalized kNN (full)	1.0	0.11575091575091576	0.526007326007326	0.526007326007326	0.526007326007326
5	iMF (full)	Random	1.0	0.05201465201465202	0.3838827838827839	0.3838827838827839	0.3838827838827839
5	iMF (full)	Normalized kNN (test)	1.0	0.147985347985348	0.6051282051282051	0.6051282051282051	0.6051282051282051
5	iMF (full)	Average Rating	1.0	0.09304029304029304	0.5560439560439561	0.5560439560439561	0.5560439560439561
5	iMF (full)	Popularity	1.0	0.13626373626373625	0.6036630036630036	0.6036630036630036	0.6036630036630036
5	iMF (full)	kNN (full)	1.0	0.22344322344322345	0.663003663003663	0.663003663003663	0.663003663003663
5	iMF (full)	kNN (test)	1.0	0.18827838827838828	0.6483516483516484	0.6483516483516484	0.6483516483516484
5	iMF (full)	iMF (test)	1.0	0.2153846153846154	0.6798534798534799	0.6798534798534799	0.6798534798534799
200	Average Rating	kNN (test)	1.0	0.07912087912087912	0.13333333333333333	0.13333333333333333	0.13333333333333333
200	Average Rating	iMF (full)	1.0	0.06886446886446887	0.1076923076923077	0.1076923076923077	0.1076923076923077
200	Average Rating	kNN (full)	1.0	0.07472527472527472	0.12087912087912088	0.12087912087912088	0.12087912087912088
200	Average Rating	Popularity	1.0	0.14725274725274726	0.2564102564102564	0.2564102564102564	0.2564102564102564
200	Average Rating	iMF (test)	1.0	0.08571428571428572	0.1457875457875458	0.1457875457875458	0.1457875457875458
200	Average Rating	Random	1.0	0.39194139194139194	0.48424908424908425	0.48424908424908425	0.48424908424908425
200	Average Rating	Normalized kNN (full)	1.0	0.11575091575091576	0.19853479853479852	0.19853479853479852	0.19853479853479852
200	Average Rating	Normalized kNN (test)	1.0	0.20073260073260074	0.3435897435897436	0.3435897435897436	0.3435897435897436
1534	Normalized kNN (full)	Popularity	1.0	0.24615384615384617	0.4117216117216117	0.4117216117216117	0.4117216117216117
1534	Normalized kNN (full)	Normalized kNN (test)	1.0	0.35311355311355314	0.4293040293040293	0.4293040293040293	0.4293040293040293
1534	Normalized kNN (full)	Average Rating	1.0	0.3684981684981685	0.42124542124542125	0.42124542124542125	0.42124542124542125
1534	Normalized kNN (full)	kNN (test)	1.0	0.24102564102564103	0.4490842490842491	0.4490842490842491	0.4490842490842491
1534	Normalized kNN (full)	iMF (full)	1.0	0.19194139194139195	0.3677655677655678	0.3677655677655678	0.3677655677655678
1534	Normalized kNN (full)	kNN (full)	1.0	0.22124542124542124	0.4205128205128205	0.4205128205128205	0.4205128205128205
1534	Normalized kNN (full)	Random	1.0	0.3838827838827839	0.40073260073260075	0.40073260073260075	0.40073260073260075
1534	Normalized kNN (full)	iMF (test)	1.0	0.23663003663003662	0.4249084249084249	0.4249084249084249	0.4249084249084249
20	Normalized kNN (test)	iMF (full)	1.0	0.09377289377289377	0.515018315018315	0.515018315018315	0.515018315018315
20	Normalized kNN (test)	iMF (test)	1.0	0.09743589743589744	0.5186813186813187	0.5186813186813187	0.5186813186813187
20	Normalized kNN (test)	kNN (test)	1.0	0.09377289377289377	0.526007326007326	0.526007326007326	0.526007326007326
20	Normalized kNN (test)	kNN (full)	1.0	0.10989010989010989	0.5377289377289377	0.5377289377289377	0.5377289377289377
20	Normalized kNN (test)	Average Rating	1.0	0.060073260073260075	0.3347985347985348	0.3347985347985348	0.3347985347985348
20	Normalized kNN (test)	Normalized kNN (full)	1.0	0.07032967032967033	0.35604395604395606	0.35604395604395606	0.35604395604395606
0	Normalized kNN (full)	kNN (full)	1.0	0.23076923076923078	0.7223443223443223	0.7223443223443223	0.7223443223443223
0	Normalized kNN (full)	Random	1.0	0.15311355311355312	0.6153846153846154	0.6153846153846154	0.6153846153846154
0	Normalized kNN (full)	iMF (test)	1.0	0.20512820512820512	0.6820512820512821	0.6820512820512821	0.6820512820512821
0	Normalized kNN (full)	Popularity	1.0	0.19267399267399268	0.6703296703296703	0.6703296703296703	0.6703296703296703
0	Normalized kNN (full)	Average Rating	1.0	0.2043956043956044	0.6659340659340659	0.6659340659340659	0.6659340659340659
0	Normalized kNN (full)	iMF (full)	1.0	0.2205128205128205	0.6923076923076923	0.6923076923076923	0.6923076923076923
0	Normalized kNN (full)	kNN (test)	1.0	0.24615384615384617	0.7238095238095238	0.7238095238095238	0.7238095238095238
0	Normalized kNN (full)	Normalized kNN (test)	1.0	0.21611721611721613	0.6923076923076923	0.6923076923076923	0.6923076923076923
50	Normalized kNN (full)	iMF (full)	1.0	0.09230769230769231	0.32893772893772893	0.32893772893772893	0.32893772893772893
50	Normalized kNN (full)	iMF (test)	1.0	0.08131868131868132	0.34212454212454213	0.34212454212454213	0.34212454212454213
50	Normalized kNN (full)	kNN (test)	1.0	0.0945054945054945	0.36923076923076925	0.36923076923076925	0.36923076923076925
