target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10

500	Popularity	kNN (test)	0.0	0.11428571428571428	0.11428571428571428	0.11428571428571428	0.11428571428571428
500	Popularity	iMF (test)	0.0	0.11428571428571428	0.11428571428571428	0.11428571428571428	0.11428571428571428
500	Popularity	Random	0.0	0.23663003663003662	0.23663003663003662	0.23663003663003662	0.23663003663003662
500	Popularity	Normalized kNN (full)	0.0	0.12747252747252746	0.12747252747252746	0.12747252747252746	0.12747252747252746
500	Popularity	Normalized kNN (test)	0.0	0.17362637362637362	0.17362637362637362	0.17362637362637362	0.17362637362637362
500	Popularity	kNN (full)	0.0	0.11794871794871795	0.11794871794871795	0.11794871794871795	0.11794871794871795
500	Popularity	Average Rating	0.0	0.20952380952380953	0.20952380952380953	0.20952380952380953	0.20952380952380953
500	Popularity	iMF (full)	0.0	0.10329670329670329	0.10329670329670329	0.10329670329670329	0.10329670329670329
20	Popularity	Random	0.0	0.04249084249084249	0.04249084249084249	0.04249084249084249	0.04249084249084249
20	Popularity	Normalized kNN (test)	0.0	0.03956043956043956	0.03956043956043956	0.03956043956043956	0.03956043956043956
20	Popularity	iMF (full)	0.0	0.03736263736263736	0.03736263736263736	0.03736263736263736	0.03736263736263736
20	Popularity	iMF (test)	0.0	0.03736263736263736	0.03736263736263736	0.03736263736263736	0.03736263736263736
20	Popularity	kNN (test)	0.0	0.0380952380952381	0.0380952380952381	0.0380952380952381	0.0380952380952381
20	Popularity	kNN (full)	0.0	0.0380952380952381	0.0380952380952381	0.0380952380952381	0.0380952380952381
20	Popularity	Average Rating	0.0	0.04468864468864469	0.04468864468864469	0.04468864468864469	0.04468864468864469
20	Popularity	Normalized kNN (full)	0.0	0.04468864468864469	0.04468864468864469	0.04468864468864469	0.04468864468864469
20	Random	Normalized kNN (test)	0.0	0.040293040293040296	0.040293040293040296	0.040293040293040296	0.040293040293040296
20	Random	iMF (full)	0.0	0.0380952380952381	0.0380952380952381	0.0380952380952381	0.0380952380952381
20	Random	iMF (test)	0.0	0.0380952380952381	0.0380952380952381	0.0380952380952381	0.0380952380952381
20	Random	kNN (test)	0.0	0.03882783882783883	0.03882783882783883	0.03882783882783883	0.03882783882783883
20	Random	kNN (full)	0.0	0.03736263736263736	0.03736263736263736	0.03736263736263736	0.03736263736263736
20	Random	Average Rating	0.0	0.05201465201465202	0.05201465201465202	0.05201465201465202	0.05201465201465202
20	Random	Normalized kNN (full)	0.0	0.054945054945054944	0.054945054945054944	0.054945054945054944	0.054945054945054944
50	Popularity	Normalized kNN (full)	0.0	0.05934065934065934	0.05934065934065934	0.05934065934065934	0.05934065934065934
50	Popularity	iMF (full)	0.0	0.04322344322344322	0.04322344322344322	0.04322344322344322	0.04322344322344322
50	Popularity	iMF (test)	0.0	0.04395604395604396	0.04395604395604396	0.04395604395604396	0.04395604395604396
50	Popularity	kNN (test)	0.0	0.04322344322344322	0.04322344322344322	0.04322344322344322	0.04322344322344322
50	Popularity	Normalized kNN (test)	0.0	0.046886446886446886	0.046886446886446886	0.046886446886446886	0.046886446886446886
50	Popularity	kNN (full)	0.0	0.046153846153846156	0.046153846153846156	0.046153846153846156	0.046153846153846156
50	Popularity	Random	0.0	0.06446886446886448	0.06446886446886448	0.06446886446886448	0.06446886446886448
50	Popularity	Average Rating	0.0	0.06813186813186813	0.06813186813186813	0.06813186813186813	0.06813186813186813
5	iMF (full)	Normalized kNN (full)	0.0	0.03663003663003663	0.03663003663003663	0.03663003663003663	0.03663003663003663
5	iMF (full)	Random	0.0	0.03663003663003663	0.03663003663003663	0.03663003663003663	0.03663003663003663
5	iMF (full)	Normalized kNN (test)	0.0	0.03663003663003663	0.03663003663003663	0.03663003663003663	0.03663003663003663
5	iMF (full)	Average Rating	0.0	0.03663003663003663	0.03663003663003663	0.03663003663003663	0.03663003663003663
5	iMF (full)	Popularity	0.0	0.03663003663003663	0.03663003663003663	0.03663003663003663	0.03663003663003663
5	iMF (full)	kNN (full)	0.0	0.03663003663003663	0.03663003663003663	0.03663003663003663	0.03663003663003663
5	iMF (full)	kNN (test)	0.0	0.03663003663003663	0.03663003663003663	0.03663003663003663	0.03663003663003663
5	iMF (full)	iMF (test)	0.0	0.03663003663003663	0.03663003663003663	0.03663003663003663	0.03663003663003663
200	Average Rating	kNN (test)	0.0	0.07545787545787545	0.07545787545787545	0.07545787545787545	0.07545787545787545
200	Average Rating	iMF (full)	0.0	0.063003663003663	0.063003663003663	0.063003663003663	0.063003663003663
200	Average Rating	kNN (full)	0.0	0.07472527472527472	0.07472527472527472	0.07472527472527472	0.07472527472527472
200	Average Rating	Popularity	0.0	0.14652014652014653	0.14652014652014653	0.14652014652014653	0.14652014652014653
200	Average Rating	iMF (test)	0.0	0.07545787545787545	0.07545787545787545	0.07545787545787545	0.07545787545787545
200	Average Rating	Random	0.0	0.3978021978021978	0.3978021978021978	0.3978021978021978	0.3978021978021978
200	Average Rating	Normalized kNN (full)	0.0	0.11208791208791209	0.11208791208791209	0.11208791208791209	0.11208791208791209
200	Average Rating	Normalized kNN (test)	0.0	0.19706959706959706	0.19706959706959706	0.19706959706959706	0.19706959706959706
1534	Normalized kNN (full)	Popularity	0.0	0.23516483516483516	0.23516483516483516	0.23516483516483516	0.23516483516483516
1534	Normalized kNN (full)	Normalized kNN (test)	0.0	0.34725274725274724	0.34725274725274724	0.34725274725274724	0.34725274725274724
1534	Normalized kNN (full)	Average Rating	0.0	0.3619047619047619	0.3619047619047619	0.3619047619047619	0.3619047619047619
1534	Normalized kNN (full)	kNN (test)	0.0	0.2139194139194139	0.2139194139194139	0.2139194139194139	0.2139194139194139
1534	Normalized kNN (full)	iMF (full)	0.0	0.17509157509157508	0.17509157509157508	0.17509157509157508	0.17509157509157508
