fold	target size	expected intersection ratio in top n
1	0	0.6548532681785778
2	0	0.6534183370223058
3	0	0.6535230958062732
4	0	0.6603495137678326
5	0	0.6575451551002905
1	1	0.6390234215583137
2	1	0.6371657050744476
3	1	0.6365064694141734
4	1	0.6434610471806206
5	1	0.641595647259673
1	2	0.622468041154869
2	2	0.6190998643240285
3	2	0.6187613659520087
4	2	0.6249906937116468
5	2	0.6233246494971002
1	5	0.5588532216226701
2	5	0.5524370014401726
3	5	0.5565956517560647
4	5	0.5553175704483775
5	5	0.5572977162731986
1	10	0.429849728389002
2	10	0.4255612550383021
3	10	0.43105062517452536
4	10	0.4256182809075461
5	10	0.4291444521043584
1	20	0.28875194285446154
2	20	0.28751879475786074
3	20	0.2890170319003524
4	20	0.28836599752858816
5	20	0.2883551592877193
1	50	0.15242648701956227
2	50	0.1517319321493363
3	50	0.15218531076266312
4	50	0.1521523821056638
5	50	0.15206172355282255
1	100	0.08732355219274844
2	100	0.08702479841341329
3	100	0.08718937774951765
4	100	0.08712043118687428
5	100	0.08730615135063176
1	200	0.04757590344183185
2	200	0.047499366308239435
3	200	0.04756209304651195
4	200	0.047588848560163856
5	200	0.047556228026175706
1	500	0.020261953932136336
2	500	0.02024751997047855
3	500	0.020254185097752214
4	500	0.020270259601834817
5	500	0.02025155316190902
1	1000	0.010373113957985874
2	1000	0.01036669818891334
3	1000	0.010372627356411802
4	1000	0.010371329061757818
5	1000	0.010370008662461875
1	1605	0.006616643487895714
2	1605	0.0066144502291948706
3	1605	0.006615292274980301
4	1605	0.006616118876570608
5	1605	0.006615672852295296
