fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	100	Normalized kNN (k=1000, min=3)	1.0	0.22337327981978958	0.1935820895522388	0.1592687505729368	0.14631613099179386
3	100	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.5052585132603988	0.37104477611940295	0.42299913328588445	0.3252231420025919
3	100	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.37804287672513	0.2934328358208955	0.33147747034380687	0.25452127196536917
3	100	kNN (k=20)	1.0	0.5297850296599311	0.3835820895522388	0.4334312582474613	0.3340232894106784
3	100	Normalized kNN (k=6000, min=3)	1.0	0.22337327981978958	0.1935820895522388	0.1592687505729368	0.14631613099179386
3	100	kNN (k=80)	1.0	0.5218570340733913	0.3744776119402985	0.42699670371518494	0.32654205496481636
3	100	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.3909917645622064	0.2885074626865672	0.33780086510526236	0.2554168159042361
3	100	Normalized kNN (k=200, min=3)	1.0	0.23240583136500778	0.19985074626865673	0.16000149043049225	0.15007203988331325
3	100	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.5698708673632383	0.4162686567164179	0.4695224792537061	0.3625322228518647
3	100	Normalized kNN (k=10, min=3)	1.0	0.4498104874177746	0.3328358208955224	0.37975677654864626	0.2927293220270145
3	100	kNN (k=60)	1.0	0.528323158926477	0.3825373134328358	0.43449077567514255	0.3337690235755954
3	100	Average Rating	1.0	0.21856832718673747	0.19	0.15445948164146822	0.1429100760921817
3	100	kNN (k=40)	1.0	0.532863664737335	0.38402985074626866	0.43890500335796806	0.3354500724580213
3	100	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.5064446188101323	0.3698507462686567	0.4234762620971007	0.3245295303300752
3	100	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.528930548908105	0.3755223880597015	0.43722047963768995	0.33237233362736823
3	100	Normalized kNN (k=40, min=3)	1.0	0.34843113431154055	0.2746268656716418	0.31861758322183875	0.24033643094196475
3	100	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.5280915108620636	0.3925373134328358	0.45163790777593427	0.3446634995275974
3	100	Normalized kNN (k=70, min=3)	1.0	0.2875746687811268	0.24388059701492537	0.25141366673507654	0.20162065131499182
3	100	kNN (k=700)	1.0	0.40858901971803147	0.3150746268656716	0.3128050177295544	0.25926902645037697
3	100	Normalized kNN (k=500, min=3)	1.0	0.22571493598444495	0.19552238805970149	0.16161651358476323	0.14825584960454485
3	100	Normalized kNN (k=900, min=3)	1.0	0.22337327981978958	0.1935820895522388	0.1592687505729368	0.14631613099179386
3	100	iMF (k=10, lambda=10.0, alpha=10.0)	1.0	0.5402892410082789	0.4001492537313433	0.4605086036292709	0.35191521238157786
3	100	kNN (k=6000)	1.0	0.40858901971803147	0.3150746268656716	0.3128050177295544	0.25926902645037697
3	100	kNN (k=300)	1.0	0.45239817440708885	0.3385074626865672	0.358569721780845	0.28555132623401597
3	100	iMF (k=10, lambda=10.0, alpha=1.0)	1.0	0.5711645983116642	0.4162686567164179	0.4719168351263671	0.3635873559912256
2	100	Normalized kNN (k=1000, min=3)	1.0	0.23419444664704897	0.20298507462686566	0.16651008536757939	0.1543118526516955
2	100	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.4643368444158921	0.3435820895522388	0.38824152319276223	0.298945896486001
2	100	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.37186451330868914	0.29955223880597015	0.32727233817449547	0.25681161370009215
2	100	kNN (k=20)	1.0	0.499621703511048	0.36656716417910445	0.404490299123732	0.3179166206899506
2	100	Normalized kNN (k=6000, min=3)	1.0	0.23419444664704897	0.20298507462686566	0.16651008536757939	0.1543118526516955
2	100	kNN (k=80)	1.0	0.4931909214888594	0.36388059701492537	0.4020694548616487	0.31317377127580764
3	100	iMF (k=50, lambda=1.0, alpha=10.0)	1.0	0.4677397681664234	0.3438805970149254	0.38979139477555064	0.3018609328777522
3	100	Normalized kNN (k=300, min=3)	1.0	0.231270174613884	0.2	0.16509881068209736	0.151434374944654
3	100	kNN (k=5000)	1.0	0.40858901971803147	0.3150746268656716	0.3128050177295544	0.25926902645037697
3	100	iMF (k=10, lambda=1.0, alpha=1.0)	1.0	0.5673426971926402	0.4144776119402985	0.471537938173782	0.361960270485187
3	100	iMF (k=5, lambda=10.0, alpha=1.0)	1.0	0.5333227349806504	0.3916417910447761	0.433963042700407	0.33853242426907654
3	100	Normalized kNN (k=20, min=3)	1.0	0.4014907830346733	0.306865671641791	0.368337930848584	0.27465207038453554
3	100	kNN (k=4000)	1.0	0.40858901971803147	0.3150746268656716	0.3128050177295544	0.25926902645037697
3	100	kNN (k=800)	1.0	0.40858901971803147	0.3150746268656716	0.3128050177295544	0.25926902645037697
3	100	kNN (k=3000)	1.0	0.40858901971803147	0.3150746268656716	0.3128050177295544	0.25926902645037697
2	100	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.3681749227628516	0.2814925373134328	0.3125462325206349	0.24424365324892147
2	100	Normalized kNN (k=200, min=3)	1.0	0.24451801415820157	0.21582089552238806	0.16569051054705153	0.16091809501362753
2	100	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.5364733571639886	0.3998507462686567	0.4350267425324177	0.34360188962292926
2	100	Normalized kNN (k=10, min=3)	1.0	0.41113894356092395	0.3161194029850746	0.3540425540954223	0.2757370834178116
2	100	kNN (k=60)	1.0	0.49892536128749265	0.3688059701492537	0.4092898301404846	0.319135156842787
2	100	Average Rating	1.0	0.18453007671329155	0.1762686567164179	0.14182050757804995	0.132614755675213
2	100	kNN (k=40)	1.0	0.5019214850252438	0.37059701492537317	0.40906769716295927	0.3200122923820628
2	100	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.4704855379378536	0.34955223880597014	0.3957063899884153	0.3039591993864167
3	100	iMF (k=50, lambda=0.1, alpha=100.0)	1.0	0.3725821577999181	0.28179104477611944	0.324137529282038	0.24899413165891343
3	100	Normalized kNN (k=80, min=3)	1.0	0.2701968981477012	0.23268656716417913	0.22653017369160752	0.1878044570676029
3	100	Popularity	1.0	0.35299743510854825	0.2814925373134328	0.27200789337369913	0.22947838320752473
3	100	Normalized kNN (k=600, min=3)	1.0	0.22328501291434233	0.19313432835820896	0.15893697294688994	0.14597505717141274
3	100	kNN (k=400)	1.0	0.4294370195960465	0.3270149253731343	0.33422544217461975	0.2725973799607453
3	100	iMF (k=5, lambda=0.1, alpha=100.0)	1.0	0.41437189676309066	0.31656716417910447	0.3537513685438987	0.27475618370663085
3	100	Normalized kNN (k=3000, min=3)	1.0	0.22337327981978958	0.1935820895522388	0.1592687505729368	0.14631613099179386
3	100	iMF (k=10, lambda=0.1, alpha=100.0)	1.0	0.3832603189470469	0.2974626865671642	0.34170445087798196	0.26039521982614255
3	100	kNN (k=200)	1.0	0.48026363962337393	0.35328358208955224	0.3855949197603632	0.30237154724550436
3	100	kNN (k=600)	1.0	0.4097850489684195	0.31597014925373135	0.31398127927895025	0.26014475930049835
3	100	Normalized kNN (k=800, min=3)	1.0	0.22337327981978958	0.1935820895522388	0.1592687505729368	0.14631613099179386
3	100	iMF (k=5, lambda=0.1, alpha=1.0)	1.0	0.5355899306116328	0.38761194029850743	0.4381755981474468	0.3383018295555259
3	100	Normalized kNN (k=100, min=3)	1.0	0.24751357493081014	0.21507462686567164	0.18903516988593175	0.16613954415062127
