fold	target size	expected intersection ratio in top n
3	100	0.08725313976849873
5	100	0.08709300012505235
4	100	0.08731940666722585
2	100	0.08699900849966218
1	100	0.08722416055137096
3	200	0.04753997098210427
5	200	0.04755645229040928
4	200	0.04756994227676728
2	200	0.047497183348012756
1	200	0.0475744842412486
3	50	0.15208193306900727
3	5	0.5577796100642775
3	1000	0.010368945654139074
5	50	0.15219027902333337
5	5	0.5581098178924193
3	500	0.020250218578088713
5	1000	0.01037113819318437
4	50	0.15220933674446074
4	5	0.5553613980088038
5	500	0.020254835049642487
4	1000	0.010373084837664748
2	50	0.1519569080669563
2	5	0.5535073329511953
4	500	0.020261459391605095
2	1000	0.010365846553491473
1	50	0.1524791434508006
1	5	0.558275436915637
2	500	0.02024153041890392
1	1000	0.010373090986543581
3	20	0.2892002994971058
1	500	0.02027078303935271
3	1605	0.006615292274980301
5	20	0.2890283979731328
2	1605	0.0066144502291948706
5	1605	0.006615672852295296
4	20	0.28739486077499643
1	1605	0.006616643487895714
2	20	0.28703865352178504
4	1605	0.006616118876570608
1	20	0.28890461128745165
3	10	0.43144402047366526
5	10	0.4286943545845775
4	10	0.42642850525173037
2	10	0.4263040136896193
1	10	0.42966209180293513
3	1	0.6368866409734965
5	1	0.6414561077956056
4	1	0.6432028682787668
2	1	0.6370387225402391
1	1	0.639253519074491
3	2	0.6184026344818956
5	2	0.6236824455242016
4	2	0.6249265701297054
2	2	0.6191133086555174
1	2	0.6221794449004876
3	0	0.6535230958062732
5	0	0.6575451551002905
4	0	0.6603495137678326
2	0	0.6534183370223058
1	0	0.6548532681785778
