target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	3.787345343781856E-78	4.625127337667737E-73	8.283755208514357E-52	4.790724816651069E-75
500	Popularity	iMF (test)	NaN	3.3432526276541295E-4	0.0012741305794164248	0.7955373230920235	0.13932918868574395
500	Popularity	Random	NaN	4.347504418600277E-117	1.6964631407556197E-106	3.1626849713929322E-90	2.0199997154044287E-127
500	Popularity	Normalized kNN (full)	5.462424329477557E-13	2.0738700144775998E-11	3.1147277822436676E-11	7.743411584471895E-20	9.195554046999197E-18
500	Popularity	Normalized kNN (test)	NaN	8.541551945960017E-59	5.29207467848054E-44	5.582200167729594E-29	3.927715207010327E-45
500	Popularity	kNN (full)	NaN	8.651719689198595E-81	8.679658304228916E-73	1.981507945502124E-51	6.150124835525464E-75
500	Popularity	Average Rating	NaN	1.1721177264240052E-100	6.752422669429831E-79	3.1396757043815225E-68	1.288643429141133E-91
500	Popularity	iMF (full)	NaN	1.4966049833913381E-89	8.252152588952243E-87	2.378168211425238E-65	1.4449105320947012E-92
20	Popularity	Random	NaN	1.0072783720939611E-138	5.148130500067351E-132	1.1473727929476619E-103	7.45056229731427E-136
20	Popularity	Normalized kNN (test)	8.883357358978927E-18	5.349810842609199E-7	2.6032174297226274E-8	1.7225006517247008E-11	2.1585086112029916E-10
20	Popularity	iMF (full)	NaN	1.545691537999534E-58	1.36844563738394E-40	2.5803185613546165E-31	4.899570606130423E-41
20	Popularity	iMF (test)	NaN	1.5859984487609009E-25	2.1694157349483376E-23	1.0454079880775586E-21	1.2178932293659514E-25
20	Popularity	kNN (test)	4.1659039425353306E-20	3.224526962650163E-56	1.4318602077551935E-37	4.619641756651079E-26	4.1819253945167726E-36
20	Popularity	kNN (full)	2.7978809240923306E-10	2.5182001334735917E-63	1.0302727741947252E-39	1.2000555324782785E-32	2.9419698293563885E-41
20	Popularity	Average Rating	NaN	4.504217113887289E-28	1.0974225929175634E-13	8.884105405059141E-16	5.0442579824552605E-17
20	Popularity	Normalized kNN (full)	3.8504618340059733E-76	0.5790252066282071	0.18039026780424106	5.1939109593587924E-14	2.8900471012073756E-6
20	Random	Normalized kNN (test)	8.883357358978927E-18	4.382842855136125E-163	2.8778254798612823E-152	1.4946881814984186E-123	1.7367435765329394E-160
20	Random	iMF (full)	NaN	1.5210618298423302E-217	6.529399509169135E-178	9.096704831327612E-144	1.5053519204709745E-188
20	Random	iMF (test)	NaN	1.4535980761336103E-194	1.6968899446928518E-169	9.224869397587334E-140	4.1267147521448496E-181
20	Random	kNN (test)	4.1659039425353306E-20	4.801265223153944E-211	2.326937286027731E-174	7.715315788483921E-140	1.116162523900426E-185
20	Random	kNN (full)	2.7978809240923306E-10	6.589135925169128E-211	2.2926251445264607E-176	1.535102711520493E-143	1.9201150526537398E-187
20	Random	Average Rating	NaN	1.7754978807509972E-75	1.0616219556047951E-89	1.2906278255258598E-63	2.0772272931801124E-89
20	Random	Normalized kNN (full)	3.8504618340059733E-76	1.4093028270012847E-130	8.677153964169108E-102	2.5189749027638117E-56	3.6040924790352805E-93
50	Popularity	Normalized kNN (full)	3.997130278557593E-65	5.563347959959297E-9	2.8754774668609004E-5	0.9677129866929333	0.01391150799717468
50	Popularity	iMF (full)	NaN	3.028348101883518E-79	1.4154643354768752E-62	6.11161209267337E-53	9.375829947946355E-68
50	Popularity	iMF (test)	NaN	4.425799656215008E-18	6.2736075587853824E-15	7.158124448585887E-21	3.8352142461257845E-20
50	Popularity	kNN (test)	4.5662342083288224E-7	7.084234770332507E-74	1.735655674609842E-58	5.874099940256269E-44	3.3454215153381137E-59
50	Popularity	Normalized kNN (test)	1.9547408238311078E-4	0.19772494091545878	0.9637105463820361	9.782017242281247E-4	0.12459267778703653
50	Popularity	kNN (full)	0.020809338804250187	6.086240665192192E-80	4.666404318079118E-60	2.385227793548046E-47	1.951138594602836E-62
50	Popularity	Random	NaN	2.760241828559459E-169	2.415646998093846E-153	2.3702537056721822E-119	1.2469234974134901E-166
50	Popularity	Average Rating	NaN	9.490727766644252E-67	1.836377976223252E-54	2.791100787705175E-46	1.3742719868322207E-57
5	iMF (full)	Normalized kNN (full)	1.4490085489157786E-83	1.0553384681584278E-40	3.599084944013985E-39	2.820584204420099E-49	4.508356603504971E-48
5	iMF (full)	Random	NaN	7.30386907838742E-133	9.751251868870008E-89	2.2720455840275818E-71	6.785501201849854E-89
5	iMF (full)	Normalized kNN (test)	2.7281936993342214E-45	2.7374912234859275E-5	0.023041148726016154	0.004397913661768143	0.016622322322976387
5	iMF (full)	Average Rating	1.7181292706623517E-4	6.17352482060911E-27	1.3197099063123646E-8	2.4671931113815303E-6	1.767821837354997E-7
5	iMF (full)	Popularity	1.7181292706623517E-4	2.2779992572527852E-36	1.2941941049438381E-20	7.894614182196195E-14	5.765615980585328E-19
5	iMF (full)	kNN (full)	6.035654283320545E-39	0.4961448776998578	0.19045541057607485	0.741075219275203	0.5085103426784224
5	iMF (full)	kNN (test)	1.3322317188163595E-46	0.21021665708076231	0.19363220036651996	0.01615909481266467	0.11148554881397721
5	iMF (full)	iMF (test)	NaN	0.5610776805490227	0.3105960583139963	0.010167674588600222	0.03070728628753518
200	Average Rating	kNN (test)	NaN	7.379500348659056E-199	7.803465044546413E-161	6.211493745688574E-122	1.0688771487632947E-175
