target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.09104477611940298	0.28059701492537314	0.28059701492537314	0.28059701492537314
500	Popularity	iMF (test)	1.0	0.1328358208955224	0.3208955223880597	0.3208955223880597	0.3208955223880597
500	Popularity	Random	1.0	0.20298507462686566	0.23134328358208955	0.23134328358208955	0.23134328358208955
500	Popularity	Normalized kNN (full)	0.9014925373134328	0.10298507462686567	0.291044776119403	0.291044776119403	0.291044776119403
500	Popularity	Normalized kNN (test)	1.0	0.16716417910447762	0.291044776119403	0.291044776119403	0.291044776119403
500	Popularity	kNN (full)	1.0	0.09104477611940298	0.28507462686567164	0.28507462686567164	0.28507462686567164
500	Popularity	Average Rating	1.0	0.19552238805970149	0.26417910447761195	0.26417910447761195	0.26417910447761195
500	Popularity	iMF (full)	1.0	0.07462686567164178	0.23582089552238805	0.23582089552238805	0.23582089552238805
20	Popularity	Random	1.0	0.03283582089552239	0.13432835820895522	0.13432835820895522	0.13432835820895522
20	Popularity	Normalized kNN (test)	0.8611940298507462	0.04328358208955224	0.4059701492537313	0.4059701492537313	0.4059701492537313
20	Popularity	iMF (full)	1.0	0.06865671641791045	0.4059701492537313	0.4059701492537313	0.4059701492537313
20	Popularity	iMF (test)	1.0	0.06865671641791045	0.417910447761194	0.417910447761194	0.417910447761194
20	Popularity	kNN (test)	0.8328358208955224	0.08059701492537313	0.42686567164179107	0.42686567164179107	0.42686567164179107
20	Popularity	kNN (full)	0.9238805970149254	0.07761194029850746	0.43582089552238806	0.43582089552238806	0.43582089552238806
20	Popularity	Average Rating	1.0	0.034328358208955224	0.28507462686567164	0.28507462686567164	0.28507462686567164
20	Popularity	Normalized kNN (full)	0.5313432835820896	0.07313432835820896	0.3402985074626866	0.3402985074626866	0.3402985074626866
20	Random	Normalized kNN (test)	0.8611940298507462	0.029850746268656716	0.11044776119402985	0.11044776119402985	0.11044776119402985
20	Random	iMF (full)	1.0	0.023880597014925373	0.08208955223880597	0.08208955223880597	0.08208955223880597
20	Random	iMF (test)	1.0	0.022388059701492536	0.08656716417910448	0.08656716417910448	0.08656716417910448
20	Random	kNN (test)	0.8328358208955224	0.023880597014925373	0.07164179104477612	0.07164179104477612	0.07164179104477612
20	Random	kNN (full)	0.9238805970149254	0.026865671641791045	0.07313432835820896	0.07313432835820896	0.07313432835820896
20	Random	Average Rating	1.0	0.05373134328358209	0.19701492537313434	0.19701492537313434	0.19701492537313434
20	Random	Normalized kNN (full)	0.5313432835820896	0.04328358208955224	0.15970149253731344	0.15970149253731344	0.15970149253731344
50	Popularity	Normalized kNN (full)	0.5835820895522388	0.05970149253731343	0.29253731343283584	0.29253731343283584	0.29253731343283584
50	Popularity	iMF (full)	1.0	0.06119402985074627	0.3044776119402985	0.3044776119402985	0.3044776119402985
50	Popularity	iMF (test)	1.0	0.03880597014925373	0.2835820895522388	0.2835820895522388	0.2835820895522388
50	Popularity	kNN (test)	0.9522388059701492	0.058208955223880594	0.34776119402985073	0.34776119402985073	0.34776119402985073
50	Popularity	Normalized kNN (test)	0.9761194029850746	0.03582089552238806	0.29253731343283584	0.29253731343283584	0.29253731343283584
50	Popularity	kNN (full)	0.991044776119403	0.06716417910447761	0.3373134328358209	0.3373134328358209	0.3373134328358209
50	Popularity	Random	1.0	0.04626865671641791	0.11343283582089553	0.11343283582089553	0.11343283582089553
50	Popularity	Average Rating	1.0	0.05223880597014925	0.20746268656716418	0.20746268656716418	0.20746268656716418
5	iMF (full)	Normalized kNN (full)	0.49701492537313435	0.11194029850746269	0.33432835820895523	0.33432835820895523	0.33432835820895523
5	iMF (full)	Random	1.0	0.03134328358208955	0.32985074626865674	0.32985074626865674	0.32985074626865674
5	iMF (full)	Normalized kNN (test)	0.6970149253731344	0.12835820895522387	0.5537313432835821	0.5537313432835821	0.5537313432835821
5	iMF (full)	Average Rating	0.9791044776119403	0.06865671641791045	0.5044776119402985	0.5044776119402985	0.5044776119402985
5	iMF (full)	Popularity	0.9791044776119403	0.11194029850746269	0.5791044776119403	0.5791044776119403	0.5791044776119403
5	iMF (full)	kNN (full)	0.7253731343283583	0.23283582089552238	0.6880597014925374	0.6880597014925374	0.6880597014925374
5	iMF (full)	kNN (test)	0.6925373134328359	0.19701492537313434	0.6402985074626866	0.6402985074626866	0.6402985074626866
5	iMF (full)	iMF (test)	1.0	0.14925373134328357	0.6104477611940299	0.6104477611940299	0.6104477611940299
200	Average Rating	kNN (test)	1.0	0.050746268656716415	0.09104477611940298	0.09104477611940298	0.09104477611940298
200	Average Rating	iMF (full)	1.0	0.04328358208955224	0.08059701492537313	0.08059701492537313	0.08059701492537313
200	Average Rating	kNN (full)	1.0	0.04776119402985075	0.08358208955223881	0.08358208955223881	0.08358208955223881
200	Average Rating	Popularity	1.0	0.1328358208955224	0.23880597014925373	0.23880597014925373	0.23880597014925373
200	Average Rating	iMF (test)	1.0	0.07611940298507462	0.1626865671641791	0.1626865671641791	0.1626865671641791
200	Average Rating	Random	1.0	0.31492537313432833	0.417910447761194	0.417910447761194	0.417910447761194
200	Average Rating	Normalized kNN (full)	0.7194029850746269	0.07611940298507462	0.1537313432835821	0.1537313432835821	0.1537313432835821
200	Average Rating	Normalized kNN (test)	1.0	0.18955223880597014	0.3582089552238806	0.3582089552238806	0.3582089552238806
20	Normalized kNN (test)	iMF (full)	0.8611940298507462	0.07014925373134329	0.48208955223880595	0.48208955223880595	0.48208955223880595
20	Normalized kNN (test)	iMF (test)	0.8611940298507462	0.07014925373134329	0.5104477611940299	0.5104477611940299	0.5104477611940299
20	Normalized kNN (test)	kNN (test)	0.8477611940298507	0.07611940298507462	0.48507462686567165	0.48507462686567165	0.48507462686567165
20	Normalized kNN (test)	kNN (full)	0.8805970149253731	0.07761194029850746	0.5104477611940299	0.5104477611940299	0.5104477611940299
20	Normalized kNN (test)	Average Rating	0.8611940298507462	0.04328358208955224	0.3597014925373134	0.3597014925373134	0.3597014925373134
20	Normalized kNN (test)	Normalized kNN (full)	0.5313432835820896	0.05522388059701493	0.3283582089552239	0.3283582089552239	0.3283582089552239
0	Normalized kNN (full)	kNN (full)	0.5134328358208955	0.12686567164179105	0.3447761194029851	0.3447761194029851	0.3447761194029851
0	Normalized kNN (full)	Random	0.508955223880597	0.058208955223880594	0.21641791044776118	0.21641791044776118	0.21641791044776118
0	Normalized kNN (full)	iMF (test)	0.508955223880597	0.11641791044776119	0.3119402985074627	0.3119402985074627	0.3119402985074627
0	Normalized kNN (full)	Popularity	0.508955223880597	0.1	0.28507462686567164	0.28507462686567164	0.28507462686567164
0	Normalized kNN (full)	Average Rating	0.508955223880597	0.1	0.2791044776119403	0.2791044776119403	0.2791044776119403
0	Normalized kNN (full)	iMF (full)	0.508955223880597	0.11492537313432835	0.3119402985074627	0.3119402985074627	0.3119402985074627
0	Normalized kNN (full)	kNN (test)	0.5253731343283582	0.14626865671641792	0.373134328358209	0.373134328358209	0.373134328358209
0	Normalized kNN (full)	Normalized kNN (test)	0.5223880597014925	0.11940298507462686	0.3194029850746269	0.3194029850746269	0.3194029850746269
