target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10

500	Popularity	kNN (test)	NaN	0.0	0.0	1.3582513945040328E-240	0.0
500	Popularity	iMF (test)	NaN	9.982384951629804E-26	8.769051043475074E-19	0.03840411618181531	4.18898679342868E-9
500	Popularity	Random	NaN	0.0	0.0	0.0	0.0
500	Popularity	Normalized kNN (full)	NaN	4.007315272048841E-44	2.6922932011619407E-43	3.2847505874541687E-87	5.636461294867726E-76
500	Popularity	Normalized kNN (test)	NaN	2.0237732214159405E-281	1.960237106587235E-223	1.195129559013546E-151	2.9437071725944248E-235
500	Popularity	kNN (full)	NaN	0.0	0.0	1.154930768076777E-243	0.0
500	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (full)	NaN	0.0	0.0	9.900960908994458E-298	0.0
20	Popularity	Random	NaN	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (test)	NaN	2.631449267999788E-16	9.036564566196635E-39	7.36796875961956E-38	4.53562506415211E-42
20	Popularity	iMF (full)	NaN	4.6172267694003115E-273	1.5126793833328212E-202	1.4297433858137153E-158	3.867863237275522E-213
20	Popularity	iMF (test)	NaN	7.467483904427059E-90	2.1514542217046215E-97	2.9794119586557456E-89	1.38873861726725E-109
20	Popularity	kNN (test)	NaN	3.3124688099240296E-252	1.9483347908036996E-191	5.000167318646339E-119	2.376752629803433E-181
20	Popularity	kNN (full)	NaN	8.759862326838848E-287	3.808752263134326E-206	8.74839586635092E-141	2.8126855793690273E-201
20	Popularity	Average Rating	NaN	4.119922510532724E-170	4.818338729674059E-100	7.919588424278839E-122	1.3318343426952461E-126
20	Popularity	Normalized kNN (full)	NaN	3.909136927585092E-17	1.8760525427647057E-6	2.8778957822572853E-15	0.15732352573501796
20	Random	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (full)	NaN	0.0	0.0	0.0	0.0
20	Random	Average Rating	NaN	0.0	0.0	1.449924192161168E-292	0.0
20	Random	Normalized kNN (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	Normalized kNN (full)	NaN	2.3784964810884065E-46	4.025456376454132E-33	6.749161768384254E-4	1.3870364656009629E-18
50	Popularity	iMF (full)	NaN	0.0	8.097899141797793E-304	3.04618271706722E-237	5.65617E-318
50	Popularity	iMF (test)	NaN	5.153155517803442E-42	7.386811899843309E-60	2.0125470015633192E-66	7.010913495797151E-75
50	Popularity	kNN (test)	NaN	1.0893847024652216E-308	2.7568200699653903E-273	1.4906179418327447E-189	1.1225797390136025E-268
50	Popularity	Normalized kNN (test)	NaN	3.838903605174674E-9	0.9662819835484259	5.107749018395469E-6	0.07190856852574075
50	Popularity	kNN (full)	NaN	0.0	6.796510642594835E-293	1.2919534528144734E-203	2.228334471274142E-290
50	Popularity	Random	NaN	0.0	0.0	0.0	0.0
50	Popularity	Average Rating	NaN	0.0	7.13058568178958E-304	5.583404099714224E-266	0.0
5	iMF (full)	Normalized kNN (full)	NaN	9.58691238429441E-69	1.4045620853351763E-53	1.202414946308337E-77	4.264750331677419E-74
5	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (test)	NaN	4.527382073988879E-10	0.03363812230067137	0.03755097419962251	0.03463779281029748
5	iMF (full)	Average Rating	NaN	2.267635171702196E-134	5.426179070613915E-52	4.0339845907173926E-47	7.718487886679734E-54
5	iMF (full)	Popularity	NaN	2.5930979380328083E-162	2.2383369187318665E-104	7.259216516956444E-80	8.080966182642978E-103
5	iMF (full)	kNN (full)	NaN	0.04061809094523023	0.05531174092560688	0.28506471345924955	0.1507427126422789
5	iMF (full)	kNN (test)	NaN	0.0020640891058599214	0.052245995329405125	0.002562150409536885	0.01204385739031129
5	iMF (full)	iMF (test)	NaN	0.3621500774488421	0.0492187864631376	0.009261544199642178	0.005035717931645561
200	Average Rating	kNN (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	kNN (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Popularity	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Random	NaN	5.586978439713524E-162	6.619733165128885E-206	3.746901302638948E-123	2.216868604208074E-199
200	Average Rating	Normalized kNN (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Normalized kNN (test)	NaN	0.0	0.0	2.4989293891832242E-204	0.0
20	Normalized kNN (test)	iMF (full)	NaN	2.1000180831859878E-156	6.609443528927923E-74	6.806893323694359E-62	2.0578195774817515E-78
