fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1	0	kNN (full)	0.8401492537313433	0.8087401177067098	0.5794029850746268	0.6938217231662964	0.5315737750227854
1	0	Random	0.8401492537313433	0.6810715603746543	0.4885074626865672	0.6346940994847454	0.4666571472464882
1	0	iMF (full)	0.8401492537313433	0.8096288055000992	0.5816417910447761	0.6939706663952404	0.5321189668940598
1	0	Popularity	0.8401492537313433	0.7538736898103032	0.5508955223880597	0.6769841428181845	0.5119470732421456
1	0	kNN (test)	0.8401492537313433	0.8105796866636342	0.582089552238806	0.6959697407733432	0.5336698009630999
1	0	Normalized kNN (test)	0.8401492537313433	0.8250392676606223	0.59	0.7010060190470441	0.539939237023966
1	0	Average Rating	0.8401492537313433	0.8206148532432544	0.5882089552238806	0.7016937846408527	0.5397808684760403
1	0	Normalized kNN (full)	0.8401492537313433	0.7932623644891696	0.5734328358208955	0.685374512567641	0.5247444048731744
1	0	iMF (test)	0.8401492537313433	0.8296497570252876	0.5931343283582089	0.7055814716720191	0.5436966150619448
2	0	kNN (full)	0.8479104477611941	0.80797612997614	0.5837313432835821	0.6894509118947907	0.5329797040592392
2	0	Random	0.8479104477611941	0.6796777002837018	0.4897014925373135	0.6287260672590712	0.4646410988858739
2	0	iMF (full)	0.8479104477611941	0.8067420432952204	0.5817910447761194	0.6882772915646944	0.5312399393031236
2	0	Popularity	0.8479104477611941	0.7566757939031457	0.5540298507462686	0.6714236940016962	0.51153990966038
2	0	kNN (test)	0.8479104477611941	0.8054107403078681	0.5805970149253732	0.6848482347096153	0.5293071628050228
2	0	Normalized kNN (test)	0.8479104477611941	0.8266216477895175	0.5946268656716418	0.69899811519243	0.5423710038872772
2	0	Average Rating	0.8479104477611941	0.8174134789506741	0.5880597014925373	0.6963603433707968	0.5384004771392195
2	0	Normalized kNN (full)	0.8479104477611941	0.7914697943985608	0.5722388059701492	0.6782488001223509	0.5224200775198135
2	0	iMF (test)	0.8479104477611941	0.8240049319729509	0.5961194029850746	0.6995661133130372	0.5434252049392314
3	0	kNN (full)	0.8389552238805971	0.8061532104317862	0.5819402985074626	0.685941938567554	0.5300363830938811
3	0	Random	0.8389552238805971	0.67135654332004	0.48388059701492536	0.6194037490354821	0.4592305006144301
3	0	iMF (full)	0.8389552238805971	0.8092558018399941	0.5825373134328359	0.6827059561403487	0.5284675746767592
3	0	Popularity	0.8389552238805971	0.7508674156597329	0.544179104477612	0.6634257249022163	0.5034965204951135
3	0	kNN (test)	0.8389552238805971	0.8041114978497098	0.5822388059701493	0.6841540166464728	0.5292552415127815
3	0	Normalized kNN (test)	0.8389552238805971	0.8183966454187354	0.5904477611940299	0.6925160951763614	0.5368535620850159
3	0	Average Rating	0.8389552238805971	0.8079161909402566	0.5850746268656717	0.6906854426927983	0.5339045374541914
3	0	Normalized kNN (full)	0.8389552238805971	0.789914897321489	0.5702985074626866	0.6752502176351074	0.5201226844140592
3	0	iMF (test)	0.8389552238805971	0.8202217555194201	0.5937313432835821	0.6966195561683376	0.5405307489461567
4	0	kNN (full)	0.8541791044776119	0.8093550640757393	0.5867164179104478	0.7013828355300561	0.5440847742137807
4	0	Random	0.8541791044776119	0.6798467185630023	0.4979104477611941	0.6415984806121944	0.47959763775958225
4	0	iMF (full)	0.8541791044776119	0.8072077611706738	0.5846268656716418	0.6986648313769791	0.5415605491587618
4	0	Popularity	0.8541791044776119	0.7577818588336582	0.5522388059701493	0.6819006790424615	0.5208413820673199
4	0	kNN (test)	0.8541791044776119	0.8067558673440228	0.5871641791044776	0.7012381691681138	0.5440568680604412
4	0	Normalized kNN (test)	0.8541791044776119	0.8270423965664706	0.5974626865671642	0.7107698474258671	0.5530291783088137
4	0	Average Rating	0.8541791044776119	0.8193680137991662	0.591044776119403	0.7078080293856978	0.549090488947227
4	0	Normalized kNN (full)	0.8541791044776119	0.8027949362387737	0.5813432835820895	0.6955003484236112	0.5387368734083031
4	0	iMF (test)	0.8541791044776119	0.8216370472349889	0.5973134328358208	0.7079140131684111	0.5519131335425751
5	0	kNN (full)	0.8452238805970148	0.8066938226854189	0.5740298507462687	0.6988212825036569	0.5335352658154974
5	0	Random	0.8452238805970148	0.6687046114495718	0.4853731343283582	0.6402330409210497	0.46859432847758714
5	0	iMF (full)	0.8452238805970148	0.8048322530852067	0.5758208955223881	0.6986672175044925	0.5340571077271313
5	0	Popularity	0.8452238805970148	0.7555810049594239	0.5419402985074627	0.6784513278428119	0.5106091303910507
