target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10

500	Popularity	kNN (test)	1.0	0.08895522388059701	0.2734328358208955	0.2734328358208955	0.2734328358208955
500	Popularity	iMF (test)	1.0	0.12328358208955224	0.3143283582089552	0.3143283582089552	0.3143283582089552
500	Popularity	Random	1.0	0.1982089552238806	0.22805970149253732	0.22805970149253732	0.22805970149253732
500	Popularity	Normalized kNN (full)	1.0	0.09343283582089552	0.28776119402985073	0.28776119402985073	0.28776119402985073
500	Popularity	Normalized kNN (test)	1.0	0.16328358208955224	0.28746268656716417	0.28746268656716417	0.28746268656716417
500	Popularity	kNN (full)	1.0	0.09432835820895523	0.282089552238806	0.282089552238806	0.282089552238806
500	Popularity	Average Rating	1.0	0.19134328358208955	0.25492537313432834	0.25492537313432834	0.25492537313432834
500	Popularity	iMF (full)	1.0	0.0791044776119403	0.2471641791044776	0.2471641791044776	0.2471641791044776
20	Popularity	Random	1.0	0.029850746268656716	0.1328358208955224	0.1328358208955224	0.1328358208955224
20	Popularity	Normalized kNN (test)	1.0	0.051940298507462686	0.40805970149253734	0.40805970149253734	0.40805970149253734
20	Popularity	iMF (full)	1.0	0.07343283582089552	0.4217910447761194	0.4217910447761194	0.4217910447761194
20	Popularity	iMF (test)	1.0	0.05641791044776119	0.4059701492537313	0.4059701492537313	0.4059701492537313
20	Popularity	kNN (test)	1.0	0.07283582089552239	0.4271641791044776	0.4271641791044776	0.4271641791044776
20	Popularity	kNN (full)	1.0	0.07970149253731343	0.44656716417910447	0.44656716417910447	0.44656716417910447
20	Popularity	Average Rating	1.0	0.04119402985074627	0.29761194029850746	0.29761194029850746	0.29761194029850746
20	Popularity	Normalized kNN (full)	1.0	0.06895522388059701	0.3617910447761194	0.3617910447761194	0.3617910447761194
20	Random	Normalized kNN (test)	1.0	0.028059701492537312	0.1071641791044776	0.1071641791044776	0.1071641791044776
20	Random	iMF (full)	1.0	0.027761194029850746	0.08626865671641791	0.08626865671641791	0.08626865671641791
20	Random	iMF (test)	1.0	0.02746268656716418	0.09940298507462686	0.09940298507462686	0.09940298507462686
