target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (test)	NaN	5.382018716455687E-4	0.35616940953526854	2.044163931105675E-6	0.008456086243315043
500	Popularity	Random	NaN	0.0	0.0	0.0	0.0
500	Popularity	Normalized kNN (full)	1.1401138210942652E-132	2.041907531689986E-74	7.893264898896324E-79	4.7666263873082595E-124	4.1271164108154915E-122
500	Popularity	Normalized kNN (test)	NaN	0.0	0.0	9.12334689031999E-276	0.0
500	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
500	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	Normalized kNN (full)	0.001754962927208105	0.0	0.0	2.856981711776547E-151	1.0732296927624785E-303
1682	kNN (full)	Average Rating	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	iMF (test)	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	kNN (test)	NaN	0.4695868451245836	0.3880419355295698	0.637245019649034	0.3807379494958071
1682	kNN (full)	iMF (full)	NaN	6.038687977161405E-43	2.3021042158077027E-55	1.6595889531640864E-20	2.4719959293762092E-48
1682	kNN (full)	Random	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	Popularity	NaN	0.0	0.0	1.2726595665790553E-260	0.0
20	Popularity	Random	NaN	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (test)	NaN	1.043798526234749E-60	1.262452409104695E-13	4.2207252602600755E-43	2.5710038860055103E-31
20	Popularity	iMF (full)	NaN	0.0	3.867411994979176E-300	1.164786224821663E-228	1.052225176346799E-308
20	Popularity	iMF (test)	NaN	2.9416199832619757E-177	1.5122936431222673E-173	3.1861957134805272E-145	1.8606740359178484E-184
20	Popularity	kNN (test)	3.1050007537004517E-101	0.0	6.533419288579164E-292	2.811938903612682E-191	1.6295475897257838E-278
20	Popularity	kNN (full)	3.4671191440238494E-119	0.0	9.917081896963846E-280	1.842323060881064E-184	2.3316140030846505E-265
