fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
2	100	Average Rating	1.0	0.2593213894142848	0.21823966065747616	0.2045937008725889	0.17718652435598903
5	100	Average Rating	1.0	0.24304958622716435	0.21166489925768822	0.19668900036658973	0.17243779032379936
4	100	Average Rating	1.0	0.2594652178913438	0.21930010604453873	0.19848359749143468	0.17458796942603222
2	100	iMF (test)	1.0	0.5380792064564907	0.40360551431601277	0.4790281856512916	0.36537713038212183
5	100	iMF (test)	1.0	0.5311453641576528	0.3971367974549311	0.4867562795019886	0.36444609211640794
4	100	iMF (test)	1.0	0.5491335134304773	0.4063626723223754	0.49767091410893616	0.3686446201852322
1	100	Average Rating	1.0	0.25287659630299303	0.21198303287380701	0.2015989735426782	0.17329070414853465
4	100	Normalized kNN (full)	0.7714740190880169	0.5538279964957712	0.3977730646871686	0.4331629807535214	0.3447172323340223
1	100	iMF (test)	1.0	0.5426203767633843	0.3978791092258749	0.49039849430247856	0.3632645548609843
4	100	Random	1.0	0.10635565648548845	0.09331919406150584	0.08758802414793909	0.07310401774323574
2	100	Normalized kNN (full)	0.791304347826087	0.5569598667061794	0.4009544008483563	0.4420313383603804	0.35171258550457785
2	100	Random	1.0	0.11206692561584723	0.09851537645811241	0.0859896661219424	0.07692615572600241
5	100	Normalized kNN (full)	0.7878048780487804	0.553477814780443	0.39819724284199365	0.4508638335239579	0.35278514714231113
5	100	Random	1.0	0.10807480378569187	0.09236479321314953	0.08939354463859234	0.07456646174104216
1	100	Normalized kNN (full)	0.7744432661717922	0.5487708136977945	0.39225874867444327	0.435716476132692	0.34490481790079974
1	100	Random	1.0	0.10140152690782618	0.08780487804878048	0.08306967902122703	0.07033266224582749
2	100	iMF (full)	1.0	0.6750365455573076	0.4814422057264051	0.5781862920805717	0.4383852448936658
2	100	Popularity	1.0	0.47681827562534934	0.3585365853658537	0.39848937929808664	0.31395571181948373
2	100	kNN (test)	0.9996818663838812	0.6494479547258539	0.4620360551431601	0.5502564691976144	0.4185262284434199
4	100	iMF (full)	1.0	0.6824726333459561	0.4857900318133616	0.5835704848253701	0.43889352025020667
4	100	Popularity	1.0	0.47215011729696205	0.35514316012725344	0.39976267498829343	0.3097957120202515
5	100	iMF (full)	1.0	0.6817782918219115	0.483881230116649	0.5899648722451099	0.44333046043270163
5	100	Popularity	1.0	0.48466341971812976	0.3612937433722163	0.41152484990131627	0.32140678427441827
