target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.088016967126193	0.3531283138918346	0.3531283138918346	0.3531283138918346
500	Popularity	iMF (test)	1.0	0.05832449628844114	0.3170731707317073	0.3170731707317073	0.3170731707317073
500	Popularity	Random	1.0	0.05620360551431601	0.06362672322375397	0.06362672322375397	0.06362672322375397
500	Popularity	Normalized kNN (full)	0.5694591728525981	0.06680805938494168	0.3170731707317073	0.3170731707317073	0.3170731707317073
500	Popularity	Normalized kNN (test)	1.0	0.05514316012725345	0.18981972428419935	0.18981972428419935	0.18981972428419935
500	Popularity	kNN (full)	1.0	0.088016967126193	0.34146341463414637	0.34146341463414637	0.34146341463414637
500	Popularity	Average Rating	1.0	0.04984093319194061	0.09331919406150584	0.09331919406150584	0.09331919406150584
500	Popularity	iMF (full)	1.0	0.07423117709437964	0.3297985153764581	0.3297985153764581	0.3297985153764581
1682	kNN (full)	Normalized kNN (full)	0.9968186638388123	0.17073170731707318	0.3711558854718982	0.3711558854718982	0.3711558854718982
1682	kNN (full)	Average Rating	1.0	0.18345705196182396	0.21527041357370094	0.21527041357370094	0.21527041357370094
1682	kNN (full)	iMF (test)	1.0	0.17497348886532343	0.3064687168610817	0.3064687168610817	0.3064687168610817
1682	kNN (full)	kNN (test)	1.0	0.4029692470837752	0.7974549310710498	0.7974549310710498	0.7974549310710498
1682	kNN (full)	iMF (full)	1.0	0.16755037115588547	0.4591728525980912	0.4591728525980912	0.4591728525980912
1682	kNN (full)	Random	1.0	0.19830328738069988	0.21314952279957583	0.21314952279957583	0.21314952279957583
1682	kNN (full)	Normalized kNN (test)	1.0	0.18875927889713678	0.23329798515376457	0.23329798515376457	0.23329798515376457
1682	kNN (full)	Popularity	1.0	0.18133616118769882	0.3329798515376458	0.3329798515376458	0.3329798515376458
20	Popularity	Random	1.0	0.032873806998939555	0.15164369034994699	0.15164369034994699	0.15164369034994699
20	Popularity	Normalized kNN (test)	1.0	0.05090137857900318	0.3944856839872747	0.3944856839872747	0.3944856839872747
20	Popularity	iMF (full)	1.0	0.06998939554612937	0.3902439024390244	0.3902439024390244	0.3902439024390244
20	Popularity	iMF (test)	1.0	0.05726405090137858	0.38176033934252385	0.38176033934252385	0.38176033934252385
20	Popularity	kNN (test)	0.8547189819724285	0.07211028632025451	0.4019088016967126	0.4019088016967126	0.4019088016967126
20	Popularity	kNN (full)	0.8472958642629904	0.0784729586426299	0.3870625662778367	0.3870625662778367	0.3870625662778367
20	Popularity	Average Rating	1.0	0.036055143160127257	0.34994697773064687	0.34994697773064687	0.34994697773064687
20	Popularity	Normalized kNN (full)	0.48250265111346763	0.06256627783669141	0.29692470837751855	0.29692470837751855	0.29692470837751855
20	Random	Normalized kNN (test)	1.0	0.029692470837751856	0.1378579003181336	0.1378579003181336	0.1378579003181336
20	Random	iMF (full)	1.0	0.029692470837751856	0.08907741251325557	0.08907741251325557	0.08907741251325557
20	Random	iMF (test)	1.0	0.02863202545068929	0.08695652173913043	0.08695652173913043	0.08695652173913043
20	Random	kNN (test)	0.8547189819724285	0.027571580063626724	0.09544008483563096	0.09544008483563096	0.09544008483563096
20	Random	kNN (full)	0.8472958642629904	0.027571580063626724	0.09650053022269353	0.09650053022269353	0.09650053022269353
20	Random	Average Rating	1.0	0.029692470837751856	0.18663838812301167	0.18663838812301167	0.18663838812301167
20	Random	Normalized kNN (full)	0.48250265111346763	0.04878048780487805	0.16755037115588547	0.16755037115588547	0.16755037115588547
50	Popularity	Normalized kNN (full)	0.5047720042417816	0.05938494167550371	0.3117709437963945	0.3117709437963945	0.3117709437963945
50	Popularity	iMF (full)	1.0	0.06574761399787911	0.3605514316012725	0.3605514316012725	0.3605514316012725
50	Popularity	iMF (test)	1.0	0.060445387062566275	0.37751855779427357	0.37751855779427357	0.37751855779427357
50	Popularity	kNN (test)	0.9819724284199364	0.0689289501590668	0.3637327677624602	0.3637327677624602	0.3637327677624602
50	Popularity	Normalized kNN (test)	1.0	0.036055143160127257	0.3064687168610817	0.3064687168610817	0.3064687168610817
50	Popularity	kNN (full)	0.9766702014846236	0.0689289501590668	0.34676564156945916	0.34676564156945916	0.34676564156945916
50	Popularity	Random	1.0	0.03499469777306469	0.07529162248144221	0.07529162248144221	0.07529162248144221
50	Popularity	Average Rating	1.0	0.03817603393425239	0.2757158006362672	0.2757158006362672	0.2757158006362672
5	iMF (full)	Normalized kNN (full)	0.4517497348886532	0.1071049840933192	0.2979851537645811	0.2979851537645811	0.2979851537645811
5	iMF (full)	Random	1.0	0.03711558854718982	0.33934252386002123	0.33934252386002123	0.33934252386002123
5	iMF (full)	Normalized kNN (test)	0.7656415694591728	0.07741251325556733	0.5620360551431601	0.5620360551431601	0.5620360551431601
5	iMF (full)	Average Rating	1.0	0.07317073170731707	0.5217391304347826	0.5217391304347826	0.5217391304347826
5	iMF (full)	Popularity	1.0	0.11983032873807	0.5344644750795334	0.5344644750795334	0.5344644750795334
5	iMF (full)	kNN (full)	0.7030752916224814	0.21951219512195122	0.6521739130434783	0.6521739130434783	0.6521739130434783
5	iMF (full)	kNN (test)	0.711558854718982	0.2354188759278897	0.6585365853658537	0.6585365853658537	0.6585365853658537
5	iMF (full)	iMF (test)	1.0	0.13891834570519618	0.5970307529162248	0.5970307529162248	0.5970307529162248
1682	Normalized kNN (full)	Average Rating	0.9968186638388123	0.2682926829268293	0.3329798515376458	0.3329798515376458	0.3329798515376458
1682	Normalized kNN (full)	iMF (test)	0.9968186638388123	0.2205726405090138	0.3679745493107105	0.3679745493107105	0.3679745493107105
1682	Normalized kNN (full)	kNN (test)	0.9968186638388123	0.17073170731707318	0.37857900318133614	0.37857900318133614	0.37857900318133614
1682	Normalized kNN (full)	iMF (full)	0.9968186638388123	0.14528101802757157	0.3064687168610817	0.3064687168610817	0.3064687168610817
1682	Normalized kNN (full)	Random	0.9968186638388123	0.2788971367974549	0.295864262990456	0.295864262990456	0.295864262990456
1682	Normalized kNN (full)	Normalized kNN (test)	0.9968186638388123	0.2672322375397667	0.352067868504772	0.352067868504772	0.352067868504772
1682	Normalized kNN (full)	Popularity	0.9968186638388123	0.1919406150583245	0.34782608695652173	0.34782608695652173	0.34782608695652173
200	Average Rating	kNN (test)	0.9978791092258749	0.027571580063626724	0.060445387062566275	0.060445387062566275	0.060445387062566275
200	Average Rating	iMF (full)	1.0	0.02863202545068929	0.05514316012725345	0.05514316012725345	0.05514316012725345
200	Average Rating	kNN (full)	0.9968186638388123	0.027571580063626724	0.060445387062566275	0.060445387062566275	0.060445387062566275
200	Average Rating	Popularity	1.0	0.036055143160127257	0.088016967126193	0.088016967126193	0.088016967126193
200	Average Rating	iMF (test)	1.0	0.036055143160127257	0.07104984093319194	0.07104984093319194	0.07104984093319194
200	Average Rating	Random	1.0	0.28950159066808057	0.3457051961823966	0.3457051961823966	0.3457051961823966
200	Average Rating	Normalized kNN (full)	0.4899257688229056	0.07317073170731707	0.13043478260869565	0.13043478260869565	0.13043478260869565
200	Average Rating	Normalized kNN (test)	1.0	0.13467656415694593	0.2449628844114528	0.2449628844114528	0.2449628844114528
20	Normalized kNN (test)	iMF (full)	1.0	0.06786850477200425	0.40721102863202546	0.40721102863202546	0.40721102863202546
20	Normalized kNN (test)	iMF (test)	1.0	0.0784729586426299	0.4337221633085896	0.4337221633085896	0.4337221633085896
20	Normalized kNN (test)	kNN (test)	0.8547189819724285	0.0784729586426299	0.4188759278897137	0.4188759278897137	0.4188759278897137
20	Normalized kNN (test)	kNN (full)	0.8472958642629904	0.07529162248144221	0.42311770943796395	0.42311770943796395	0.42311770943796395
20	Normalized kNN (test)	Average Rating	1.0	0.07104984093319194	0.4528101802757158	0.4528101802757158	0.4528101802757158
20	Normalized kNN (test)	Normalized kNN (full)	0.48250265111346763	0.05832449628844114	0.29692470837751855	0.29692470837751855	0.29692470837751855
0	Normalized kNN (full)	kNN (full)	0.4909862142099682	0.12513255567338283	0.34782608695652173	0.34782608695652173	0.34782608695652173
0	Normalized kNN (full)	Random	0.48886532343584305	0.05514316012725345	0.22481442205726404	0.22481442205726404	0.22481442205726404
0	Normalized kNN (full)	iMF (test)	0.48886532343584305	0.11452810180275716	0.31283138918345704	0.31283138918345704	0.31283138918345704
0	Normalized kNN (full)	Popularity	0.48886532343584305	0.08483563096500531	0.28844114528101805	0.28844114528101805	0.28844114528101805
0	Normalized kNN (full)	Average Rating	0.48886532343584305	0.11664899257688228	0.31601272534464475	0.31601272534464475	0.31601272534464475
0	Normalized kNN (full)	iMF (full)	0.48886532343584305	0.11452810180275716	0.3266171792152704	0.3266171792152704	0.3266171792152704
0	Normalized kNN (full)	kNN (test)	0.4909862142099682	0.12301166489925769	0.344644750795334	0.344644750795334	0.344644750795334
0	Normalized kNN (full)	Normalized kNN (test)	0.48886532343584305	0.11134676564156946	0.30858960763520676	0.30858960763520676	0.30858960763520676
100	kNN (test)	Popularity	0.9957582184517497	0.07211028632025451	0.41675503711558853	0.41675503711558853	0.41675503711558853
100	kNN (test)	Normalized kNN (test)	0.9957582184517497	0.04029692470837752	0.21527041357370094	0.21527041357370094	0.21527041357370094
100	kNN (test)	iMF (full)	0.9957582184517497	0.1823966065747614	0.6044538706256628	0.6044538706256628	0.6044538706256628
100	kNN (test)	iMF (test)	0.9957582184517497	0.06998939554612937	0.43796394485683987	0.43796394485683987	0.43796394485683987
100	kNN (test)	Normalized kNN (full)	0.4899257688229056	0.09862142099681867	0.3329798515376458	0.3329798515376458	0.3329798515376458
100	kNN (test)	Average Rating	0.9957582184517497	0.029692470837751856	0.09013785790031813	0.09013785790031813	0.09013785790031813
100	kNN (test)	Random	0.9957582184517497	0.02545068928950159	0.03711558854718982	0.03711558854718982	0.03711558854718982
100	kNN (test)	kNN (full)	0.9915164369034994	0.4623541887592789	0.865323435843054	0.865323435843054	0.865323435843054
1682	Average Rating	iMF (test)	1.0	0.39766702014846234	0.4623541887592789	0.4623541887592789	0.4623541887592789
1682	Average Rating	kNN (test)	1.0	0.18027571580063625	0.21314952279957583	0.21314952279957583	0.21314952279957583
1682	Average Rating	iMF (full)	1.0	0.16224814422057265	0.18345705196182396	0.18345705196182396	0.18345705196182396
1682	Average Rating	Random	1.0	0.7104984093319194	0.7338282078472959	0.7338282078472959	0.7338282078472959
1682	Average Rating	Normalized kNN (test)	1.0	0.6606574761399788	0.7953340402969247	0.7953340402969247	0.7953340402969247
1682	Average Rating	Popularity	1.0	0.34146341463414637	0.3934252386002121	0.3934252386002121	0.3934252386002121
50	Normalized kNN (full)	iMF (full)	0.5047720042417816	0.07529162248144221	0.27783669141039236	0.27783669141039236	0.27783669141039236
50	Normalized kNN (full)	iMF (test)	0.5047720042417816	0.05938494167550371	0.3075291622481442	0.3075291622481442	0.3075291622481442
50	Normalized kNN (full)	kNN (test)	0.5047720042417816	0.07953340402969247	0.3138918345705196	0.3138918345705196	0.3138918345705196
50	Normalized kNN (full)	Normalized kNN (test)	0.5047720042417816	0.04984093319194061	0.28207847295864263	0.28207847295864263	0.28207847295864263
50	Normalized kNN (full)	kNN (full)	0.5047720042417816	0.0784729586426299	0.31601272534464475	0.31601272534464475	0.31601272534464475
50	Normalized kNN (full)	Random	0.5047720042417816	0.060445387062566275	0.11876988335100742	0.11876988335100742	0.11876988335100742
50	Normalized kNN (full)	Average Rating	0.5047720042417816	0.04984093319194061	0.25026511134676566	0.25026511134676566	0.25026511134676566
0	kNN (full)	Random	0.943796394485684	0.11876988335100742	0.5121951219512195	0.5121951219512195	0.5121951219512195
0	kNN (full)	iMF (test)	0.943796394485684	0.21527041357370094	0.6436903499469777	0.6436903499469777	0.6436903499469777
0	kNN (full)	Popularity	0.9448568398727466	0.20042417815482502	0.6246023329798516	0.6246023329798516	0.6246023329798516
0	kNN (full)	Average Rating	0.9448568398727466	0.21739130434782608	0.6553552492046659	0.6553552492046659	0.6553552492046659
0	kNN (full)	iMF (full)	0.943796394485684	0.26935312831389185	0.6755037115588547	0.6755037115588547	0.6755037115588547
0	kNN (full)	kNN (test)	0.9830328738069989	0.5376458112407211	0.8812301166489925	0.8812301166489925	0.8812301166489925
0	kNN (full)	Normalized kNN (test)	0.9544008483563097	0.22269353128313893	0.6447507953340403	0.6447507953340403	0.6447507953340403
100	Popularity	Normalized kNN (test)	1.0	0.04665959703075292	0.2735949098621421	0.2735949098621421	0.2735949098621421
100	Popularity	iMF (full)	1.0	0.07423117709437964	0.4029692470837752	0.4029692470837752	0.4029692470837752
100	Popularity	iMF (test)	1.0	0.05726405090137858	0.40402969247083775	0.40402969247083775	0.40402969247083775
100	Popularity	Normalized kNN (full)	0.4899257688229056	0.060445387062566275	0.295864262990456	0.295864262990456	0.295864262990456
100	Popularity	Average Rating	1.0	0.03817603393425239	0.13043478260869565	0.13043478260869565	0.13043478260869565
100	Popularity	Random	1.0	0.032873806998939555	0.05620360551431601	0.05620360551431601	0.05620360551431601
100	Popularity	kNN (full)	0.9893955461293743	0.0784729586426299	0.4029692470837752	0.4029692470837752	0.4029692470837752
500	kNN (test)	iMF (test)	1.0	0.0689289501590668	0.34676564156945916	0.34676564156945916	0.34676564156945916
500	kNN (test)	Random	1.0	0.031813361611876985	0.03711558854718982	0.03711558854718982	0.03711558854718982
500	kNN (test)	Normalized kNN (full)	0.5694591728525981	0.0784729586426299	0.3149522799575822	0.3149522799575822	0.3149522799575822
500	kNN (test)	Normalized kNN (test)	1.0	0.030752916224814422	0.09225874867444327	0.09225874867444327	0.09225874867444327
