fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
4	50	Normalized kNN (k=1000, min=3)	1.0	0.4073544664003184	0.2826923076923077	0.36537184201578465	0.24647984187549304
5	2	Normalized kNN (k=1000, min=3)	0.8999999999999999	0.7403028145193888	0.5134615384615384	0.6953682741612645	0.4952889183531593
2	50	Normalized kNN (k=1000, min=3)	1.0	0.3162159434294884	0.275	0.31087215959240544	0.23907165800814634
1	50	Normalized kNN (k=1000, min=3)	1.0	0.3179430280527419	0.24807692307692308	0.25479631464223096	0.20802575965677986
5	50	Normalized kNN (k=1000, min=3)	1.0	0.33026685155818075	0.275	0.2842992261411631	0.22376051888033174
3	50	Normalized kNN (k=1000, min=3)	1.0	0.29279655422327444	0.2423076923076923	0.260898894099774	0.20077934569623887
1	2	Normalized kNN (k=1000, min=3)	0.8942307692307693	0.8000752028052045	0.5288461538461539	0.7540762745285501	0.5318598211403675
5	50	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.4597040112505824	0.33076923076923076	0.41949867939402197	0.296968322874794
5	2	iMF (k=5, lambda=0.1, alpha=10.0)	0.8999999999999999	0.7535562435103849	0.5173076923076922	0.700764543552099	0.5009972155428539
1	2	iMF (k=5, lambda=0.1, alpha=10.0)	0.8942307692307693	0.7645864291065294	0.5230769230769231	0.7531475569763626	0.5294579202170459
1	50	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.46102117813636495	0.3480769230769231	0.4762248783199197	0.3391017315503608
2	50	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.4301481550739545	0.3096153846153846	0.42530645042880266	0.28566222957646314
3	50	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.4877937969118481	0.3346153846153846	0.5022099936977604	0.3212718995174896
4	50	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.5289632936791893	0.3423076923076923	0.4859135085678516	0.3134297699217663
5	2	iMF (k=10, lambda=1.0, alpha=100.0)	0.8999999999999999	0.7162341005827079	0.49807692307692303	0.6892361598731903	0.48837967976394325
5	2	kNN (k=20)	0.8999999999999999	0.7822996098290614	0.5269230769230769	0.7078724024090157	0.5080915851151298
5	2	kNN (k=80)	0.8999999999999999	0.7772888965918819	0.525	0.7084161441532051	0.5076140665214853
3	50	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.42861180802530774	0.3076923076923077	0.421954858703833	0.28453403590161314
4	50	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.42684048262766	0.31923076923076926	0.4201983215082607	0.27718332643163807
3	50	kNN (k=20)	1.0	0.4950201203874539	0.3346153846153846	0.4427357717110226	0.30741402839639487
4	50	kNN (k=20)	1.0	0.614664728266094	0.39230769230769236	0.5370645729237642	0.35734024286798866
3	50	kNN (k=80)	1.0	0.4736689315862589	0.31153846153846154	0.40132203448206794	0.2795312730368594
4	50	kNN (k=80)	1.0	0.6071972233496116	0.38461538461538464	0.5136856370448283	0.34651911184948925
2	50	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.365897903463655	0.27884615384615385	0.37339285171259695	0.25336032032454087
2	50	kNN (k=20)	1.0	0.5111529746803615	0.3596153846153846	0.4800877086294294	0.3280102172708131
2	50	kNN (k=80)	1.0	0.4763916775923346	0.34615384615384615	0.41751648355820437	0.3073061196942459
1	50	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.3752854120033217	0.29615384615384616	0.3416093415217564	0.26160756797729495
1	50	kNN (k=20)	1.0	0.507892150858613	0.36153846153846153	0.4527518432408835	0.32707350595737683
1	50	kNN (k=80)	1.0	0.486003749489039	0.3576923076923077	0.4154056642006255	0.3163162433871826
1	2	iMF (k=10, lambda=1.0, alpha=100.0)	0.8942307692307693	0.7466245151074806	0.5096153846153846	0.7450339352735008	0.522272759511279
1	2	kNN (k=20)	0.8942307692307693	0.8080160323621796	0.5480769230769231	0.766279739063671	0.5450626776066462
1	2	kNN (k=80)	0.8942307692307693	0.7966822485503102	0.5480769230769231	0.7639319132783453	0.5442539769333943
5	50	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.3735920597440201	0.29038461538461535	0.38225252126938086	0.2649088887123491
5	50	kNN (k=20)	1.0	0.5411176504735822	0.36538461538461536	0.4507455521463127	0.3246632218341598
5	50	kNN (k=80)	1.0	0.4997381871908007	0.3423076923076923	0.3951849975048757	0.2940737546896529
5	50	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.4153803426863828	0.29615384615384616	0.36567571883479133	0.26287398204705786
5	50	Normalized kNN (k=200, min=3)	1.0	0.33026685155818075	0.275	0.2842992261411631	0.22376051888033174
5	2	iMF (k=50, lambda=10.0, alpha=100.0)	0.8999999999999999	0.7391779902415216	0.5096153846153846	0.6990627371630029	0.49662590138550716
5	2	Normalized kNN (k=200, min=3)	0.8999999999999999	0.7410505988403137	0.5134615384615384	0.6953682741612645	0.4952889183531593
3	50	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.44670764967726784	0.31346153846153846	0.41694456636755584	0.2865299953028661
3	50	Normalized kNN (k=200, min=3)	1.0	0.29279655422327444	0.2423076923076923	0.260898894099774	0.20077934569623887
5	50	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.4786455538208679	0.3211538461538461	0.41569826118764397	0.29410760146915077
5	50	Normalized kNN (k=10, min=3)	1.0	0.4672247429547505	0.31923076923076926	0.35832413613280817	0.2676362194242591
5	50	kNN (k=60)	1.0	0.4997381871908007	0.3423076923076923	0.3951849975048757	0.2940737546896529
5	50	Average Rating	1.0	0.2997666984027531	0.24807692307692308	0.27181339218667594	0.20682744142113915
5	50	kNN (k=40)	1.0	0.5059344093323674	0.3480769230769231	0.40720422827410646	0.301572932861908
2	50	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.42712904784982986	0.3076923076923077	0.3714115254245015	0.27099605652815806
5	2	iMF (k=10, lambda=0.1, alpha=1.0)	0.8999999999999999	0.7242958281227487	0.49615384615384617	0.6880155188814665	0.48725706944807035
5	2	Normalized kNN (k=10, min=3)	0.8999999999999999	0.742104191030476	0.5096153846153846	0.6866292052467009	0.4898071551798038
3	50	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.5120636277407251	0.33653846153846156	0.4966693275198531	0.3240356680122716
2	50	Normalized kNN (k=200, min=3)	1.0	0.3162159434294884	0.275	0.31087215959240544	0.23907165800814634
5	2	kNN (k=60)	0.8999999999999999	0.7767395630554599	0.525	0.7084161441532051	0.5076140665214853
5	2	Average Rating	0.8999999999999999	0.7438782365361816	0.5153846153846154	0.7076583232934189	0.5048146391807333
3	50	Normalized kNN (k=10, min=3)	1.0	0.47252430359305364	0.33269230769230773	0.4351772783290265	0.30202087587256266
3	50	kNN (k=60)	1.0	0.4736689315862589	0.31153846153846154	0.40132203448206794	0.2795312730368594
3	50	Average Rating	1.0	0.27011342843379826	0.23653846153846156	0.25763732659832184	0.19751214655137797
5	2	kNN (k=40)	0.8999999999999999	0.7801689719564512	0.5269230769230769	0.7116212723583332	0.5100179126753315
3	50	kNN (k=40)	1.0	0.47920130631386565	0.31923076923076926	0.4168335697304453	0.2883493961258269
4	50	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.49343559243069046	0.33653846153846156	0.44533966356694354	0.3008786974878362
1	2	iMF (k=50, lambda=10.0, alpha=100.0)	0.8942307692307693	0.7533979793105092	0.5153846153846154	0.726069318541027	0.5142020463879926
4	50	Normalized kNN (k=200, min=3)	1.0	0.4073544664003184	0.2826923076923077	0.36537184201578465	0.24647984187549304
1	2	Normalized kNN (k=200, min=3)	0.8942307692307693	0.8033532766341107	0.5326923076923077	0.7604865309388066	0.5366675134480597
3	50	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.5194273481295155	0.36346153846153845	0.5095487942270464	0.3426954089909042
5	50	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.4662040266194458	0.3173076923076923	0.4046275835366729	0.28661844856803453
2	50	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.5071204276854899	0.32499999999999996	0.47118511987112477	0.3096255870283769
2	50	Normalized kNN (k=10, min=3)	1.0	0.4747144369113951	0.3288461538461539	0.4524328627799653	0.30424880958845457
1	50	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.42099090076750173	0.3057692307692308	0.33493397538041	0.2722031172629228
2	50	kNN (k=60)	1.0	0.4763916775923346	0.34615384615384615	0.41751648355820437	0.3073061196942459
2	50	Average Rating	1.0	0.27657774567065974	0.2326923076923077	0.25219709282910335	0.19555924177745138
5	2	iMF (k=5, lambda=1.0, alpha=10.0)	0.8999999999999999	0.7592571249902738	0.525	0.7001706608185441	0.5042776938990932
2	50	kNN (k=40)	1.0	0.49365185948346596	0.3538461538461538	0.44860622714794796	0.31851782465595085
1	50	Normalized kNN (k=200, min=3)	1.0	0.3179430280527419	0.24807692307692308	0.25479631464223096	0.20802575965677986
2	50	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.4597460925101672	0.3076923076923077	0.4258246549911249	0.2865269343676261
