fold	target size	expected intersection ratio in top n
1	0	0.752563339817683
2	0	0.7617902476394783
3	0	0.7517173747165563
4	0	0.7461828911385707
5	0	0.7384916915251464
1	1	0.7311988317811182
2	1	0.7439930351242533
3	1	0.7367413119656463
4	1	0.7261149305683173
5	1	0.7206522494296462
1	2	0.7074108485110363
2	2	0.7225486204809732
3	2	0.7222949639263245
4	2	0.7043823074555686
5	2	0.7025991396800563
1	5	0.6313105892190307
2	5	0.6488707986746902
3	5	0.6577208036629412
4	5	0.6338017910059472
5	5	0.6195689874665309
1	10	0.47518714871871776
2	10	0.48248496013461967
3	10	0.4943753769239372
4	10	0.47647518939556127
5	10	0.4643089423312575
1	20	0.31077892010258706
2	20	0.3181999928953144
3	20	0.3212773273891039
4	20	0.3127651380866566
5	20	0.30883887574608904
1	50	0.16028004644064614
2	50	0.1618847927129795
3	50	0.16326938854988152
4	50	0.1614861225191657
5	50	0.15951213161737854
1	100	0.09059359097909811
2	100	0.09171445058312046
3	100	0.09127030409871933
4	100	0.0905045085721684
5	100	0.09024118371630759
1	200	0.04889712541346891
2	200	0.049184170077488
3	200	0.04928372848541411
4	200	0.0489530332934046
5	200	0.0487291245217317
1	500	0.020798971042064594
2	500	0.020912882798674884
3	500	0.020913839826890004
4	500	0.0208562562884083
5	500	0.020824952791091388
1	1042	0.010455458002069866
2	1042	0.010477283245168962
3	1042	0.010477679324331577
4	1042	0.010456290269219647
5	1042	0.010459126572376696
