fold	target size	expected intersection ratio in top n
3	500	0.020909063447913382
3	2	0.7220224528167726
3	200	0.04941052065333387
3	1	0.7356001995158592
3	1042	0.010477679324331577
5	500	0.020842205916569025
5	200	0.048896817018192325
5	2	0.6997531940017496
5	1	0.7203977575106923
5	1042	0.010459126572376696
2	200	0.049328140502185994
4	2	0.7039678715294121
4	500	0.02087370138827147
4	200	0.04900189683125908
4	1	0.7261791989310835
4	1042	0.010456290269219647
2	2	0.7238108351295538
2	500	0.020905284916895757
2	1	0.7442879523046378
2	1042	0.010477283245168962
1	2	0.705746984426135
1	500	0.02082323345652866
1	1	0.7322125905411409
1	1042	0.010455458002069866
3	10	0.500332141507225
3	20	0.3230062399256398
3	0	0.7517173747165563
2	20	0.32068558589116136
3	100	0.09165079880794172
5	10	0.46806026705053017
5	0	0.7384916915251464
1	20	0.31239609408464397
5	20	0.31171735336632544
5	100	0.09015230362891505
4	10	0.4757670260544063
4	0	0.7461828911385707
4	100	0.09067618150470663
2	10	0.49586219559413186
2	0	0.7617902476394783
2	100	0.09090716625761971
1	10	0.4735212561825129
1	0	0.752563339817683
1	100	0.0903069961152474
3	5	0.6547113175825883
2	5	0.6468189540010995
2	50	0.16223549335746318
5	5	0.6203184437888313
1	5	0.6288064233514343
1	50	0.160317253337035
4	5	0.6304002258486731
5	50	0.1596668895901593
3	50	0.16304614991874627
4	50	0.16189067020144285
4	20	0.3144658522705071
1	200	0.048970078452625104
