target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.25384615384615383	0.45	0.45	0.45
500	Popularity	iMF (test)	1.0	0.19615384615384615	0.4076923076923077	0.4076923076923077	0.4076923076923077
500	Popularity	Random	1.0	0.29615384615384616	0.33076923076923076	0.33076923076923076	0.33076923076923076
500	Popularity	Normalized kNN (full)	0.926923076923077	0.16538461538461538	0.3769230769230769	0.3769230769230769	0.3769230769230769
500	Popularity	Normalized kNN (test)	1.0	0.25	0.34615384615384615	0.34615384615384615	0.34615384615384615
500	Popularity	kNN (full)	1.0	0.20384615384615384	0.38846153846153847	0.38846153846153847	0.38846153846153847
500	Popularity	Average Rating	1.0	0.26153846153846155	0.35384615384615387	0.35384615384615387	0.35384615384615387
500	Popularity	iMF (full)	1.0	0.15384615384615385	0.3230769230769231	0.3230769230769231	0.3230769230769231
1042	Popularity	iMF (full)	1.0	0.24615384615384617	0.38076923076923075	0.38076923076923075	0.38076923076923075
1042	Popularity	Normalized kNN (test)	1.0	0.36538461538461536	0.4076923076923077	0.4076923076923077	0.4076923076923077
1042	Popularity	iMF (test)	1.0	0.28846153846153844	0.46153846153846156	0.46153846153846156	0.46153846153846156
1042	Popularity	Random	1.0	0.40384615384615385	0.41923076923076924	0.41923076923076924	0.41923076923076924
1042	Popularity	kNN (test)	1.0	0.35	0.55	0.55	0.55
1042	Popularity	Normalized kNN (full)	1.0	0.2692307692307692	0.45	0.45	0.45
1042	Popularity	kNN (full)	1.0	0.29615384615384616	0.48846153846153845	0.48846153846153845	0.48846153846153845
1042	Popularity	Average Rating	1.0	0.34615384615384615	0.4115384615384615	0.4115384615384615	0.4115384615384615
20	Popularity	Random	1.0	0.03076923076923077	0.15	0.15	0.15
20	Popularity	Normalized kNN (test)	0.9692307692307692	0.038461538461538464	0.3769230769230769	0.3769230769230769	0.3769230769230769
20	Popularity	iMF (full)	1.0	0.046153846153846156	0.4153846153846154	0.4153846153846154	0.4153846153846154
20	Popularity	iMF (test)	1.0	0.05384615384615385	0.4076923076923077	0.4076923076923077	0.4076923076923077
20	Popularity	kNN (test)	1.0	0.09230769230769231	0.48846153846153845	0.48846153846153845	0.48846153846153845
20	Popularity	kNN (full)	0.9423076923076923	0.06538461538461539	0.4269230769230769	0.4269230769230769	0.4269230769230769
20	Popularity	Average Rating	1.0	0.03461538461538462	0.27307692307692305	0.27307692307692305	0.27307692307692305
20	Popularity	Normalized kNN (full)	0.4269230769230769	0.06923076923076923	0.36153846153846153	0.36153846153846153	0.36153846153846153
20	Random	Normalized kNN (test)	0.9692307692307692	0.03461538461538462	0.14615384615384616	0.14615384615384616	0.14615384615384616
20	Random	iMF (full)	1.0	0.023076923076923078	0.08846153846153847	0.08846153846153847	0.08846153846153847
20	Random	iMF (test)	1.0	0.026923076923076925	0.11538461538461539	0.11538461538461539	0.11538461538461539
20	Random	kNN (test)	1.0	0.023076923076923078	0.1	0.1	0.1
20	Random	kNN (full)	0.9423076923076923	0.026923076923076925	0.08846153846153847	0.08846153846153847	0.08846153846153847
20	Random	Average Rating	1.0	0.06923076923076923	0.25	0.25	0.25
20	Random	Normalized kNN (full)	0.4269230769230769	0.06153846153846154	0.2	0.2	0.2
50	Popularity	Normalized kNN (full)	0.5153846153846153	0.08461538461538462	0.3769230769230769	0.3769230769230769	0.3769230769230769
50	Popularity	iMF (full)	1.0	0.038461538461538464	0.3192307692307692	0.3192307692307692	0.3192307692307692
50	Popularity	iMF (test)	1.0	0.04230769230769231	0.3269230769230769	0.3269230769230769	0.3269230769230769
50	Popularity	kNN (test)	1.0	0.07692307692307693	0.45384615384615384	0.45384615384615384	0.45384615384615384
50	Popularity	Normalized kNN (test)	1.0	0.06923076923076923	0.3	0.3	0.3
50	Popularity	kNN (full)	1.0	0.05384615384615385	0.36923076923076925	0.36923076923076925	0.36923076923076925
50	Popularity	Random	1.0	0.05384615384615385	0.1076923076923077	0.1076923076923077	0.1076923076923077
50	Popularity	Average Rating	1.0	0.057692307692307696	0.18461538461538463	0.18461538461538463	0.18461538461538463
5	iMF (full)	Normalized kNN (full)	0.3384615384615385	0.06923076923076923	0.2692307692307692	0.2692307692307692	0.2692307692307692
5	iMF (full)	Random	1.0	0.023076923076923078	0.48846153846153845	0.48846153846153845	0.48846153846153845
5	iMF (full)	Normalized kNN (test)	0.5423076923076923	0.07307692307692308	0.5423076923076923	0.5423076923076923	0.5423076923076923
5	iMF (full)	Average Rating	0.8923076923076924	0.038461538461538464	0.55	0.55	0.55
