target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	0.0	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.2692307692307692
500	Popularity	iMF (test)	0.0	0.3076923076923077	0.3076923076923077	0.3076923076923077	0.3076923076923077
500	Popularity	Random	0.0	0.40384615384615385	0.40384615384615385	0.40384615384615385	0.40384615384615385
500	Popularity	Normalized kNN (full)	0.0	0.23076923076923078	0.23076923076923078	0.23076923076923078	0.23076923076923078
500	Popularity	Normalized kNN (test)	0.0	0.38461538461538464	0.38461538461538464	0.38461538461538464	0.38461538461538464
500	Popularity	kNN (full)	0.0	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.2692307692307692
500	Popularity	Average Rating	0.0	0.36538461538461536	0.36538461538461536	0.36538461538461536	0.36538461538461536
500	Popularity	iMF (full)	0.0	0.15384615384615385	0.15384615384615385	0.15384615384615385	0.15384615384615385
1042	Popularity	iMF (full)	0.0	0.25	0.25	0.25	0.25
1042	Popularity	Normalized kNN (test)	0.0	0.40384615384615385	0.40384615384615385	0.40384615384615385	0.40384615384615385
1042	Popularity	iMF (test)	0.0	0.34615384615384615	0.34615384615384615	0.34615384615384615	0.34615384615384615
1042	Popularity	Random	0.0	0.4423076923076923	0.4423076923076923	0.4423076923076923	0.4423076923076923
1042	Popularity	kNN (test)	0.0	0.38461538461538464	0.38461538461538464	0.38461538461538464	0.38461538461538464
1042	Popularity	Normalized kNN (full)	0.0	0.28846153846153844	0.28846153846153844	0.28846153846153844	0.28846153846153844
1042	Popularity	kNN (full)	0.0	0.3269230769230769	0.3269230769230769	0.3269230769230769	0.3269230769230769
1042	Popularity	Average Rating	0.0	0.38461538461538464	0.38461538461538464	0.38461538461538464	0.38461538461538464
20	Popularity	Random	0.0	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (test)	0.0	0.0	0.0	0.0	0.0
20	Popularity	iMF (full)	0.0	0.0	0.0	0.0	0.0
20	Popularity	iMF (test)	0.0	0.0	0.0	0.0	0.0
20	Popularity	kNN (test)	0.0	0.0	0.0	0.0	0.0
20	Popularity	kNN (full)	0.0	0.0	0.0	0.0	0.0
20	Popularity	Average Rating	0.0	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (full)	0.0	0.019230769230769232	0.019230769230769232	0.019230769230769232	0.019230769230769232
20	Random	Normalized kNN (test)	0.0	0.019230769230769232	0.019230769230769232	0.019230769230769232	0.019230769230769232
20	Random	iMF (full)	0.0	0.0	0.0	0.0	0.0
20	Random	iMF (test)	0.0	0.0	0.0	0.0	0.0
20	Random	kNN (test)	0.0	0.0	0.0	0.0	0.0
20	Random	kNN (full)	0.0	0.0	0.0	0.0	0.0
20	Random	Average Rating	0.0	0.057692307692307696	0.057692307692307696	0.057692307692307696	0.057692307692307696
20	Random	Normalized kNN (full)	0.0	0.038461538461538464	0.038461538461538464	0.038461538461538464	0.038461538461538464
50	Popularity	Normalized kNN (full)	0.0	0.038461538461538464	0.038461538461538464	0.038461538461538464	0.038461538461538464
50	Popularity	iMF (full)	0.0	0.0	0.0	0.0	0.0
50	Popularity	iMF (test)	0.0	0.0	0.0	0.0	0.0
50	Popularity	kNN (test)	0.0	0.0	0.0	0.0	0.0
50	Popularity	Normalized kNN (test)	0.0	0.0	0.0	0.0	0.0
50	Popularity	kNN (full)	0.0	0.0	0.0	0.0	0.0
50	Popularity	Random	0.0	0.038461538461538464	0.038461538461538464	0.038461538461538464	0.038461538461538464
50	Popularity	Average Rating	0.0	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
5	iMF (full)	Random	0.0	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (test)	0.0	0.0	0.0	0.0	0.0
5	iMF (full)	Average Rating	0.0	0.0	0.0	0.0	0.0
5	iMF (full)	Popularity	0.0	0.0	0.0	0.0	0.0
5	iMF (full)	kNN (full)	0.0	0.0	0.0	0.0	0.0
5	iMF (full)	kNN (test)	0.0	0.0	0.0	0.0	0.0
5	iMF (full)	iMF (test)	0.0	0.0	0.0	0.0	0.0
200	Average Rating	kNN (test)	0.0	0.15384615384615385	0.15384615384615385	0.15384615384615385	0.15384615384615385
200	Average Rating	iMF (full)	0.0	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.07692307692307693
200	Average Rating	kNN (full)	0.0	0.1346153846153846	0.1346153846153846	0.1346153846153846	0.1346153846153846
200	Average Rating	Popularity	0.0	0.23076923076923078	0.23076923076923078	0.23076923076923078	0.23076923076923078
200	Average Rating	iMF (test)	0.0	0.11538461538461539	0.11538461538461539	0.11538461538461539	0.11538461538461539
200	Average Rating	Random	0.0	0.46153846153846156	0.46153846153846156	0.46153846153846156	0.46153846153846156
200	Average Rating	Normalized kNN (full)	0.0	0.1346153846153846	0.1346153846153846	0.1346153846153846	0.1346153846153846
200	Average Rating	Normalized kNN (test)	0.0	0.38461538461538464	0.38461538461538464	0.38461538461538464	0.38461538461538464
20	Normalized kNN (test)	iMF (full)	0.0	0.0	0.0	0.0	0.0
20	Normalized kNN (test)	iMF (test)	0.0	0.0	0.0	0.0	0.0
20	Normalized kNN (test)	kNN (test)	0.0	0.0	0.0	0.0	0.0
20	Normalized kNN (test)	kNN (full)	0.0	0.0	0.0	0.0	0.0
20	Normalized kNN (test)	Average Rating	0.0	0.019230769230769232	0.019230769230769232	0.019230769230769232	0.019230769230769232
20	Normalized kNN (test)	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	kNN (full)	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	Random	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	iMF (test)	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	Popularity	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	Average Rating	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	iMF (full)	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	kNN (test)	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	Normalized kNN (test)	0.0	0.019230769230769232	0.019230769230769232	0.019230769230769232	0.019230769230769232
100	kNN (test)	Popularity	0.0	0.09615384615384616	0.09615384615384616	0.09615384615384616	0.09615384615384616
100	kNN (test)	Normalized kNN (test)	0.0	0.11538461538461539	0.11538461538461539	0.11538461538461539	0.11538461538461539
100	kNN (test)	iMF (full)	0.0	0.057692307692307696	0.057692307692307696	0.057692307692307696	0.057692307692307696
100	kNN (test)	iMF (test)	0.0	0.019230769230769232	0.019230769230769232	0.019230769230769232	0.019230769230769232
100	kNN (test)	Normalized kNN (full)	0.0	0.09615384615384616	0.09615384615384616	0.09615384615384616	0.09615384615384616
100	kNN (test)	Average Rating	0.0	0.11538461538461539	0.11538461538461539	0.11538461538461539	0.11538461538461539
100	kNN (test)	Random	0.0	0.11538461538461539	0.11538461538461539	0.11538461538461539	0.11538461538461539
100	kNN (test)	kNN (full)	0.0	0.038461538461538464	0.038461538461538464	0.038461538461538464	0.038461538461538464
50	Normalized kNN (full)	iMF (full)	0.0	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	iMF (test)	0.0	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	kNN (test)	0.0	0.019230769230769232	0.019230769230769232	0.019230769230769232	0.019230769230769232
50	Normalized kNN (full)	Normalized kNN (test)	0.0	0.019230769230769232	0.019230769230769232	0.019230769230769232	0.019230769230769232
50	Normalized kNN (full)	kNN (full)	0.0	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	Random	0.0	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.07692307692307693
50	Normalized kNN (full)	Average Rating	0.0	0.038461538461538464	0.038461538461538464	0.038461538461538464	0.038461538461538464
0	kNN (full)	Random	0.0	0.0	0.0	0.0	0.0
0	kNN (full)	iMF (test)	0.0	0.0	0.0	0.0	0.0
0	kNN (full)	Popularity	0.0	0.0	0.0	0.0	0.0
0	kNN (full)	Average Rating	0.0	0.0	0.0	0.0	0.0
0	kNN (full)	iMF (full)	0.0	0.0	0.0	0.0	0.0
0	kNN (full)	kNN (test)	0.0	0.0	0.0	0.0	0.0
0	kNN (full)	Normalized kNN (test)	0.0	0.0	0.0	0.0	0.0
100	Popularity	Normalized kNN (test)	0.0	0.1346153846153846	0.1346153846153846	0.1346153846153846	0.1346153846153846
100	Popularity	iMF (full)	0.0	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.07692307692307693
100	Popularity	iMF (test)	0.0	0.019230769230769232	0.019230769230769232	0.019230769230769232	0.019230769230769232
100	Popularity	Normalized kNN (full)	0.0	0.09615384615384616	0.09615384615384616	0.09615384615384616	0.09615384615384616
100	Popularity	Average Rating	0.0	0.11538461538461539	0.11538461538461539	0.11538461538461539	0.11538461538461539
100	Popularity	Random	0.0	0.15384615384615385	0.15384615384615385	0.15384615384615385	0.15384615384615385
100	Popularity	kNN (full)	0.0	0.038461538461538464	0.038461538461538464	0.038461538461538464	0.038461538461538464
500	kNN (test)	iMF (test)	0.0	0.23076923076923078	0.23076923076923078	0.23076923076923078	0.23076923076923078
500	kNN (test)	Random	0.0	0.28846153846153844	0.28846153846153844	0.28846153846153844	0.28846153846153844
500	kNN (test)	Normalized kNN (full)	0.0	0.21153846153846154	0.21153846153846154	0.21153846153846154	0.21153846153846154
500	kNN (test)	Normalized kNN (test)	0.0	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.2692307692307692
500	kNN (test)	kNN (full)	0.0	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.2692307692307692
500	kNN (test)	Average Rating	0.0	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.2692307692307692
500	kNN (test)	iMF (full)	0.0	0.11538461538461539	0.11538461538461539	0.11538461538461539	0.11538461538461539
50	iMF (full)	iMF (test)	0.0	0.0	0.0	0.0	0.0
50	iMF (full)	kNN (test)	0.0	0.0	0.0	0.0	0.0
50	iMF (full)	Normalized kNN (test)	0.0	0.0	0.0	0.0	0.0
50	iMF (full)	kNN (full)	0.0	0.0	0.0	0.0	0.0
50	iMF (full)	Random	0.0	0.0	0.0	0.0	0.0
50	iMF (full)	Average Rating	0.0	0.0	0.0	0.0	0.0
100	Normalized kNN (test)	iMF (full)	0.0	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.07692307692307693
