target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	1.4466998264544444E-18	7.102679478174893E-17	7.791015106194514E-10	2.3452505661427676E-17
500	Popularity	iMF (test)	NaN	6.049666459863027E-11	2.397991346354883E-13	6.939554436796201E-9	4.350188159055986E-14
500	Popularity	Random	NaN	5.6964067460926234E-33	2.6813043929124144E-34	2.1475344995260175E-24	9.067301887531824E-38
500	Popularity	Normalized kNN (full)	NaN	0.014933447404251721	6.793123480429619E-7	1.8515463731251237E-6	2.319001374024578E-7
500	Popularity	Normalized kNN (test)	NaN	4.748508203784491E-18	8.810980549480956E-13	7.414622591983702E-12	2.6638612500514434E-16
500	Popularity	kNN (full)	NaN	7.255502375327183E-18	1.108805036605947E-19	1.3880555323073799E-12	5.5496878141601275E-21
500	Popularity	Average Rating	NaN	6.387589878454884E-15	4.102400538261886E-18	1.6814469911849618E-14	8.646544235692138E-21
500	Popularity	iMF (full)	NaN	2.283390841219891E-9	1.1509070119095079E-17	3.409697703204223E-8	6.97965365953222E-16
1042	Popularity	iMF (full)	NaN	2.3601086334963684E-6	1.526845360231345E-13	3.9460682985277486E-4	3.113704005731573E-10
1042	Popularity	Normalized kNN (test)	NaN	2.991281443290886E-18	1.1851439380218507E-16	5.322605672235921E-13	6.264627769281751E-19
1042	Popularity	iMF (test)	NaN	5.33213597235762E-7	2.0964042938062387E-9	4.6214896895587924E-5	1.1003846423229453E-8
1042	Popularity	Random	NaN	6.907083960565537E-26	3.579638909576132E-25	3.088309867071462E-19	8.434754679839743E-29
1042	Popularity	kNN (test)	NaN	7.0312174729339594E-15	6.063620681542702E-13	2.704855819219706E-7	2.7531590412759873E-13
1042	Popularity	Normalized kNN (full)	NaN	0.8025287048676212	5.114439738725568E-4	0.02868692756031714	0.002516711436767615
1042	Popularity	kNN (full)	NaN	1.4651671586567918E-13	1.0361703592260117E-14	2.0678845869069627E-8	1.0495622556513666E-14
1042	Popularity	Average Rating	NaN	2.9164231755228455E-11	1.0396545073434728E-10	5.667163975292993E-11	3.8092162547490976E-14
20	Popularity	Random	NaN	1.307934152197616E-51	7.823939120296352E-47	9.229689876293745E-35	7.713163455319557E-48
20	Popularity	Normalized kNN (test)	NaN	1.8499724743826948E-13	3.162709052567644E-7	2.0841438587694175E-8	5.826066111881775E-9
20	Popularity	iMF (full)	NaN	6.781013786018555E-4	0.0029642912657957	0.0816892226047945	0.026652172690810876
20	Popularity	iMF (test)	NaN	5.07371855896997E-7	3.4572798164877273E-4	1.0006053017481166E-4	6.591241303665605E-5
20	Popularity	kNN (test)	NaN	3.774654815763766E-6	9.447886262029955E-4	0.09098794064968563	0.007822621947809154
20	Popularity	kNN (full)	NaN	1.4676378497272288E-8	0.0015151364086995816	0.008329401474168755	0.0041337878137059055
20	Popularity	Average Rating	NaN	5.588257901495032E-33	2.157929501643355E-29	3.83994371279206E-26	2.931509737961118E-31
20	Popularity	Normalized kNN (full)	NaN	0.0020336427186619433	3.49860283231789E-5	1.9055411519640418E-6	7.410577769717566E-7
20	Random	Normalized kNN (test)	NaN	1.2948533304964963E-29	8.772906542770582E-33	1.2186347701064245E-20	4.594521092784229E-31
20	Random	iMF (full)	NaN	8.535156152485062E-63	1.2500035811218001E-50	4.797385005208431E-41	5.384522100624646E-52
20	Random	iMF (test)	NaN	4.562556654478091E-62	3.7429394185225783E-53	1.5702506294464865E-42	1.621376990076164E-54
20	Random	kNN (test)	NaN	1.505787072126537E-57	7.164313958840707E-52	1.5484509630422994E-36	1.0135800075214821E-50
20	Random	kNN (full)	NaN	6.047151656765763E-61	4.1026225317028615E-52	2.2785620790806695E-38	1.7142113389875986E-51
20	Random	Average Rating	NaN	9.588188294839443E-10	4.13415400920637E-10	2.7787991695483875E-4	9.708164320432095E-8
20	Random	Normalized kNN (full)	NaN	5.735346284429641E-40	3.2816199904316322E-34	3.645531805591014E-21	5.63454408227543E-32
50	Popularity	Normalized kNN (full)	NaN	0.6571181107200919	0.8491927842849216	0.5040085774565688	0.6172269329565843
50	Popularity	iMF (full)	NaN	9.919973264740876E-11	4.965728210551465E-14	2.0459521644845824E-8	1.6380841504243947E-11
