fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
4	1682	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.30682061146703504	0.23043478260869565	0.23373612947314873	0.18919696391445398
1	1682	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.3169279000291557	0.2301166489925769	0.25078653177021354	0.19433719881829895
2	1682	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.3039082168699458	0.22714740190880167	0.23879137473895828	0.18952506196365904
5	1682	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.303058126173963	0.22237539766702014	0.2379443912960237	0.1876826611283194
4	1682	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.2407887167810916	0.18419936373276777	0.19938285033919537	0.15506015609424553
2	1682	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.24485572350242824	0.18716861081654296	0.19707239012934796	0.15750905032945123
5	1682	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.24605205851675369	0.18589607635206787	0.20775500744391412	0.16044928811196973
1	1682	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.24869121406648498	0.1855779427359491	0.2095044547375148	0.15836557455397166
4	1682	kNN (k=20)	1.0	0.30470238391945814	0.21993637327677626	0.23620254593451565	0.18496277839983077
2	1682	kNN (k=20)	1.0	0.3143724425988729	0.22778366914103926	0.24916458032015312	0.19512364833404652
5	1682	kNN (k=20)	1.0	0.3175118724980455	0.23191940615058323	0.2527759738210466	0.19878770087267736
1	1682	kNN (k=20)	1.0	0.3195470338009313	0.22969247083775185	0.25652264929260843	0.19550584634704576
2	1682	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.2854846855792638	0.2056203605514316	0.2446209405445091	0.18253478500098635
1	1682	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.28852711555267474	0.2073170731707317	0.2511071385082485	0.1850198268709226
4	1682	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.27978109475074237	0.20212089077412512	0.23322184454490805	0.17565147584193713
5	1682	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.28888249953743844	0.2093319194061506	0.24615381799729313	0.18588244389492606
2	1682	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.24415266407810202	0.18759278897136797	0.21145864004791665	0.1627387993252984
1	1682	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.25428974908845736	0.18918345705196182	0.22253612719810506	0.16592853490578693
4	1682	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.23906389327075434	0.1844114528101803	0.2110961174430728	0.16038746248373442
5	1682	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.24005646710891912	0.18430540827147404	0.20704770102063566	0.1608514438655634
2	1682	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.3502659239691869	0.25270413573700956	0.2707228781020741	0.21387758561307077
1	1682	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.36234168717657617	0.2630965005302227	0.28606584493704185	0.2220822828517582
4	1682	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.3451538541051613	0.25779427359490986	0.2683961314648894	0.21409699199764082
5	1682	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.35275653055783535	0.259915164369035	0.27774948692450097	0.22107223217740435
2	1682	iMF (k=10, lambda=0.5, alpha=15.0)	1.0	0.24805381196125922	0.18759278897136797	0.2135017916403966	0.16324874846915563
2	1682	Average Rating	1.0	0.02163031588287297	0.025980911983032873	0.01908233082132865	0.01883300253671554
4	1682	iMF (k=10, lambda=0.5, alpha=15.0)	1.0	0.23704632150819155	0.18292682926829268	0.20897832463237143	0.1591642769730555
1	1682	iMF (k=10, lambda=0.5, alpha=15.0)	1.0	0.2475175363692619	0.18504772004241782	0.21887853568167218	0.16279305733390464
4	1682	Average Rating	1.0	0.02593385557694477	0.03064687168610817	0.022124469947950316	0.02245933635644806
1	1682	Average Rating	1.0	0.01876229692439704	0.022163308589607637	0.015718491772926283	0.015972156087149584
5	1682	iMF (k=10, lambda=0.5, alpha=15.0)	1.0	0.2410302959202746	0.183881230116649	0.20740381969061292	0.16102055881399086
5	1682	Average Rating	1.0	0.011611721169427916	0.013255567338282079	0.009569775187376546	0.009739631921311602
2	1682	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.24481502989020879	0.18769883351007424	0.19901035830764652	0.1580723777445621
1	1682	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.2507630884311963	0.1872746553552492	0.21039171247005786	0.16011816030299672
4	1682	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.2452502018980988	0.18568398727465535	0.19667339416036142	0.15571671698957046
5	1682	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.24033051163143343	0.18621420996818663	0.20463775929085282	0.15914990755070466
2	1682	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.30645653589397	0.2203605514316013	0.25142173377240945	0.19329471086384148
4	1682	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.3155937637545252	0.22163308589607636	0.26409806936944374	0.19562578342033568
5	1682	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.32512409290085637	0.22704135737009543	0.2723172228501434	0.20405537464775053
1	1682	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.3185730644877626	0.22545068928950157	0.2663038469045293	0.19993142437582265
2	1682	Normalized kNN (k=40, min=3)	1.0	0.09033034790953445	0.07539766702014847	0.09072274333196419	0.06644024530603053
4	1682	Normalized kNN (k=40, min=3)	1.0	0.07542755759638159	0.06468716861081654	0.08006134794258178	0.05712149334358161
5	1682	Normalized kNN (k=40, min=3)	1.0	0.07876103307633872	0.06744432661717922	0.07926836845980968	0.05953297616383182
1	1682	Normalized kNN (k=40, min=3)	1.0	0.09060449373830327	0.07635206786850478	0.09249432721478927	0.06706155526281608
2	1682	iMF (k=50, lambda=3.0, alpha=100.0)	1.0	0.1414153860269067	0.10752916224814422	0.13454760573309715	0.09855689918269905
4	1682	iMF (k=50, lambda=3.0, alpha=100.0)	1.0	0.1348526713575761	0.10180275715800637	0.13193422509416872	0.0926861363521371
1	1682	iMF (k=50, lambda=3.0, alpha=100.0)	1.0	0.14193535884457237	0.1029692470837752	0.1313468310503283	0.09367054361171803
2	1682	iMF (k=5, lambda=3.0, alpha=100.0)	1.0	0.13219567277807895	0.10805938494167551	0.10656567733399606	0.0889908281233315
5	1682	iMF (k=50, lambda=3.0, alpha=100.0)	1.0	0.14858159556335607	0.10795334040296925	0.1424844388331044	0.09936015498414606
1	1682	iMF (k=5, lambda=3.0, alpha=100.0)	1.0	0.1331938166781438	0.10752916224814422	0.12045170653913827	0.09196634489923658
4	1682	iMF (k=5, lambda=3.0, alpha=100.0)	1.0	0.12734803825081772	0.10795334040296925	0.10789904755278953	0.08777545196907369
5	1682	iMF (k=5, lambda=3.0, alpha=100.0)	1.0	0.12277152055285506	0.10572640509013786	0.1040764159198865	0.08652022417477011
2	1682	iMF (k=50, lambda=2.0, alpha=15.0)	1.0	0.22489130907879565	0.16267232237539767	0.19778842194925803	0.14641076924000015
5	1682	iMF (k=50, lambda=2.0, alpha=15.0)	1.0	0.22265459104960122	0.1633085896076352	0.19920503589558466	0.14676399039211807
1	1682	iMF (k=50, lambda=2.0, alpha=15.0)	1.0	0.22862231686287904	0.1630965005302227	0.2048671660273034	0.1473067318167304
