target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	0.0	0.0	1.7606767043273567E-274	0.0
500	Popularity	iMF (test)	NaN	0.0013087389101567788	7.893749977624118E-5	0.9049983314570509	0.076273476962273
500	Popularity	Random	NaN	0.0	0.0	0.0	0.0
500	Popularity	Normalized kNN (full)	1.6381256619382301E-13	1.2769184156190516E-23	1.293441247115844E-18	2.557393457945941E-61	1.1405043283880237E-47
500	Popularity	Normalized kNN (test)	NaN	1.4986066298254717E-244	1.8530766646915454E-192	8.503515946742337E-148	1.0720918661616017E-221
500	Popularity	kNN (full)	NaN	0.0	0.0	8.5920197408953E-269	0.0
500	Popularity	Average Rating	NaN	5.767019343190196E-292	1.4994397524386537E-265	5.845039224126186E-234	1.0747559884E-314
500	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	Normalized kNN (full)	0.001754962927208105	0.0	0.0	2.856981711776547E-151	1.0732296927624785E-303
1682	kNN (full)	Average Rating	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	iMF (test)	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	kNN (test)	NaN	0.4695868451245836	0.3880419355295698	0.637245019649034	0.3807379494958071
1682	kNN (full)	iMF (full)	NaN	2.018593978475738E-39	1.181388044180815E-45	3.560228609798685E-30	9.540491016823953E-51
1682	kNN (full)	Random	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	Popularity	NaN	0.0	0.0	1.2726595665790553E-260	0.0
20	Popularity	Random	NaN	0.0	1.7728028175356138E-294	4.638747794294229E-149	1.229233538408491E-263
20	Popularity	Normalized kNN (test)	2.952695021352582E-92	6.819102521339285E-90	1.6935493021702542E-229	4.035256542988465E-212	2.3200218881408233E-246
20	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Popularity	kNN (test)	1.6369519768348058E-60	0.0	0.0	0.0	0.0
20	Popularity	kNN (full)	1.2297588924907845E-74	0.0	0.0	0.0	0.0
20	Popularity	Average Rating	NaN	0.0015327669446225098	1.2633097028981532E-17	0.550342888881749	9.303690511742798E-6
20	Popularity	Normalized kNN (full)	0.0	1.589488035375531E-155	6.693566098160718E-145	3.0305447723148563E-41	1.318684064845558E-106
20	Random	Normalized kNN (test)	2.952695021352582E-92	0.0	0.0	0.0	0.0
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	1.6369519768348058E-60	0.0	0.0	0.0	0.0
20	Random	kNN (full)	1.2297588924907845E-74	0.0	0.0	0.0	0.0
20	Random	Average Rating	NaN	1.2589595973543974E-292	0.0	4.941852488208522E-133	1.1895228964144628E-278
20	Random	Normalized kNN (full)	0.0	0.0	0.0	4.757126930664788E-250	0.0
50	Popularity	Normalized kNN (full)	0.0	1.2767698352318014E-157	2.581681476145801E-133	2.463210566038269E-127	1.2223391946231684E-158
50	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	iMF (test)	NaN	8.688913423549674E-205	1.0353645958014828E-193	2.984411540151964E-240	1.4537357043841861E-249
50	Popularity	kNN (test)	0.0015886193639553876	0.0	0.0	0.0	0.0
50	Popularity	Normalized kNN (test)	4.566590483055446E-9	5.3683527759259886E-5	0.008539999721997699	7.358993266757161E-22	1.1667766401134362E-7
50	Popularity	kNN (full)	4.822340978884546E-7	0.0	0.0	0.0	0.0
