fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1	100	Average Rating	1.0	0.19946394268579018	0.16150583244962885	0.13434554021760758	0.1238283664916047
4	100	Average Rating	1.0	0.19668262717637197	0.15821845174973487	0.12486899432367553	0.11806005699278284
3	100	Average Rating	1.0	0.17477368911182975	0.13944856839872746	0.10783219312016198	0.10395381518510384
2	100	Average Rating	1.0	0.17958077021739932	0.1630965005302227	0.13527343503808426	0.1241379287636826
1	100	iMF (test)	1.0	0.4072239034993356	0.2970307529162248	0.3614583347349099	0.26624342837163256
5	100	Average Rating	1.0	0.20088369542871734	0.17465535524920464	0.14839942695651995	0.13460951682607208
4	100	iMF (test)	1.0	0.38010199355022845	0.2772004241781548	0.31657559012485686	0.2417387199457872
2	100	iMF (test)	1.0	0.38845971603996216	0.2883351007423117	0.3355568828493201	0.2555110651542544
3	100	iMF (test)	1.0	0.41577882350093837	0.2950159066808059	0.3679575195560029	0.2683200733546684
5	100	iMF (test)	1.0	0.3977159951213529	0.2945917285259809	0.3575017034906072	0.26483691607990784
1	100	Normalized kNN (full)	0.8864262990455991	0.4088043054400251	0.295864262990456	0.35202012250601183	0.2656472172505282
1	100	Random	1.0	0.11487695307675759	0.10286320254506894	0.08788945270729664	0.07760937850561679
4	100	Normalized kNN (full)	0.88016967126193	0.39845873672223686	0.29204665959703074	0.3454346427288613	0.2590280314376324
4	100	Random	1.0	0.11832113893047208	0.10668080593849417	0.09038596446516224	0.08151235727552307
2	100	Normalized kNN (full)	0.8833510074231177	0.417360544694337	0.30180275715800636	0.3593199640646841	0.27104247952617655
2	100	Random	1.0	0.12425212683421856	0.11145281018027572	0.09288168110257373	0.08462655099840675
3	100	Normalized kNN (full)	0.888441145281018	0.4183671473446449	0.2966065747613998	0.36129459854217044	0.2679828727159246
5	100	Normalized kNN (full)	0.8973488865323437	0.41261207937479893	0.2956521739130435	0.36373919825868534	0.2685384591200039
3	100	Random	1.0	0.12567405117335229	0.10625662778366915	0.09658166590008929	0.08324919633182687
5	100	Random	1.0	0.12200161079542139	0.10742311770943797	0.09212117767671642	0.082722475144993
4	100	iMF (full)	1.0	0.5433294749763858	0.3931071049840933	0.4676572176146613	0.3488031094777944
4	100	Popularity	1.0	0.27080242926505504	0.21548250265111346	0.21975744805211914	0.1774248995503474
1	100	iMF (full)	1.0	0.5496071636927885	0.3927889713679745	0.4692096101248731	0.3515487660312282
1	100	Popularity	1.0	0.3182185921719596	0.24570519618239658	0.2599953250594622	0.20662526197234288
4	100	kNN (test)	1.0	0.49105749115632863	0.3486744432661718	0.42442429408984533	0.3107130369307202
2	100	iMF (full)	1.0	0.5447208532809428	0.3924708377518558	0.4597366843205519	0.3505991211833373
2	100	Popularity	1.0	0.3038292323403822	0.2388123011664899	0.24506149637012045	0.1998006692410769
1	100	kNN (test)	1.0	0.5051229288272373	0.35365853658536583	0.4338240066469971	0.31825833773234796
3	100	iMF (full)	1.0	0.5611418617417389	0.39162248144220574	0.4789413524889926	0.3544004797606719
3	100	Popularity	1.0	0.3236600934039756	0.24072110286320256	0.26143143225127263	0.20492620630050526
5	100	iMF (full)	1.0	0.5415544727245194	0.39098621420996815	0.4599754721030899	0.34878903203974077
5	100	Popularity	1.0	0.2954586925377984	0.22969247083775185	0.24766529125288217	0.19650437500279452
2	100	kNN (test)	1.0	0.5040278178949571	0.355355249204666	0.4221695837964513	0.31851236419037765
3	100	kNN (test)	1.0	0.5140245990839136	0.3579003181336161	0.43896594448637377	0.3224263257075203
5	100	kNN (test)	1.0	0.5050182835258216	0.355779427359491	0.43280168319123274	0.32015007551873575
1	100	Normalized kNN (test)	1.0	0.2560137698496032	0.21474019088016968	0.2240308146302372	0.17763337472352234
4	100	Normalized kNN (test)	1.0	0.24536901809312067	0.21092258748674445	0.22196051407584083	0.17377378236528504
2	100	Normalized kNN (test)	1.0	0.25216220022594515	0.21675503711558855	0.2232533438063718	0.17853016977042946
1	100	kNN (full)	1.0	0.507691663201171	0.3555673382820785	0.4347445887637959	0.32015682753946795
3	100	Normalized kNN (test)	1.0	0.25434635822441787	0.2138918345705196	0.23622373748026732	0.1802442780963179
4	100	kNN (full)	1.0	0.49396746919601353	0.351643690349947	0.4309941981095248	0.3147628556175256
5	100	Normalized kNN (test)	1.0	0.2498587327463648	0.20689289501590669	0.2247625096807304	0.17401940486422032
2	100	kNN (full)	1.0	0.5056090718580375	0.3555673382820785	0.4233605798676491	0.31902218944615807
3	100	kNN (full)	1.0	0.5144148829207236	0.3576882290562036	0.4406448041621511	0.32266814451876463
5	100	kNN (full)	1.0	0.5090773079356476	0.3584305408271474	0.43671655222083816	0.3229168481221042
3	5	Average Rating	0.9758218451749735	0.7050890983451777	0.5142099681866383	0.6451788882560305	0.47674563531079206
3	5	iMF (test)	0.9758218451749735	0.8019614653991315	0.5549310710498409	0.6988064512330886	0.5191263190273325
3	5	Normalized kNN (full)	0.6841993637327678	0.648108931581172	0.4555673382820785	0.4938405846569902	0.39761667155045605
3	5	Random	0.9758218451749735	0.5419850436065334	0.40063626723223755	0.5507358510340341	0.38581640607602447
3	5	iMF (full)	0.9758218451749735	0.7902922480729563	0.5472958642629905	0.6909183126041829	0.512228042921673
3	5	Popularity	0.9758218451749735	0.6842227299065347	0.487592788971368	0.6330715951070673	0.45875472063582834
3	5	kNN (test)	0.8943796394485684	0.7817891599663039	0.5387062566277837	0.6782997589923527	0.5027836203772974
1	200	Average Rating	1.0	0.13474531475980014	0.1102863202545069	0.08872884976579871	0.08275003210283155
1	200	iMF (test)	1.0	0.278217673160458	0.21304347826086958	0.24213434245409257	0.18429094127059606
4	200	Average Rating	1.0	0.14549538828491063	0.11230116648992577	0.09031678909549123	0.08463016102063396
3	200	Average Rating	1.0	0.11676999724982999	0.09809119830328739	0.07693752929917509	0.0733948476492992
5	200	Average Rating	1.0	0.13922421852298658	0.11431601272534464	0.0905518290069274	0.08591636169896953
3	5	Normalized kNN (test)	0.8798515376458113	0.7523931682367703	0.5371155885471898	0.6701118785539247	0.49908694576618
1	200	Normalized kNN (full)	0.9436903499469778	0.3284274949451803	0.24103923647932132	0.29464800416063286	0.21793012543934723
1	200	Random	1.0	0.0698906262696288	0.06267232237539767	0.048234637068575795	0.046170038643474146
3	200	iMF (test)	1.0	0.26710356503721905	0.20519618239660659	0.2426626689098172	0.18199148346746633
4	200	iMF (test)	1.0	0.2622516755815011	0.2048780487804878	0.22812565394251583	0.17511664088653728
2	200	Average Rating	1.0	0.1265468446292157	0.11580063626723223	0.09900525216429179	0.08858781054833742
3	5	kNN (full)	0.8866383881230117	0.7808185138809113	0.5387062566277837	0.6766150224730942	0.502509430327139
5	200	iMF (test)	1.0	0.2825034458290017	0.2142099681866384	0.2569880354184881	0.19198252036988533
2	200	iMF (test)	1.0	0.2668904424659107	0.21071049840933193	0.23369205101583712	0.18094209771242273
4	200	Normalized kNN (full)	0.93966065747614	0.31360269937989643	0.23435843054082714	0.2889263708882699	0.20999042064515341
3	200	Normalized kNN (full)	0.9450689289501591	0.3349385487250967	0.24093319194061508	0.30484865351377477	0.2198483110414333
4	200	Random	1.0	0.07702053537996154	0.06935312831389184	0.05326741550778979	0.050636265681646676
3	200	Random	1.0	0.0677574506054843	0.06097560975609756	0.048036671451793356	0.04455934722700208
5	200	Normalized kNN (full)	0.9462354188759279	0.33219794194199925	0.24316012725344646	0.3069637233901902	0.22175280091341829
5	200	Random	1.0	0.06926002471984825	0.06277836691410393	0.05121210950170849	0.046792864398220405
2	200	Normalized kNN (full)	0.9490986214209968	0.33516989886179516	0.247507953340403	0.304515630835723	0.22437187896566224
2	200	Random	1.0	0.07477807402502484	0.06691410392364794	0.05400681445430744	0.05006868078490392
1	200	iMF (full)	1.0	0.4777770504665592	0.3424178154825026	0.39493270807144265	0.30146726544338026
5	5	Average Rating	0.9785790031813361	0.6876926573483376	0.5114528101802758	0.6391301063524425	0.474287418662029
1	200	Popularity	1.0	0.24871017780063362	0.19968186638388125	0.20686755259166584	0.1652430461794156
5	5	iMF (test)	0.9785790031813361	0.7945908319768687	0.5579003181336162	0.6972865341887382	0.5214940653321148
1	200	kNN (test)	1.0	0.4355285465733578	0.3056203605514316	0.36804970113799845	0.2710906548517526
3	200	iMF (full)	1.0	0.48241128062310756	0.34135737009544004	0.4071170129840761	0.30374278628421353
3	200	Popularity	1.0	0.24260238507896736	0.18918345705196182	0.20349085553808982	0.1595732398572643
4	200	iMF (full)	1.0	0.46363022154156974	0.34050901378579007	0.39412588261216963	0.29693464461524804
