target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	0.0	0.12089077412513255	0.12089077412513255	0.12089077412513255	0.12089077412513255
500	Popularity	iMF (test)	0.0	0.16436903499469777	0.16436903499469777	0.16436903499469777	0.16436903499469777
500	Popularity	Random	0.0	0.28525980911983034	0.28525980911983034	0.28525980911983034	0.28525980911983034
500	Popularity	Normalized kNN (full)	0.0	0.1325556733828208	0.1325556733828208	0.1325556733828208	0.1325556733828208
500	Popularity	Normalized kNN (test)	0.0	0.2449628844114528	0.2449628844114528	0.2449628844114528	0.2449628844114528
500	Popularity	kNN (full)	0.0	0.11983032873807	0.11983032873807	0.11983032873807	0.11983032873807
500	Popularity	Average Rating	0.0	0.2513255567338282	0.2513255567338282	0.2513255567338282	0.2513255567338282
500	Popularity	iMF (full)	0.0	0.1102863202545069	0.1102863202545069	0.1102863202545069	0.1102863202545069
1682	kNN (full)	Normalized kNN (full)	0.0	0.14528101802757157	0.14528101802757157	0.14528101802757157	0.14528101802757157
1682	kNN (full)	Average Rating	0.0	0.1823966065747614	0.1823966065747614	0.1823966065747614	0.1823966065747614
1682	kNN (full)	iMF (test)	0.0	0.15800636267232238	0.15800636267232238	0.15800636267232238	0.15800636267232238
1682	kNN (full)	kNN (test)	0.0	0.17391304347826086	0.17391304347826086	0.17391304347826086	0.17391304347826086
1682	kNN (full)	iMF (full)	0.0	0.12513255567338283	0.12513255567338283	0.12513255567338283	0.12513255567338283
1682	kNN (full)	Random	0.0	0.18981972428419935	0.18981972428419935	0.18981972428419935	0.18981972428419935
1682	kNN (full)	Normalized kNN (test)	0.0	0.17709437963944857	0.17709437963944857	0.17709437963944857	0.17709437963944857
1682	kNN (full)	Popularity	0.0	0.14952279957582185	0.14952279957582185	0.14952279957582185	0.14952279957582185
20	Popularity	Random	0.0	0.036055143160127257	0.036055143160127257	0.036055143160127257	0.036055143160127257
20	Popularity	Normalized kNN (test)	0.0	0.03817603393425239	0.03817603393425239	0.03817603393425239	0.03817603393425239
20	Popularity	iMF (full)	0.0	0.022269353128313893	0.022269353128313893	0.022269353128313893	0.022269353128313893
20	Popularity	iMF (test)	0.0	0.019088016967126194	0.019088016967126194	0.019088016967126194	0.019088016967126194
20	Popularity	kNN (test)	0.0	0.02332979851537646	0.02332979851537646	0.02332979851537646	0.02332979851537646
20	Popularity	kNN (full)	0.0	0.02332979851537646	0.02332979851537646	0.02332979851537646	0.02332979851537646
20	Popularity	Average Rating	0.0	0.03817603393425239	0.03817603393425239	0.03817603393425239	0.03817603393425239
20	Popularity	Normalized kNN (full)	0.0	0.043478260869565216	0.043478260869565216	0.043478260869565216	0.043478260869565216
20	Random	Normalized kNN (test)	0.0	0.04559915164369035	0.04559915164369035	0.04559915164369035	0.04559915164369035
20	Random	iMF (full)	0.0	0.021208907741251327	0.021208907741251327	0.021208907741251327	0.021208907741251327
20	Random	iMF (test)	0.0	0.02014846235418876	0.02014846235418876	0.02014846235418876	0.02014846235418876
20	Random	kNN (test)	0.0	0.019088016967126194	0.019088016967126194	0.019088016967126194	0.019088016967126194
20	Random	kNN (full)	0.0	0.019088016967126194	0.019088016967126194	0.019088016967126194	0.019088016967126194
20	Random	Average Rating	0.0	0.04878048780487805	0.04878048780487805	0.04878048780487805	0.04878048780487805
20	Random	Normalized kNN (full)	0.0	0.041357370095440084	0.041357370095440084	0.041357370095440084	0.041357370095440084
50	Popularity	Normalized kNN (full)	0.0	0.05514316012725345	0.05514316012725345	0.05514316012725345	0.05514316012725345
50	Popularity	iMF (full)	0.0	0.032873806998939555	0.032873806998939555	0.032873806998939555	0.032873806998939555
50	Popularity	iMF (test)	0.0	0.029692470837751856	0.029692470837751856	0.029692470837751856	0.029692470837751856
50	Popularity	kNN (test)	0.0	0.032873806998939555	0.032873806998939555	0.032873806998939555	0.032873806998939555
50	Popularity	Normalized kNN (test)	0.0	0.07953340402969247	0.07953340402969247	0.07953340402969247	0.07953340402969247
50	Popularity	kNN (full)	0.0	0.030752916224814422	0.030752916224814422	0.030752916224814422	0.030752916224814422
50	Popularity	Random	0.0	0.0816542948038176	0.0816542948038176	0.0816542948038176	0.0816542948038176
50	Popularity	Average Rating	0.0	0.07529162248144221	0.07529162248144221	0.07529162248144221	0.07529162248144221
5	iMF (full)	Normalized kNN (full)	0.0	0.019088016967126194	0.019088016967126194	0.019088016967126194	0.019088016967126194
5	iMF (full)	Random	0.0	0.019088016967126194	0.019088016967126194	0.019088016967126194	0.019088016967126194
5	iMF (full)	Normalized kNN (test)	0.0	0.019088016967126194	0.019088016967126194	0.019088016967126194	0.019088016967126194
5	iMF (full)	Average Rating	0.0	0.019088016967126194	0.019088016967126194	0.019088016967126194	0.019088016967126194
5	iMF (full)	Popularity	0.0	0.019088016967126194	0.019088016967126194	0.019088016967126194	0.019088016967126194
5	iMF (full)	kNN (full)	0.0	0.019088016967126194	0.019088016967126194	0.019088016967126194	0.019088016967126194
5	iMF (full)	kNN (test)	0.0	0.019088016967126194	0.019088016967126194	0.019088016967126194	0.019088016967126194
5	iMF (full)	iMF (test)	0.0	0.019088016967126194	0.019088016967126194	0.019088016967126194	0.019088016967126194
1682	Normalized kNN (full)	Average Rating	0.0	0.256627783669141	0.256627783669141	0.256627783669141	0.256627783669141
1682	Normalized kNN (full)	iMF (test)	0.0	0.18981972428419935	0.18981972428419935	0.18981972428419935	0.18981972428419935
1682	Normalized kNN (full)	kNN (test)	0.0	0.14422057264050903	0.14422057264050903	0.14422057264050903	0.14422057264050903
1682	Normalized kNN (full)	iMF (full)	0.0	0.11664899257688228	0.11664899257688228	0.11664899257688228	0.11664899257688228
1682	Normalized kNN (full)	Random	0.0	0.2757158006362672	0.2757158006362672	0.2757158006362672	0.2757158006362672
1682	Normalized kNN (full)	Normalized kNN (test)	0.0	0.23860021208907742	0.23860021208907742	0.23860021208907742	0.23860021208907742
1682	Normalized kNN (full)	Popularity	0.0	0.16118769883351008	0.16118769883351008	0.16118769883351008	0.16118769883351008
200	Average Rating	kNN (test)	0.0	0.08377518557794274	0.08377518557794274	0.08377518557794274	0.08377518557794274
200	Average Rating	iMF (full)	0.0	0.07317073170731707	0.07317073170731707	0.07317073170731707	0.07317073170731707
200	Average Rating	kNN (full)	0.0	0.08589607635206786	0.08589607635206786	0.08589607635206786	0.08589607635206786
200	Average Rating	Popularity	0.0	0.18769883351007424	0.18769883351007424	0.18769883351007424	0.18769883351007424
200	Average Rating	iMF (test)	0.0	0.1569459172852598	0.1569459172852598	0.1569459172852598	0.1569459172852598
200	Average Rating	Random	0.0	0.3828207847295864	0.3828207847295864	0.3828207847295864	0.3828207847295864
