target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	0.0	0.0	1.7606767043273567E-274	0.0
500	Popularity	iMF (test)	NaN	2.7124984725751637E-5	2.261249138720771E-5	0.6939294368525344	0.029950515915003775
500	Popularity	Random	NaN	0.0	0.0	0.0	0.0
500	Popularity	Normalized kNN (full)	NaN	1.2769184156190516E-23	1.293441247115844E-18	2.557393457945941E-61	1.1405043283880237E-47
500	Popularity	Normalized kNN (test)	NaN	1.4986066298254717E-244	1.8530766646915454E-192	8.503515946742337E-148	1.0720918661616017E-221
500	Popularity	kNN (full)	NaN	0.0	0.0	8.5920197408953E-269	0.0
500	Popularity	Average Rating	NaN	5.767019343190196E-292	1.4994397524386537E-265	5.845039224126186E-234	1.0747559884E-314
500	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	Normalized kNN (full)	NaN	0.0	0.0	2.856981711776547E-151	1.0732296927624785E-303
1682	kNN (full)	Average Rating	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	iMF (test)	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	kNN (test)	NaN	0.4695868451245836	0.3880419355295698	0.637245019649034	0.3807379494958071
1682	kNN (full)	iMF (full)	NaN	9.62869807150743E-45	3.469441225542979E-49	8.886296276853423E-35	2.7662677185866426E-56
1682	kNN (full)	Random	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	Popularity	NaN	0.0	0.0	1.2726595665790553E-260	0.0
20	Popularity	Random	NaN	2.2116245190697914E-301	5.343561419864389E-261	7.21161247600953E-117	5.2777531512295387E-225
20	Popularity	Normalized kNN (test)	NaN	3.1326034854916856E-90	4.336795664386812E-230	5.78455769684461E-213	5.905399036920074E-247
20	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	Average Rating	NaN	0.0015327669446225098	1.2633097028981532E-17	0.550342888881749	9.303690511742798E-6
