target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	0.0	0.12682926829268293	0.12682926829268293	0.12682926829268293	0.12682926829268293
500	Popularity	iMF (test)	0.0	0.17667020148462353	0.17667020148462353	0.17667020148462353	0.17667020148462353
500	Popularity	Random	0.0	0.28525980911983034	0.28525980911983034	0.28525980911983034	0.28525980911983034
500	Popularity	Normalized kNN (full)	0.0	0.13828207847295865	0.13828207847295865	0.13828207847295865	0.13828207847295865
500	Popularity	Normalized kNN (test)	0.0	0.24093319194061505	0.24093319194061505	0.24093319194061505	0.24093319194061505
500	Popularity	kNN (full)	0.0	0.12810180275715802	0.12810180275715802	0.12810180275715802	0.12810180275715802
500	Popularity	Average Rating	0.0	0.25620360551431604	0.25620360551431604	0.25620360551431604	0.25620360551431604
500	Popularity	iMF (full)	0.0	0.10371155885471899	0.10371155885471899	0.10371155885471899	0.10371155885471899
1682	kNN (full)	Normalized kNN (full)	0.0	0.1471898197242842	0.1471898197242842	0.1471898197242842	0.1471898197242842
1682	kNN (full)	Average Rating	0.0	0.18027571580063625	0.18027571580063625	0.18027571580063625	0.18027571580063625
1682	kNN (full)	iMF (test)	0.0	0.15588547189819724	0.15588547189819724	0.15588547189819724	0.15588547189819724
1682	kNN (full)	kNN (test)	0.0	0.17688229056203605	0.17688229056203605	0.17688229056203605	0.17688229056203605
1682	kNN (full)	iMF (full)	0.0	0.11770943796394485	0.11770943796394485	0.11770943796394485	0.11770943796394485
1682	kNN (full)	Random	0.0	0.18536585365853658	0.18536585365853658	0.18536585365853658	0.18536585365853658
1682	kNN (full)	Normalized kNN (test)	0.0	0.17985153764581124	0.17985153764581124	0.17985153764581124	0.17985153764581124
1682	kNN (full)	Popularity	0.0	0.15461293743372218	0.15461293743372218	0.15461293743372218	0.15461293743372218
20	Popularity	Random	0.0	0.03966065747613998	0.03966065747613998	0.03966065747613998	0.03966065747613998
20	Popularity	Normalized kNN (test)	0.0	0.029056203605514315	0.029056203605514315	0.029056203605514315	0.029056203605514315
20	Popularity	iMF (full)	0.0	0.02545068928950159	0.02545068928950159	0.02545068928950159	0.02545068928950159
20	Popularity	iMF (test)	0.0	0.02481442205726405	0.02481442205726405	0.02481442205726405	0.02481442205726405
20	Popularity	kNN (test)	0.0	0.02545068928950159	0.02545068928950159	0.02545068928950159	0.02545068928950159
20	Popularity	kNN (full)	0.0	0.02545068928950159	0.02545068928950159	0.02545068928950159	0.02545068928950159
20	Popularity	Average Rating	0.0	0.044114528101802754	0.044114528101802754	0.044114528101802754	0.044114528101802754
20	Popularity	Normalized kNN (full)	0.0	0.03351007423117709	0.03351007423117709	0.03351007423117709	0.03351007423117709
20	Random	Normalized kNN (test)	0.0	0.02799575821845175	0.02799575821845175	0.02799575821845175	0.02799575821845175
20	Random	iMF (full)	0.0	0.023966065747613997	0.023966065747613997	0.023966065747613997	0.023966065747613997
20	Random	iMF (test)	0.0	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.024390243902439025
20	Random	kNN (test)	0.0	0.024178154825026513	0.024178154825026513	0.024178154825026513	0.024178154825026513
20	Random	kNN (full)	0.0	0.024178154825026513	0.024178154825026513	0.024178154825026513	0.024178154825026513
20	Random	Average Rating	0.0	0.04517497348886532	0.04517497348886532	0.04517497348886532	0.04517497348886532
20	Random	Normalized kNN (full)	0.0	0.032025450689289504	0.032025450689289504	0.032025450689289504	0.032025450689289504
50	Popularity	Normalized kNN (full)	0.0	0.05174973488865323	0.05174973488865323	0.05174973488865323	0.05174973488865323
50	Popularity	iMF (full)	0.0	0.035630965005302224	0.035630965005302224	0.035630965005302224	0.035630965005302224
50	Popularity	iMF (test)	0.0	0.04008483563096501	0.04008483563096501	0.04008483563096501	0.04008483563096501
50	Popularity	kNN (test)	0.0	0.03923647932131495	0.03923647932131495	0.03923647932131495	0.03923647932131495
50	Popularity	Normalized kNN (test)	0.0	0.049204665959703076	0.049204665959703076	0.049204665959703076	0.049204665959703076
50	Popularity	kNN (full)	0.0	0.03732767762460233	0.03732767762460233	0.03732767762460233	0.03732767762460233
50	Popularity	Random	0.0	0.0816542948038176	0.0816542948038176	0.0816542948038176	0.0816542948038176
50	Popularity	Average Rating	0.0	0.08907741251325557	0.08907741251325557	0.08907741251325557	0.08907741251325557
5	iMF (full)	Normalized kNN (full)	0.0	0.021633085896076352	0.021633085896076352	0.021633085896076352	0.021633085896076352
5	iMF (full)	Random	0.0	0.02142099681866384	0.02142099681866384	0.02142099681866384	0.02142099681866384
5	iMF (full)	Normalized kNN (test)	0.0	0.02142099681866384	0.02142099681866384	0.02142099681866384	0.02142099681866384
5	iMF (full)	Average Rating	0.0	0.02142099681866384	0.02142099681866384	0.02142099681866384	0.02142099681866384
5	iMF (full)	Popularity	0.0	0.021633085896076352	0.021633085896076352	0.021633085896076352	0.021633085896076352
5	iMF (full)	kNN (full)	0.0	0.02142099681866384	0.02142099681866384	0.02142099681866384	0.02142099681866384
5	iMF (full)	kNN (test)	0.0	0.02142099681866384	0.02142099681866384	0.02142099681866384	0.02142099681866384
5	iMF (full)	iMF (test)	0.0	0.021208907741251327	0.021208907741251327	0.021208907741251327	0.021208907741251327
1682	Normalized kNN (full)	Average Rating	0.0	0.2642629904559915	0.2642629904559915	0.2642629904559915	0.2642629904559915
1682	Normalized kNN (full)	iMF (test)	0.0	0.2063626723223754	0.2063626723223754	0.2063626723223754	0.2063626723223754
1682	Normalized kNN (full)	kNN (test)	0.0	0.14634146341463414	0.14634146341463414	0.14634146341463414	0.14634146341463414
1682	Normalized kNN (full)	iMF (full)	0.0	0.11728525980911983	0.11728525980911983	0.11728525980911983	0.11728525980911983
1682	Normalized kNN (full)	Random	0.0	0.27868504772004243	0.27868504772004243	0.27868504772004243	0.27868504772004243
1682	Normalized kNN (full)	Normalized kNN (test)	0.0	0.2589607635206787	0.2589607635206787	0.2589607635206787	0.2589607635206787
1682	Normalized kNN (full)	Popularity	0.0	0.17539766702014847	0.17539766702014847	0.17539766702014847	0.17539766702014847
200	Average Rating	kNN (test)	0.0	0.08419936373276776	0.08419936373276776	0.08419936373276776	0.08419936373276776
200	Average Rating	iMF (full)	0.0	0.07507953340402969	0.07507953340402969	0.07507953340402969	0.07507953340402969
200	Average Rating	kNN (full)	0.0	0.08229056203605514	0.08229056203605514	0.08229056203605514	0.08229056203605514
200	Average Rating	Popularity	0.0	0.19469777306468716	0.19469777306468716	0.19469777306468716	0.19469777306468716
200	Average Rating	iMF (test)	0.0	0.16182396606574762	0.16182396606574762	0.16182396606574762	0.16182396606574762
200	Average Rating	Random	0.0	0.3582184517497349	0.3582184517497349	0.3582184517497349	0.3582184517497349
200	Average Rating	Normalized kNN (full)	0.0	0.11007423117709438	0.11007423117709438	0.11007423117709438	0.11007423117709438
200	Average Rating	Normalized kNN (test)	0.0	0.3331919406150583	0.3331919406150583	0.3331919406150583	0.3331919406150583
20	Normalized kNN (test)	iMF (full)	0.0	0.024178154825026513	0.024178154825026513	0.024178154825026513	0.024178154825026513
20	Normalized kNN (test)	iMF (test)	0.0	0.025662778366914104	0.025662778366914104	0.025662778366914104	0.025662778366914104
20	Normalized kNN (test)	kNN (test)	0.0	0.025662778366914104	0.025662778366914104	0.025662778366914104	0.025662778366914104
20	Normalized kNN (test)	kNN (full)	0.0	0.02545068928950159	0.02545068928950159	0.02545068928950159	0.02545068928950159
20	Normalized kNN (test)	Average Rating	0.0	0.032025450689289504	0.032025450689289504	0.032025450689289504	0.032025450689289504
20	Normalized kNN (test)	Normalized kNN (full)	0.0	0.026299045599151645	0.026299045599151645	0.026299045599151645	0.026299045599151645
0	Normalized kNN (full)	kNN (full)	0.0021208907741251328	0.021208907741251327	0.021208907741251327	0.021208907741251327	0.021208907741251327
0	Normalized kNN (full)	Random	0.0021208907741251328	0.02142099681866384	0.02142099681866384	0.02142099681866384	0.02142099681866384
0	Normalized kNN (full)	iMF (test)	0.0021208907741251328	0.021208907741251327	0.021208907741251327	0.021208907741251327	0.021208907741251327
0	Normalized kNN (full)	Popularity	0.0021208907741251328	0.021208907741251327	0.021208907741251327	0.021208907741251327	0.021208907741251327
0	Normalized kNN (full)	Average Rating	0.0021208907741251328	0.02142099681866384	0.02142099681866384	0.02142099681866384	0.02142099681866384
0	Normalized kNN (full)	iMF (full)	0.0021208907741251328	0.021208907741251327	0.021208907741251327	0.021208907741251327	0.021208907741251327
0	Normalized kNN (full)	kNN (test)	0.0021208907741251328	0.02142099681866384	0.02142099681866384	0.02142099681866384	0.02142099681866384
0	Normalized kNN (full)	Normalized kNN (test)	0.0021208907741251328	0.02142099681866384	0.02142099681866384	0.02142099681866384	0.02142099681866384
50	Normalized kNN (full)	iMF (full)	0.0	0.03457051961823966	0.03457051961823966	0.03457051961823966	0.03457051961823966
50	Normalized kNN (full)	iMF (test)	0.0	0.034782608695652174	0.034782608695652174	0.034782608695652174	0.034782608695652174
50	Normalized kNN (full)	kNN (test)	0.0	0.035630965005302224	0.035630965005302224	0.035630965005302224	0.035630965005302224
50	Normalized kNN (full)	Normalized kNN (test)	0.0	0.03690349946977731	0.03690349946977731	0.03690349946977731	0.03690349946977731
50	Normalized kNN (full)	kNN (full)	0.0	0.03435843054082715	0.03435843054082715	0.03435843054082715	0.03435843054082715
50	Normalized kNN (full)	Random	0.0	0.051113467656415695	0.051113467656415695	0.051113467656415695	0.051113467656415695
50	Normalized kNN (full)	Average Rating	0.0	0.05026511134676564	0.05026511134676564	0.05026511134676564	0.05026511134676564
1682	Average Rating	iMF (test)	0.0	0.41739130434782606	0.41739130434782606	0.41739130434782606	0.41739130434782606
1682	Average Rating	kNN (test)	0.0	0.17815482502651114	0.17815482502651114	0.17815482502651114	0.17815482502651114
1682	Average Rating	iMF (full)	0.0	0.14337221633085895	0.14337221633085895	0.14337221633085895	0.14337221633085895
1682	Average Rating	Random	0.0	0.7696712619300106	0.7696712619300106	0.7696712619300106	0.7696712619300106
1682	Average Rating	Normalized kNN (test)	0.0	0.6296924708377518	0.6296924708377518	0.6296924708377518	0.6296924708377518
1682	Average Rating	Popularity	0.0	0.32343584305408274	0.32343584305408274	0.32343584305408274	0.32343584305408274
