target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10

500	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (test)	NaN	2.0672509905461334E-6	0.033701838365354925	7.65433492867781E-5	0.09239134697409646
500	Popularity	Random	NaN	0.0	0.0	0.0	0.0
500	Popularity	Normalized kNN (full)	NaN	2.882250228626272E-73	1.6258354395177774E-81	6.240071287448054E-128	2.6564095258458464E-124
500	Popularity	Normalized kNN (test)	NaN	2.54025E-318	8.102585740753221E-244	3.62122575237845E-153	1.007044903250745E-245
500	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
500	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	Normalized kNN (full)	NaN	0.0	0.0	2.856981711776547E-151	1.0732296927624785E-303
1682	kNN (full)	Average Rating	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	iMF (test)	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	kNN (test)	NaN	0.002959348120035792	0.006294289753443922	0.2451188423313152	0.017266152891362768
1682	kNN (full)	iMF (full)	NaN	3.1533269845025276E-45	3.477278947790354E-61	1.2771762099875037E-22	7.782341524083319E-53
1682	kNN (full)	Random	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
1682	kNN (full)	Popularity	NaN	0.0	0.0	1.2726595665790553E-260	0.0
20	Popularity	Random	NaN	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (test)	NaN	2.44296162953198E-28	1.8415273269157433E-50	1.5073321118159572E-53	2.8732665394808917E-56
20	Popularity	iMF (full)	NaN	0.0	1.5899969473519203E-289	9.663464794925766E-216	1.1691929920097189E-299
20	Popularity	iMF (test)	NaN	2.086155021248954E-160	6.0613032692400145E-158	2.1645205002050916E-138	3.73236541820619E-172
20	Popularity	kNN (test)	NaN	3.16E-322	6.419449324029814E-236	2.163692535747432E-146	1.806636046065355E-217
20	Popularity	kNN (full)	NaN	0.0	1.809393277081703E-273	9.529224271026424E-184	4.140013201013638E-262
20	Popularity	Average Rating	NaN	6.047363480005569E-182	3.1526443658353648E-105	2.6439884854722075E-145	4.525738301892653E-147
20	Popularity	Normalized kNN (full)	NaN	1.6675285327663218E-7	0.20683242151524073	7.040793900103919E-46	1.8074666285560267E-13
20	Random	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (full)	NaN	0.0	0.0	0.0	0.0
20	Random	Average Rating	NaN	0.0	0.0	0.0	0.0
20	Random	Normalized kNN (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	Normalized kNN (full)	NaN	5.51839107053077E-46	1.754000033168967E-26	0.5426940868704311	9.518545821726337E-9
50	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	iMF (test)	NaN	6.111752538590492E-104	6.006252116676208E-126	1.078900368220594E-131	1.076734752746238E-151
50	Popularity	kNN (test)	NaN	0.0	0.0	1.0610876020663147E-262	0.0
50	Popularity	Normalized kNN (test)	NaN	0.31792087220841336	2.3174680612046143E-6	3.6925772085744756E-27	8.24320339382937E-14
50	Popularity	kNN (full)	NaN	0.0	0.0	2.876455181107047E-300	0.0
50	Popularity	Random	NaN	0.0	0.0	0.0	0.0
50	Popularity	Average Rating	NaN	0.0	0.0	1.471731283E-315	0.0
5	iMF (full)	Normalized kNN (full)	NaN	4.978896174704459E-121	1.2904701939307152E-112	1.1500897439945837E-142	7.7086812978250025E-143
5	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
