fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
4	100	Average Rating	1.0	0.19668262717637197	0.15821845174973487	0.12486899432367553	0.11806005699278284
5	100	Average Rating	1.0	0.20088369542871734	0.17465535524920464	0.14839942695651995	0.13460951682607208
5	100	iMF (test)	1.0	0.40257304317641684	0.2949098621420997	0.3621228775326066	0.2676164547704551
4	100	iMF (test)	1.0	0.41188566953548134	0.2988335100742312	0.3615666404766237	0.2668924999393606
2	100	Average Rating	1.0	0.17958077021739932	0.1630965005302227	0.13527343503808426	0.1241379287636826
1	100	Average Rating	1.0	0.19946394268579018	0.16150583244962885	0.13434554021760758	0.1238283664916047
5	100	Normalized kNN (full)	1.0	0.41472605329311024	0.29745493107104987	0.36806854688814006	0.2709806234126454
5	100	Random	1.0	0.1216892357487711	0.1093319194061506	0.09455536059044793	0.08388963381074754
3	100	Average Rating	1.0	0.17477368911182975	0.13944856839872746	0.10783219312016198	0.10395381518510384
4	100	Normalized kNN (full)	1.0	0.4014135269900561	0.29437963944856843	0.3516027705830973	0.2620788193316667
4	100	Random	1.0	0.12523042696630718	0.1125132555673383	0.09386273293119488	0.08349496428021345
2	100	iMF (test)	1.0	0.3936424054663258	0.2950159066808059	0.3468827013613011	0.2625812519390078
1	100	iMF (test)	1.0	0.422943308831711	0.3047720042417815	0.37616302563232784	0.2745385632859353
3	100	iMF (test)	1.0	0.4152770149991262	0.2949098621420997	0.3687745968181211	0.26888087981941616
5	100	iMF (full)	1.0	0.5397883225432475	0.38886532343584307	0.4615204522659762	0.3477667111904453
5	100	Popularity	1.0	0.2954586925377984	0.22969247083775185	0.24766529125288217	0.19650437500279452
4	100	iMF (full)	1.0	0.5354717017994098	0.3911983032873807	0.4598696649719689	0.34574477073968746
4	100	Popularity	1.0	0.27080242926505504	0.21548250265111346	0.21975744805211914	0.1774248995503474
5	100	kNN (test)	1.0	0.5122073063785546	0.359915164369035	0.4380507614974336	0.32422212896676855
4	100	kNN (test)	1.0	0.4915527537530855	0.3494167550371156	0.42620801383787543	0.3117588986562678
2	100	Normalized kNN (full)	1.0	0.4198531693715616	0.30360551431601274	0.3645729560355976	0.27357073918437197
2	100	Random	1.0	0.11786705444101613	0.10604453870625663	0.09273655472545707	0.0813489401288645
1	100	Normalized kNN (full)	1.0	0.41153340569872554	0.2979851537645811	0.35809447409998163	0.2685239944920553
1	100	Random	1.0	0.1175834001148897	0.10519618239660658	0.09052970541390168	0.08096681275730305
3	100	Normalized kNN (full)	1.0	0.42091914344568593	0.2984093319194061	0.36706350561012313	0.27056003090966774
3	100	Random	1.0	0.1221544189512993	0.10784729586426299	0.09925990972135244	0.08491004995944666
5	100	Normalized kNN (test)	1.0	0.2498587327463648	0.20689289501590669	0.2247625096807304	0.17401940486422032
4	100	Normalized kNN (test)	1.0	0.24536901809312067	0.21092258748674445	0.22196051407584083	0.17377378236528504
5	100	kNN (full)	1.0	0.5090773079356476	0.3584305408271474	0.43671655222083816	0.3229168481221042
4	100	kNN (full)	1.0	0.49396746919601353	0.351643690349947	0.4309941981095248	0.3147628556175256
2	100	iMF (full)	1.0	0.5347164764417232	0.383881230116649	0.44693581441710745	0.3417123470642313
2	100	Popularity	1.0	0.3038292323403822	0.2388123011664899	0.24506149637012045	0.1998006692410769
1	100	iMF (full)	1.0	0.546096294264815	0.388016967126193	0.45756800361864947	0.34528614533995516
1	100	Popularity	1.0	0.3182185921719596	0.24570519618239658	0.2599953250594622	0.20662526197234288
3	100	iMF (full)	1.0	0.5599832988339122	0.3927889713679745	0.47094481974589336	0.35238387545584127
2	100	kNN (test)	1.0	0.5064332340230027	0.3579003181336161	0.42466036499541837	0.32122824275122075
1	100	kNN (test)	1.0	0.5105493308303509	0.35705196182396604	0.43777162547893017	0.3216827877061746
3	100	kNN (full)	1.0	0.5144148829207236	0.3576882290562036	0.4406448041621511	0.32266814451876463
3	100	Popularity	1.0	0.3236600934039756	0.24072110286320256	0.26143143225127263	0.20492620630050526
3	100	kNN (test)	1.0	0.5139809324753206	0.35758218451749735	0.44179555957788613	0.32267896137878554
2	100	Normalized kNN (test)	1.0	0.25216220022594515	0.21675503711558855	0.2232533438063718	0.17853016977042946
1	100	Normalized kNN (test)	1.0	0.2560137698496032	0.21474019088016968	0.2240308146302372	0.17763337472352234
2	100	kNN (full)	1.0	0.5056090718580375	0.3555673382820785	0.4233605798676491	0.31902218944615807
1	100	kNN (full)	1.0	0.507691663201171	0.3555673382820785	0.4347445887637959	0.32015682753946795
3	100	Normalized kNN (test)	1.0	0.25434635822441787	0.2138918345705196	0.23622373748026732	0.1802442780963179
5	200	Average Rating	1.0	0.13922421852298658	0.11431601272534464	0.0905518290069274	0.08591636169896953
4	200	Average Rating	1.0	0.14549538828491063	0.11230116648992577	0.09031678909549123	0.08463016102063396
5	200	iMF (test)	1.0	0.2765524118561869	0.21230116648992575	0.24352113505174908	0.18617245252203543
4	200	iMF (test)	1.0	0.26904119590082093	0.20975609756097563	0.2359222443428517	0.18026050954464526
5	200	Normalized kNN (full)	1.0	0.33250732290349744	0.2434782608695652	0.307539393743167	0.22216034463079917
5	200	Random	1.0	0.07326604569331399	0.06500530222693532	0.04959722068421362	0.0465398467734769
4	200	Normalized kNN (full)	1.0	0.3141086282671169	0.23478260869565218	0.29002420377295324	0.21054034689474307
4	200	Random	1.0	0.06920805509818075	0.06511134676564156	0.0481003894615657	0.04615188343376426
5	200	iMF (full)	1.0	0.46811578148440963	0.3388123011664899	0.39105612278255625	0.2985995366050733
5	200	Popularity	1.0	0.23577613904421998	0.18494167550371157	0.1931501791483729	0.15540312900442163
4	200	iMF (full)	1.0	0.4550959235275821	0.3395546129374337	0.38712106728448503	0.2933919201171008
4	200	Popularity	1.0	0.21599773183550985	0.1735949098621421	0.17232788482398903	0.1410759855992193
