target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (full/test)	1.0	0.09480381760339343	0.2899257688229056	0.2899257688229056	0.2899257688229056
500	Popularity	iMF (test)	1.0	0.11474019088016967	0.2948038176033934	0.2948038176033934	0.2948038176033934
500	Popularity	Average Rating	1.0	0.18133616118769882	0.26214209968186636	0.26214209968186636	0.26214209968186636
500	Popularity	Random	1.0	0.20127253446447507	0.22926829268292684	0.22926829268292684	0.22926829268292684
500	Popularity	Normalized kNN (full)	1.0	0.09034994697773065	0.30116648992576883	0.30116648992576883	0.30116648992576883
500	Popularity	iMF (full)	1.0	0.07401908801696713	0.2413573700954401	0.2413573700954401	0.2413573700954401
500	Popularity	Normalized kNN (test)	1.0	0.18197242841993638	0.29671261930010606	0.29671261930010606	0.29671261930010606
1	Average Rating	iMF (test)	1.0	0.16203605514316013	0.6411452810180276	0.6411452810180276	0.6411452810180276
1	Average Rating	iMF (full)	1.0	0.12492046659597031	0.5826086956521739	0.5826086956521739	0.5826086956521739
1	Average Rating	Normalized kNN (test)	1.0	0.34103923647932133	0.807423117709438	0.807423117709438	0.807423117709438
1	Average Rating	Normalized kNN (full)	1.0	0.1266171792152704	0.6063626723223754	0.6063626723223754	0.6063626723223754
1	Average Rating	kNN (full/test)	1.0	0.16500530222693532	0.6549310710498409	0.6549310710498409	0.6549310710498409
1	Average Rating	Random	1.0	0.060445387062566275	0.5009544008483563	0.5009544008483563	0.5009544008483563
1	Average Rating	Popularity	1.0	0.12216330858960764	0.5883351007423118	0.5883351007423118	0.5883351007423118
50	Normalized kNN (test)	Popularity	1.0	0.04793213149522799	0.23944856839872747	0.23944856839872747	0.23944856839872747
50	Normalized kNN (test)	Normalized kNN (full)	1.0	0.05429480381760339	0.23626723223753976	0.23626723223753976	0.23626723223753976
50	Normalized kNN (test)	iMF (full)	1.0	0.03541887592788971	0.1855779427359491	0.1855779427359491	0.1855779427359491
50	Normalized kNN (test)	Random	1.0	0.09416755037115589	0.19936373276776245	0.19936373276776245	0.19936373276776245
50	Normalized kNN (test)	iMF (test)	1.0	0.0383881230116649	0.21357370095440084	0.21357370095440084	0.21357370095440084
50	Normalized kNN (test)	Average Rating	1.0	0.1728525980911983	0.5584305408271474	0.5584305408271474	0.5584305408271474
50	Normalized kNN (test)	kNN (full/test)	1.0	0.03626723223753977	0.18748674443266172	0.18748674443266172	0.18748674443266172
20	Popularity	Random	1.0	0.029692470837751856	0.1327677624602333	0.1327677624602333	0.1327677624602333
20	Popularity	Normalized kNN (test)	1.0	0.03987274655355249	0.33361611876988334	0.33361611876988334	0.33361611876988334
20	Popularity	iMF (full)	1.0	0.059597030752916225	0.4010604453870626	0.4010604453870626	0.4010604453870626
20	Popularity	iMF (test)	1.0	0.057688229056203605	0.41505832449628843	0.41505832449628843	0.41505832449628843
20	Popularity	kNN (full/test)	1.0	0.08568398727465536	0.463626723223754	0.463626723223754	0.463626723223754
20	Popularity	Average Rating	1.0	0.03647932131495228	0.3181336161187699	0.3181336161187699	0.3181336161187699
20	Popularity	Normalized kNN (full)	1.0	0.06108165429480382	0.3597030752916225	0.3597030752916225	0.3597030752916225
20	Random	Normalized kNN (test)	1.0	0.03923647932131495	0.16521739130434782	0.16521739130434782	0.16521739130434782
20	Random	iMF (full)	1.0	0.026299045599151645	0.09862142099681867	0.09862142099681867	0.09862142099681867
