target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	0.0	0.12301166489925769	0.12301166489925769	0.12301166489925769	0.12301166489925769
500	Popularity	iMF (test)	0.0	0.19300106044538706	0.19300106044538706	0.19300106044538706	0.19300106044538706
500	Popularity	Random	0.0	0.2979851537645811	0.2979851537645811	0.2979851537645811	0.2979851537645811
500	Popularity	Normalized kNN (full)	0.0	0.1537645811240721	0.1537645811240721	0.1537645811240721	0.1537645811240721
500	Popularity	Normalized kNN (test)	0.0	0.24284199363732767	0.24284199363732767	0.24284199363732767	0.24284199363732767
500	Popularity	kNN (full)	0.0	0.1357370095440085	0.1357370095440085	0.1357370095440085	0.1357370095440085
500	Popularity	Average Rating	0.0	0.2523860021208908	0.2523860021208908	0.2523860021208908	0.2523860021208908
500	Popularity	iMF (full)	0.0	0.12725344644750794	0.12725344644750794	0.12725344644750794	0.12725344644750794
1682	kNN (full)	Normalized kNN (full)	0.0	0.15482502651113467	0.15482502651113467	0.15482502651113467	0.15482502651113467
1682	kNN (full)	Average Rating	0.0	0.1855779427359491	0.1855779427359491	0.1855779427359491	0.1855779427359491
1682	kNN (full)	iMF (test)	0.0	0.1664899257688229	0.1664899257688229	0.1664899257688229	0.1664899257688229
1682	kNN (full)	kNN (test)	0.0	0.15906680805938495	0.15906680805938495	0.15906680805938495	0.15906680805938495
1682	kNN (full)	iMF (full)	0.0	0.1283138918345705	0.1283138918345705	0.1283138918345705	0.1283138918345705
1682	kNN (full)	Random	0.0	0.18769883351007424	0.18769883351007424	0.18769883351007424	0.18769883351007424
1682	kNN (full)	Normalized kNN (test)	0.0	0.1855779427359491	0.1855779427359491	0.1855779427359491	0.1855779427359491
1682	kNN (full)	Popularity	0.0	0.15800636267232238	0.15800636267232238	0.15800636267232238	0.15800636267232238
20	Popularity	Random	0.0	0.043478260869565216	0.043478260869565216	0.043478260869565216	0.043478260869565216
20	Popularity	Normalized kNN (test)	0.0	0.030752916224814422	0.030752916224814422	0.030752916224814422	0.030752916224814422
20	Popularity	iMF (full)	0.0	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.024390243902439025
20	Popularity	iMF (test)	0.0	0.02545068928950159	0.02545068928950159	0.02545068928950159	0.02545068928950159
20	Popularity	kNN (test)	0.0	0.02545068928950159	0.02545068928950159	0.02545068928950159	0.02545068928950159
20	Popularity	kNN (full)	0.0	0.02545068928950159	0.02545068928950159	0.02545068928950159	0.02545068928950159
20	Popularity	Average Rating	0.0	0.04559915164369035	0.04559915164369035	0.04559915164369035	0.04559915164369035
20	Popularity	Normalized kNN (full)	0.0	0.036055143160127257	0.036055143160127257	0.036055143160127257	0.036055143160127257
20	Random	Normalized kNN (test)	0.0	0.02863202545068929	0.02863202545068929	0.02863202545068929	0.02863202545068929
20	Random	iMF (full)	0.0	0.022269353128313893	0.022269353128313893	0.022269353128313893	0.022269353128313893
20	Random	iMF (test)	0.0	0.02332979851537646	0.02332979851537646	0.02332979851537646	0.02332979851537646
20	Random	kNN (test)	0.0	0.021208907741251327	0.021208907741251327	0.021208907741251327	0.021208907741251327
20	Random	kNN (full)	0.0	0.022269353128313893	0.022269353128313893	0.022269353128313893	0.022269353128313893
20	Random	Average Rating	0.0	0.04772004241781548	0.04772004241781548	0.04772004241781548	0.04772004241781548
20	Random	Normalized kNN (full)	0.0	0.033934252386002124	0.033934252386002124	0.033934252386002124	0.033934252386002124
50	Popularity	Normalized kNN (full)	0.0	0.04984093319194061	0.04984093319194061	0.04984093319194061	0.04984093319194061
50	Popularity	iMF (full)	0.0	0.036055143160127257	0.036055143160127257	0.036055143160127257	0.036055143160127257
50	Popularity	iMF (test)	0.0	0.03817603393425239	0.03817603393425239	0.03817603393425239	0.03817603393425239
