target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=5, lambda=0.1, alpha=1.0)	NaN	1.021769403472304E-16	5.407462075210173E-17	1.3404245123549577E-11	3.347349132039657E-17
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=600)	NaN	1.5535539936436527E-51	8.613340507185427E-56	1.4324297319242233E-39	2.4839554954149704E-57
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=400, min=3)	NaN	8.7066607872648285E-193	2.068025323239704E-163	7.0133642840805845E-137	7.3599977600222E-198
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=5, lambda=1.0, alpha=10.0)	NaN	5.098244069919571E-58	1.8856119849843144E-53	3.07202134922257E-21	3.9681876387398746E-47
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=60, min=3)	NaN	4.7480037243163875E-186	4.84904159891888E-149	5.687662761134003E-124	2.909202327207751E-183
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=10, lambda=1.0, alpha=10.0)	NaN	1.6474105652047743E-40	2.5449635131700677E-37	8.30748135939066E-15	1.9901731687392314E-30
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Average Rating	NaN	7.866491116920522E-200	1.0024960862230515E-163	1.2540490513376006E-142	1.1675319094308795E-202
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=5000)	NaN	2.7331525510027164E-63	1.2290162533068577E-65	6.688690120475655E-51	2.897999293115414E-70
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=900)	NaN	9.105221803172707E-63	3.805563358078617E-65	1.4226000188807433E-50	1.0003032009594474E-69
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=4000, min=3)	NaN	3.4854136164399215E-202	1.3089834689207636E-166	3.480745873114265E-148	1.8421519574354676E-210
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=80)	NaN	2.077972217801665E-9	1.308043315100949E-14	2.1184073982301895E-5	6.36715467143827E-12
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=40)	NaN	2.338570315236762E-8	6.838944954137289E-15	6.537641348653872E-4	1.0651673950745964E-10
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=50, lambda=0.1, alpha=100.0)	NaN	2.1384063470538545E-104	1.1581451334681254E-104	3.1303703448768558E-58	1.7336874601311854E-109
1682	iMF (k=10, lambda=0.1, alpha=1.0)	kNN (k=100)	NaN	2.1788377400661337E-9	7.726214467220771E-15	9.638189652959595E-6	2.5535014465229738E-12
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=500, min=3)	NaN	7.511660656763251E-194	3.4480604964426693E-162	1.5551035409920935E-138	6.669658167660449E-200
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=3000, min=3)	NaN	3.4854136164399215E-202	1.3089834689207636E-166	3.480745873114265E-148	1.8421519574354676E-210
1682	iMF (k=10, lambda=0.1, alpha=1.0)	iMF (k=50, lambda=10.0, alpha=1.0)	NaN	1.1129687505479146E-5	1.631261305738974E-13	0.4240521330839697	1.1749036367542843E-5
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=50, min=3)	NaN	7.279770641667953E-177	4.2087141113806105E-144	6.663873081710892E-112	8.098006401919975E-176
1682	iMF (k=10, lambda=0.1, alpha=1.0)	Normalized kNN (k=900, min=3)	NaN	9.655249150459434E-202	1.6493512203195493E-167	3.026141946382801E-147	4.022295716174358E-210
