fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
5	1682	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.30389274035579167	0.223966065747614	0.2393860517666082	0.18893224335622721
1	1682	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.31666865757865503	0.22916224814422056	0.25279896006832686	0.19388029192836603
4	1682	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.30608736511674184	0.22937433722163308	0.23378379012872993	0.1883714335610559
2	1682	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.30986710113628924	0.22735949098621422	0.24057212126030364	0.19030568395673253
5	1682	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.23650527283946085	0.18197242841993636	0.1962461881414741	0.1548295746242072
1	1682	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.24826699430661342	0.1861081654294804	0.20951809229388882	0.15928058951629642
4	1682	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.24134988890504952	0.18419936373276777	0.20218180706018857	0.15574817355018075
5	1682	kNN (k=20)	1.0	0.3175118724980455	0.23191940615058323	0.2527759738210466	0.19878770087267736
2	1682	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.24489496643105646	0.18674443266171792	0.19812518559588113	0.15733565876082461
1	1682	kNN (k=20)	1.0	0.3195470338009313	0.22969247083775185	0.25652264929260843	0.19550584634704576
4	1682	kNN (k=20)	1.0	0.30470238391945814	0.21993637327677626	0.23620254593451565	0.18496277839983077
2	1682	kNN (k=20)	1.0	0.3143724425988729	0.22778366914103926	0.24916458032015312	0.19512364833404652
5	1682	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.2916030283423855	0.21007423117709437	0.2499981507960452	0.18803194416683597
2	1682	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.2881090182403985	0.2067868504772004	0.2458210322212589	0.18385073501397348
1	1682	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.28927875300723344	0.20551431601272535	0.24485854639660704	0.18279240559369078
4	1682	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.2734055705715032	0.2012725344644751	0.22768818805362556	0.17457668361782122
5	1682	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.24245258239469897	0.183881230116649	0.206023661034617	0.16092961188428917
2	1682	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.2455387018064757	0.1853658536585366	0.20758429013079405	0.16140027371633514
1	1682	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.24738091713754257	0.1844114528101803	0.21737495738368523	0.16115654312210134
4	1682	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.2456458058192277	0.18769883351007424	0.21449724462939976	0.16327883427453826
5	1682	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.35057498890260114	0.2559915164369035	0.2744154306791051	0.21805611265365302
2	1682	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.3520083823085676	0.2579003181336161	0.27236034464431813	0.2176456359787395
1	1682	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.3614344496958017	0.26267232237539767	0.28374384718747525	0.2212282755926872
4	1682	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.3444835314844387	0.25779427359490986	0.26998783790098113	0.21433739958391693
5	1682	iMF (k=10, lambda=0.5, alpha=15.0)	1.0	0.23811756501893458	0.1806998939554613	0.20467743965543908	0.15895729804099945
5	1682	Average Rating	1.0	0.011611721169427916	0.013255567338282079	0.009569775187376546	0.009739631921311602
2	1682	iMF (k=10, lambda=0.5, alpha=15.0)	1.0	0.23694406411213204	0.1821845174973489	0.20143233089606455	0.15719738186194301
1	1682	iMF (k=10, lambda=0.5, alpha=15.0)	1.0	0.25362388556678445	0.18738069989395548	0.22463409052737998	0.16601885568376262
